time,x,y,theta,v,omega
0.0000,3.0392,7.1014,-0.9413,0.0000,-0.0750
0.0500,3.0392,7.1014,-0.9450,0.0000,-0.1500
0.1000,3.0392,7.1014,-0.9525,0.0000,-0.2250
0.1500,3.0392,7.1014,-0.9638,0.0000,-0.3000
0.2000,3.0392,7.1014,-0.9788,0.0000,-0.3750
0.2500,3.0392,7.1014,-0.9975,0.0000,-0.4500
0.3000,3.0392,7.1014,-1.0200,0.0450,-0.4214
0.3500,3.0404,7.0995,-1.0411,0.0900,-0.3901
0.4000,3.0426,7.0956,-1.0606,0.1350,-0.3615
0.4500,3.0459,7.0897,-1.0787,0.1600,-0.3353
0.5000,3.0497,7.0827,-1.0955,0.1600,-0.3112
0.5500,3.0534,7.0755,-1.1110,0.1600,-0.2888
0.6000,3.0569,7.0684,-1.1255,0.1600,-0.2681
0.6500,3.0604,7.0612,-1.1389,0.1600,-0.2488
0.7000,3.0637,7.0539,-1.1513,0.1600,-0.2309
0.7500,3.0670,7.0466,-1.1628,0.1600,-0.2143
0.8000,3.0702,7.0392,-1.1736,0.1600,-0.1989
0.8500,3.0733,7.0319,-1.1835,0.1600,-0.1846
0.9000,3.0763,7.0245,-1.1927,0.1600,-0.1713
0.9500,3.0792,7.0170,-1.2013,0.1600,-0.1590
1.0000,3.0821,7.0096,-1.2092,0.1600,-0.1476
1.0500,3.0850,7.0021,-1.2166,0.1600,-0.1370
1.1000,3.0877,6.9946,-1.2235,0.1600,-0.1272
1.1500,3.0905,6.9871,-1.2298,0.1600,-0.1180
1.2000,3.0931,6.9795,-1.2357,0.1600,-0.1096
1.2500,3.0958,6.9720,-1.2412,0.1600,-0.1017
1.3000,3.0983,6.9644,-1.2463,0.1600,-0.0944
1.3500,3.1009,6.9568,-1.2510,0.1600,-0.0876
1.4000,3.1034,6.9492,-1.2554,0.1600,-0.0813
1.4500,3.1059,6.9416,-1.2595,0.1600,-0.0755
1.5000,3.1083,6.9340,-1.2632,0.0000,-0.0750
1.5000,3.0744,5.1899,-0.9761,0.0000,-0.1500
1.5500,3.0744,5.1899,-0.9798,0.0000,-0.2250
1.6000,3.0744,5.1899,-0.9873,0.0000,-0.3000
1.6500,3.0744,5.1899,-0.9986,0.0000,-0.3750
1.7000,3.0744,5.1899,-1.0136,0.0000,-0.4500
1.7500,3.0744,5.1899,-1.0323,0.0000,-0.5250
1.8000,3.0744,5.1899,-1.0548,0.0000,-0.6000
1.8500,3.0744,5.1899,-1.0811,0.0450,-0.5250
1.9000,3.0744,5.1899,-1.1111,0.0900,-0.4500
1.9500,3.0754,5.1879,-1.1373,0.1350,-0.3750
2.0000,3.0773,5.1838,-1.1598,0.1600,-0.3377
2.0500,3.0800,5.1777,-1.1786,0.1600,-0.3132
2.1000,3.0831,5.1703,-1.1955,0.1600,-0.2905
2.1500,3.0860,5.1628,-1.2111,0.1600,-0.2694
2.2000,3.0888,5.1553,-1.2257,0.1600,-0.2499
2.2500,3.0915,5.1478,-1.2391,0.1600,-0.2318
2.3000,3.0941,5.1402,-1.2516,0.1600,-0.2150
2.3500,3.0966,5.1326,-1.2632,0.1600,-0.1994
2.4000,3.0991,5.1250,-1.2740,0.1600,-0.1850
2.4500,3.1014,5.1174,-1.2839,0.1600,-0.1715
2.5000,3.1037,5.1097,-1.2932,0.1600,-0.1591
2.5500,3.1058,5.1020,-1.3018,0.1600,-0.1476
2.6000,3.1080,5.0943,-1.3097,0.1600,-0.1369
2.6500,3.1100,5.0866,-1.3171,0.1600,-0.1270
2.7000,3.1120,5.0788,-1.3240,0.1600,-0.1178
2.7500,3.1140,5.0711,-1.3303,0.1600,-0.1092
2.8000,3.1159,5.0633,-1.3362,0.1600,-0.1013
2.8500,3.1178,5.0555,-1.3417,0.1600,-0.0940
2.9000,3.1196,5.0477,-1.3467,0.1600,-0.0872
2.9500,3.1214,5.0399,-1.3514,0.1600,-0.0809
3.0000,3.1231,5.0321,-1.3558,0.1600,-0.0750
3.0500,3.1248,5.0243,-1.3598,0.0450,-0.0750
3.1000,3.1265,5.0165,-1.3636,0.0900,-0.1500
3.1000,2.1513,4.3148,3.0984,0.1350,-0.1498
3.1500,2.1491,4.3149,3.0947,0.1600,-0.1392
3.2000,2.1446,4.3151,3.0872,0.1600,-0.1294
3.2500,2.1378,4.3155,3.0797,0.1600,-0.1204
3.3000,2.1298,4.3160,3.0727,0.1600,-0.1120
3.3500,2.1219,4.3165,3.0662,0.1600,-0.1042
3.4000,2.1139,4.3171,3.0602,0.1600,-0.0969
3.4500,2.1059,4.3178,3.0546,0.1600,-0.0901
3.5000,2.0979,4.3185,3.0494,0.1600,-0.0838
3.5500,2.0900,4.3192,3.0446,0.1600,-0.0780
3.6000,2.0820,4.3200,3.0401,0.1600,-0.0725
3.6500,2.0740,4.3208,3.0359,0.1600,-0.0675
3.7000,2.0661,4.3216,3.0320,0.1600,-0.0628
3.7500,2.0581,4.3225,3.0283,0.1600,-0.0584
3.8000,2.0502,4.3234,3.0250,0.1600,-0.0543
3.8500,2.0422,4.3244,3.0218,0.1600,-0.0506
3.9000,2.0343,4.3253,3.0189,0.1600,-0.0471
3.9500,2.0264,4.3263,3.0162,0.1600,-0.0438
4.0000,2.0184,4.3273,3.0137,0.1600,-0.0407
4.0500,2.0105,4.3283,3.0113,0.1600,-0.0379
