time,x,y,theta,v,omega
0.0000,5.2596,5.3526,0.2067,0.0000,0.1000
0.0500,5.2596,5.3526,0.2117,0.0000,0.2000
0.1000,5.2596,5.3526,0.2217,0.0000,0.3000
0.1500,5.2596,5.3526,0.2367,0.0000,0.4000
0.2000,5.2596,5.3526,0.2567,0.0000,0.5000
0.2500,5.2596,5.3526,0.2817,0.0000,0.6000
0.3000,5.2596,5.3526,0.3117,0.0000,0.7000
0.3500,5.2596,5.3526,0.3467,0.0000,0.8000
0.4000,5.2596,5.3526,0.3867,0.0000,0.9000
0.4500,5.2596,5.3526,0.4317,0.0000,1.0000
0.5000,5.2596,5.3526,0.4817,0.0000,1.1000
0.5500,5.2596,5.3526,0.5367,0.0000,1.2000
0.6000,5.2596,5.3526,0.5967,0.0000,1.3000
0.6500,5.2596,5.3526,0.6617,0.0000,1.4000
0.7000,5.2596,5.3526,0.7317,0.0000,1.5000
0.7500,5.2596,5.3526,0.8067,0.0000,1.5367
0.8000,5.2596,5.3526,0.8835,0.0000,1.4367
0.8500,5.2596,5.3526,0.9554,0.0000,1.3367
0.9000,5.2596,5.3526,1.0222,0.0000,1.2367
0.9500,5.2596,5.3526,1.0840,0.0000,1.1367
1.0000,5.2596,5.3526,1.1409,0.0000,1.0367
1.0500,5.2596,5.3526,1.1927,0.0000,0.9367
1.1000,5.2596,5.3526,1.2395,0.0000,0.8367
1.1500,5.2596,5.3526,1.2814,0.0500,0.7367
1.2000,5.2603,5.3550,1.3182,0.1000,0.6367
1.2500,5.2616,5.3598,1.3500,0.1500,0.5367
1.3000,5.2632,5.3672,1.3769,0.2000,0.4367
1.3500,5.2651,5.3770,1.3987,0.1500,0.5367
1.4000,5.2664,5.3844,1.4255,0.1000,0.6367
1.4500,5.2671,5.3893,1.4574,0.0500,0.7367
1.5000,5.2674,5.3918,1.4942,0.0000,0.7512
1.5500,5.2674,5.3918,1.5318,0.0000,0.6761
1.6000,5.2674,5.3918,1.5656,0.0000,0.6084
1.6500,5.2674,5.3918,1.5960,0.0500,0.5084
1.7000,5.2673,5.3943,1.6214,0.1000,0.4130
1.7500,5.2671,5.3993,1.6421,0.0500,0.5130
1.8000,5.2669,5.4018,1.6677,0.0000,0.6130
1.8500,5.2669,5.4018,1.6984,0.0000,0.6184
1.9000,5.2669,5.4018,1.7293,0.0500,0.5184
1.9500,5.2665,5.4043,1.7552,0.1000,0.4446
2.0000,5.2656,5.4092,1.7774,0.0500,0.5446
2.0500,5.2651,5.4116,1.8047,0.0000,-0.1000
2.0500,5.1597,5.7482,2.1113,0.0000,-0.2000
2.1000,5.1597,5.7482,2.1063,0.0000,-0.3000
2.1500,5.1597,5.7482,2.0963,0.0000,-0.4000
2.2000,5.1597,5.7482,2.0813,0.0000,-0.5000
2.2500,5.1597,5.7482,2.0613,0.0000,-0.6000
2.3000,5.1597,5.7482,2.0363,0.0000,-0.7000
2.3500,5.1597,5.7482,2.0063,0.0000,-0.8000
2.4000,5.1597,5.7482,1.9713,0.0000,-0.9000
2.4500,5.1597,5.7482,1.9313,0.0000,-1.0000
2.5000,5.1597,5.7482,1.8863,0.0000,-1.1000
2.5500,5.1597,5.7482,1.8363,0.0000,-1.2000
2.6000,5.1597,5.7482,1.7813,0.0000,-1.3000
2.6500,5.1597,5.7482,1.7213,0.0000,-1.4000
2.7000,5.1597,5.7482,1.6563,0.0000,-1.5000
2.7500,5.1597,5.7482,1.5863,0.0000,-1.6000
2.8000,5.1597,5.7482,1.5113,0.0000,-1.7000
2.8500,5.1597,5.7482,1.4313,0.0000,-1.8000
2.9000,5.1597,5.7482,1.3463,0.0000,-1.7408
2.9500,5.1597,5.7482,1.2563,0.0000,-1.6408
3.0000,5.1597,5.7482,1.1693,0.0000,-1.5408
3.0500,5.1597,5.7482,1.0873,0.0000,-1.4408
3.1000,5.1597,5.7482,1.0102,0.0000,-1.3408
3.1500,5.1597,5.7482,0.9382,0.0000,-1.2408
3.2000,5.1597,5.7482,0.8711,0.0000,-1.1408
3.2500,5.1597,5.7482,0.8091,0.0000,-1.0408
3.3000,5.1597,5.7482,0.7521,0.0000,-0.9408
3.3500,5.1597,5.7482,0.7000,0.0500,-0.8408
3.4000,5.1597,5.7482,0.6530,0.1000,-0.7408
3.4500,5.1616,5.7497,0.6109,0.1500,-0.6408
3.5000,5.1657,5.7526,0.5739,0.2000,-0.5408
3.5500,5.1720,5.7566,0.5419,0.2500,-0.4408
3.6000,5.1806,5.7618,0.5148,0.2600,-0.3408
3.6500,5.1915,5.7679,0.4928,0.2600,-0.2408
3.7000,5.2029,5.7741,0.4758,0.2600,-0.1408
3.7500,5.2145,5.7800,0.4637,0.2600,-0.1299
3.8000,5.2261,5.7859,0.4567,0.2600,-0.1230
3.8500,5.2378,5.7916,0.4502,0.2600,-0.1164
3.9000,5.2495,5.7972,0.4440,0.2600,-0.1103
3.9500,5.2612,5.8028,0.4382,0.2600,-0.1045
4.0000,5.2730,5.8083,0.4327,0.2600,-0.0991
4.0500,5.2848,5.8138,0.4275,0.2600,-0.0940
4.1000,5.2966,5.8192,0.4225,0.2600,-0.0893
4.1500,5.3085,5.8245,0.4178,0.0000,-0.1000
4.2000,5.3204,5.8298,0.4134,0.0000,-0.2000
4.2000,3.8251,5.1801,2.8195,0.0000,-0.3000
4.2500,3.8251,5.1801,2.8145,0.0000,-0.4000
4.3000,3.8251,5.1801,2.8045,0.0000,-0.5000
4.3500,3.8251,5.1801,2.7895,0.0000,-0.6000
4.4000,3.8251,5.1801,2.7695,0.0000,-0.7000
4.4500,3.8251,5.1801,2.7445,0.0000,-0.8000
4.5000,3.8251,5.1801,2.7145,0.0000,-0.9000
4.5500,3.8251,5.1801,2.6795,0.0000,-1.0000
4.6000,3.8251,5.1801,2.6395,0.0000,-1.1000
4.6500,3.8251,5.1801,2.5945,0.0000,-1.2000
4.7000,3.8251,5.1801,2.5445,0.0000,-1.3000
4.7500,3.8251,5.1801,2.4895,0.0000,-1.4000
4.8000,3.8251,5.1801,2.4295,0.0000,-1.5000
4.8500,3.8251,5.1801,2.3645,0.0000,-1.6000
4.9000,3.8251,5.1801,2.2945,0.0000,-1.7000
4.9500,3.8251,5.1801,2.2195,0.0000,-1.6000
5.0000,3.8251,5.1801,2.1395,0.0000,-1.5000
5.0500,3.8251,5.1801,2.0545,0.0000,-1.4000
5.1000,3.8251,5.1801,1.9745,0.0000,-1.3000
5.1500,3.8251,5.1801,1.8995,0.0000,-1.2000
5.2000,3.8251,5.1801,1.8295,0.0000,-1.1000
5.2500,3.8251,5.1801,1.7645,0.0000,-1.0000
5.3000,3.8251,5.1801,1.7045,0.0000,-0.9000
5.3500,3.8251,5.1801,1.6495,0.0500,-0.8000
5.4000,3.8251,5.1801,1.5995,0.1000,-0.7000
5.4500,3.8251,5.1801,1.5545,0.1500,-0.6000
5.5000,3.8251,5.1826,1.5145,0.2000,-0.5000
5.5500,3.8254,5.1876,1.4795,0.2500,-0.4000
5.6000,3.8261,5.1951,1.4495,0.2600,-0.3000
5.6500,3.8273,5.2050,1.4245,0.2600,-0.2000
5.7000,3.8291,5.2174,1.4045,0.2600,-0.1696
5.7500,3.8313,5.2302,1.3895,0.2600,-0.1614
5.8000,3.8336,5.2430,1.3795,0.2600,-0.1536
5.8500,3.8361,5.2558,1.3710,0.2600,-0.1464
5.9000,3.8387,5.2685,1.3629,0.2600,-0.1396
5.9500,3.8414,5.2812,1.3552,0.2600,-0.1333
6.0000,3.8441,5.2939,1.3479,0.2600,-0.1274
6.0500,3.8470,5.3066,1.3409,0.2600,-0.1218
6.1000,3.8500,5.3193,1.3343,0.2600,-0.1167
6.1500,3.8530,5.3319,1.3279,0.0500,0.1000
6.2000,3.8562,5.3445,1.3218,0.1000,0.1183
6.2500,3.8594,5.3571,1.3160,0.1500,0.1096
6.2500,2.6886,5.2715,2.6900,0.2000,0.1017
6.3000,2.6864,5.2726,2.6950,0.2500,0.0944
6.3500,2.6819,5.2747,2.7009,0.2600,0.0878
6.4000,2.6751,5.2779,2.7064,0.2600,0.0816
6.4500,2.6660,5.2821,2.7115,0.2600,0.0758
6.5000,2.6547,5.2874,2.7162,0.2600,0.0705
6.5500,2.6428,5.2927,2.7206,0.2600,0.0656
6.6000,2.6310,5.2980,2.7247,0.2600,0.0609
6.6500,2.6191,5.3033,2.7285,0.2600,0.0567
6.7000,2.6072,5.3085,2.7320,0.2600,0.0527
6.7500,2.5952,5.3137,2.7353,0.2600,0.0490
6.8000,2.5833,5.3188,2.7383,0.2600,0.0455
6.8500,2.5714,5.3239,2.7412,0.2600,0.0424
6.9000,2.5594,5.3290,2.7438,0.0000,-0.1000
6.9500,2.5474,5.3340,2.7463,0.0000,-0.2000
7.0000,2.5354,5.3390,2.7485,0.0000,-0.3000
7.0500,2.5234,5.3440,2.7506,0.0000,-0.4000
7.0500,2.3620,5.2637,-2.6033,0.0000,-0.5000
7.1000,2.3620,5.2637,-2.6083,0.0000,-0.6000
7.1500,2.3620,5.2637,-2.6183,0.0000,-0.7000
7.2000,2.3620,5.2637,-2.6333,0.0000,-0.8000
7.2500,2.3620,5.2637,-2.6533,0.0000,-0.9000
7.3000,2.3620,5.2637,-2.6783,0.0000,-1.0000
7.3500,2.3620,5.2637,-2.7083,0.0000,-1.1000
7.4000,2.3620,5.2637,-2.7433,0.0000,-1.0651
7.4500,2.3620,5.2637,-2.7833,0.0000,-0.9651
7.5000,2.3620,5.2637,-2.8283,0.0000,-0.8651
7.5500,2.3620,5.2637,-2.8783,0.0000,-0.7756
7.6000,2.3620,5.2637,-2.9333,0.0000,-0.6980
7.6500,2.3620,5.2637,-2.9866,0.0000,-0.6282
7.7000,2.3620,5.2637,-3.0349,0.0500,-0.5282
7.7500,2.3620,5.2637,-3.0781,0.1000,-0.4282
7.8000,2.3620,5.2637,-3.1169,0.1500,-0.3576
7.8500,2.3620,5.2637,3.1314,0.2000,-0.3355
7.9000,2.3620,5.2637,3.1000,0.2500,-0.3165
7.9500,2.3595,5.2639,3.0736,0.2600,-0.3001
8.0000,2.3545,5.2642,3.0522,0.2600,-0.2851
8.0500,2.3470,5.2649,3.0343,0.2600,-0.2709
8.1000,2.3371,5.2659,3.0175,0.2600,-0.2577
8.1500,2.3247,5.2675,3.0017,0.2600,-0.2453
8.2000,2.3118,5.2693,2.9867,0.2600,-0.2337
8.2500,2.2990,5.2713,2.9724,0.2600,-0.2228
8.3000,2.2862,5.2735,2.9589,0.2600,-0.2126
8.3500,2.2734,5.2758,2.9460,0.2600,-0.2031
8.4000,2.2606,5.2784,2.9337,0.2600,-0.1941
8.4500,2.2479,5.2811,2.9220,0.2600,-0.1858
8.5000,2.2352,5.2839,2.9109,0.0500,0.0182
8.5500,2.2226,5.2869,2.9003,0.1000,0.0169
8.6000,2.2099,5.2900,2.8901,0.1500,0.0157
8.6500,2.1973,5.2932,2.8804,0.2000,0.0147
8.7000,2.1848,5.2966,2.8711,0.2500,0.0138
8.7000,1.6116,4.8998,-2.3149,0.2600,0.0130
8.7500,1.6099,4.8980,-2.3140,0.2600,0.0123
8.8000,1.6065,4.8943,-2.3131,0.2600,0.0116
8.8500,1.6014,4.8888,-2.3124,0.2600,0.0110
8.9000,1.5947,4.8814,-2.3116,0.2600,0.0104
8.9500,1.5862,4.8722,-2.3109,0.2600,0.0099
9.0000,1.5775,4.8626,-2.3103,0.2600,0.0093
9.0500,1.5687,4.8530,-2.3097,0.2600,0.0089
9.1000,1.5599,4.8434,-2.3091,0.2600,0.0084
9.1500,1.5512,4.8338,-2.3085,0.2600,0.0080
9.2000,1.5425,4.8241,-2.3080,0.2600,0.0076
9.2500,1.5337,4.8145,-2.3075,0.0000,0.0000
9.3000,1.5250,4.8049,-2.3070,0.0000,0.0000
9.3500,1.5163,4.7953,-2.3066,0.0000,0.0000
9.4000,1.5075,4.7856,-2.3062,0.0000,0.0000
9.4500,1.4988,4.7760,-2.3058,0.0000,0.0000
9.5000,1.4901,4.7663,-2.3054,0.0000,0.0000
