time,xc,yc,theta_c,sx,sy
0.000000,3.135000,1.167000,1.570000,1.000000,1.000000
0.799995,3.112860,1.340466,1.574454,1.000410,1.029122
1.600030,3.091459,1.514477,1.577712,1.000789,1.055295
2.400022,3.083534,1.690236,1.577995,1.000832,1.061197
3.200014,3.081165,1.866208,1.577992,1.000843,1.058681
4.000005,3.081126,2.042185,1.578032,1.000878,1.052959
4.799996,3.082091,2.218153,1.578114,1.000925,1.046315
5.599988,3.083496,2.394119,1.578211,1.000972,1.039726
6.399979,3.085100,2.570087,1.578310,1.001013,1.033592
7.199970,3.086799,2.746058,1.578402,1.001047,1.028059
7.999961,3.088545,2.922032,1.578487,1.001074,1.023162
8.799951,3.090318,3.098010,1.578561,1.001095,1.018884
9.599940,3.092109,3.273990,1.578627,1.001110,1.015188
10.399929,3.093913,3.449972,1.578683,1.001122,1.012030
11.199917,3.095728,3.625956,1.578732,1.001130,1.009362
11.999915,3.097638,3.801941,1.578775,1.001137,1.007040
12.799913,3.099653,3.977927,1.578815,1.001142,1.005035
13.599912,3.101725,4.153912,1.578848,1.001146,1.003381
14.399909,3.103825,4.329898,1.578875,1.001149,1.002074
15.199905,3.105934,4.505883,1.578896,1.001152,1.001089
15.999899,3.108039,4.681868,1.578910,1.001153,1.000389
16.799891,3.110132,4.857854,1.578920,1.001154,0.999930
17.599882,3.112206,5.033839,1.578926,1.001155,0.999666
18.399871,3.114256,5.209824,1.578928,1.001156,0.999553
19.199858,3.116279,5.385809,1.578929,1.001156,0.999550
19.999842,3.118271,5.561794,1.578928,1.001157,0.999623
20.799823,3.120228,5.737779,1.578926,1.001158,0.999740
21.599800,3.122146,5.913762,1.578924,1.001159,0.999876
22.399772,3.124022,6.089746,1.578921,1.001160,1.000012
23.199736,3.125852,6.265728,1.578918,1.001161,1.000132
23.999695,3.127631,6.441708,1.578913,1.001161,1.000228
24.799654,3.129354,6.617685,1.578903,1.001160,1.000293
25.599623,3.131017,6.793653,1.578877,1.001147,1.000326
26.399526,3.132612,6.969622,1.578874,1.001149,1.000330
27.199420,3.134134,7.145575,1.578844,1.001147,1.000307
27.999141,3.135574,7.321491,1.578809,1.001156,1.000264
28.768685,3.136872,7.490045,1.577921,1.000337,1.000193
29.212426,3.135000,7.583000,1.570000,1.000000,1.000000
