time,x,y,theta
0.000000,2.849849,7.030454,-1.570000
3.194845,2.922475,6.755470,-2.347384
3.991165,2.812577,6.562660,-1.940241
4.790741,2.746748,6.348675,-1.825390
5.591478,2.689786,6.131826,-1.826498
14.931533,2.324194,4.594073,-1.857534
15.732347,2.280624,4.374664,-1.712114
16.532169,2.255837,4.152090,-1.661053
25.309030,2.388948,2.150359,-1.727134
26.103905,2.349460,1.931325,-1.760553
26.898313,2.315355,1.761718,-1.774525
27.692414,2.283946,1.610348,-1.775923
28.172560,2.279849,1.520454,-1.775923
