time,x,y,theta
0.000000,2.280303,6.460000,-1.570000
3.194845,2.579015,5.790879,0.000000
3.991165,2.512218,5.662912,0.000000
4.790741,2.408663,5.553165,0.000000
5.591478,2.289644,5.436320,0.000000
14.931533,1.972336,3.580420,0.000000
15.732347,1.904515,3.479222,0.000000
16.532169,1.841121,3.380293,0.000000
25.309030,1.822990,1.451336,0.000000
26.103905,1.757667,1.346947,0.000000
26.898313,1.724768,1.194241,0.000000
27.692414,1.703107,1.041153,0.000000
28.172560,1.710303,0.950000,0.000000
