time,xc,yc,theta_c,sx,sy
0.000000,2.280000,1.330000,1.570000,1.000000,1.000000
3.220627,2.076930,2.192368,1.682936,1.588693,0.957929
4.020943,2.039097,2.368365,1.713474,1.530489,0.997104
4.821108,2.007043,2.544361,1.741120,1.463198,1.017200
5.621197,1.977298,2.720358,1.768103,1.393790,1.027845
6.421208,1.948235,2.896357,1.794962,1.324372,1.033890
13.637352,1.793124,4.653233,1.978131,1.591060,1.251133
14.437000,1.750817,4.780715,2.002949,1.293214,1.228528
15.237057,1.705773,4.950895,2.030806,1.219258,1.203927
16.037217,1.670541,5.126356,2.056589,1.172385,1.185370
16.837073,1.656996,5.279577,2.032758,1.152914,1.157654
17.636885,1.655724,5.417190,1.978890,1.134742,1.124109
18.436736,1.658796,5.551123,1.916208,1.115700,1.092782
19.236627,1.664015,5.684490,1.850903,1.095158,1.065525
20.036548,1.670622,5.817808,1.784508,1.073172,1.042328
20.836485,1.678204,5.950883,1.717108,1.050016,1.023002
21.636424,1.686410,6.083314,1.648301,1.026035,1.007710
22.381567,1.694103,6.206179,1.583242,1.003736,0.997644
22.713553,1.710000,6.270000,1.570000,1.000000,1.000000
