time,x,y,theta
0.000000,2.280303,1.710000,1.570000
9.246656,2.061080,3.173133,2.443412
10.044857,2.028632,3.243248,1.907958
10.844912,1.994422,3.366481,1.802597
11.644906,1.969821,3.492063,1.741559
12.444896,1.950943,3.618651,1.705334
13.244885,1.935528,3.745714,1.683288
14.044876,1.922253,3.873021,1.669551
14.844866,1.910330,4.000463,1.660792
15.644845,1.899291,4.127983,1.654947
16.444825,1.888845,4.255552,1.651027
17.244804,1.878801,4.383154,1.648325
18.044783,1.869040,4.510778,1.646407
18.844761,1.859482,4.638416,1.645001
19.644738,1.850078,4.766066,1.643936
20.444713,1.840790,4.893725,1.643101
21.244687,1.831597,5.021389,1.642423
22.044659,1.822482,5.149059,1.641857
22.844629,1.813433,5.276734,1.641372
34.644557,1.695304,7.131980,1.333148
35.118543,1.709294,7.189742,1.334556
35.326868,1.710303,7.220000,1.334556
