time,x,y,theta
0.000000,2.280303,1.710000,1.570000
3.208786,2.055660,2.497562,0.000000
4.008019,1.980983,2.665127,0.000000
4.807590,1.897809,2.837102,0.000000
5.607370,1.810500,3.013257,0.000000
6.407280,1.724385,3.192550,0.000000
14.977058,1.826846,5.190784,0.000000
15.777197,1.801306,5.269752,0.000000
16.577422,1.775687,5.414520,0.000000
17.377683,1.749422,5.560128,0.000000
18.177919,1.722581,5.706411,0.000000
18.977774,1.703942,5.872229,0.000000
19.777632,1.689039,6.047549,0.000000
20.577512,1.675063,6.223982,0.000000
21.377402,1.668557,6.393258,0.000000
22.177435,1.691287,6.528987,0.000000
22.871336,1.710303,6.650000,0.000000
