time,xc,yc,theta_c,sx,sy
0.000000,2.280000,1.330000,1.570000,1.000000,1.000000
9.246675,2.086917,2.757329,1.632855,1.096339,0.988341
10.044876,2.055364,2.861366,1.640687,1.007424,1.032420
10.844932,2.022960,2.984467,1.645369,1.008126,1.058403
11.644926,1.998881,3.110013,1.646718,1.008324,1.070446
12.444915,1.980090,3.236603,1.646945,1.008339,1.073454
13.244904,1.964638,3.363654,1.646846,1.008363,1.070864
14.044895,1.951306,3.490925,1.646692,1.008446,1.064991
14.844885,1.939338,3.618313,1.646563,1.008578,1.057376
15.644864,1.928271,3.745771,1.646476,1.008734,1.049047
16.444844,1.917809,3.873280,1.646426,1.008890,1.040676
17.244824,1.907760,4.000827,1.646402,1.009032,1.032693
18.044802,1.898000,4.128405,1.646396,1.009152,1.025364
18.844780,1.888448,4.256008,1.646401,1.009246,1.018840
19.644757,1.879049,4.383631,1.646412,1.009317,1.013195
20.444732,1.869769,4.511271,1.646426,1.009368,1.008444
21.244706,1.860582,4.638923,1.646440,1.009401,1.004568
22.044678,1.851472,4.766586,1.646452,1.009422,1.001516
22.844648,1.842427,4.894256,1.646463,1.009434,0.999224
34.638810,1.715336,6.757382,1.620623,0.983473,0.992987
35.112220,1.712423,6.809186,1.576963,0.997440,1.003908
35.326847,1.710000,6.840000,1.570000,1.000000,1.000000
