time,x,y,theta
0.000000,2.280303,1.710000,1.570000
9.246675,2.061079,3.173136,2.443404
10.044876,2.028630,3.243252,1.907955
10.844932,1.994419,3.366490,1.802595
11.644926,1.969818,3.492073,1.741558
12.444915,1.950940,3.618661,1.705334
13.244904,1.935525,3.745724,1.683288
14.044895,1.922250,3.873031,1.669550
14.844885,1.910327,4.000473,1.660792
15.644864,1.899289,4.127992,1.654947
16.444844,1.888842,4.255562,1.651026
17.244824,1.878798,4.383164,1.648324
18.044802,1.869037,4.510787,1.646407
18.844780,1.859480,4.638426,1.645001
19.644757,1.850075,4.766076,1.643936
20.444732,1.840788,4.893734,1.643100
21.244706,1.831595,5.021399,1.642423
22.044678,1.822480,5.149069,1.641857
22.844648,1.813430,5.276743,1.641372
34.638810,1.696723,7.130638,1.342441
35.112220,1.710086,7.188206,1.344219
35.326847,1.710303,7.220000,1.344219
