time,x,y,theta
0.000000,2.567768,0.875452,1.570000
0.799991,2.567859,1.051450,1.570436
1.599981,2.567900,1.227447,1.570637
2.399971,2.567917,1.403445,1.570735
3.199961,2.567923,1.579443,1.570784
3.999950,2.567922,1.755441,1.570808
4.799939,2.567918,1.931438,1.570821
5.599928,2.567913,2.107436,1.570827
6.399916,2.567908,2.283433,1.570830
7.199904,2.567902,2.459431,1.570832
7.999892,2.567895,2.635428,1.570832
8.799879,2.567889,2.811425,1.570832
9.599865,2.567883,2.987422,1.570832
10.399851,2.567876,3.163419,1.570832
11.199836,2.567870,3.339415,1.570831
11.999820,2.567864,3.515412,1.570831
12.799804,2.567858,3.691408,1.570831
13.599786,2.567852,3.867405,1.570830
14.399768,2.567846,4.043401,1.570829
15.199749,2.567840,4.219396,1.570829
15.999728,2.567835,4.395392,1.570828
16.799706,2.567829,4.571387,1.570828
17.599683,2.567823,4.747382,1.570827
18.399658,2.567818,4.923376,1.570826
19.199630,2.567813,5.099370,1.570826
19.999600,2.567808,5.275364,1.570825
20.799567,2.567803,5.451356,1.570824
21.599530,2.567798,5.627348,1.570823
22.399489,2.567793,5.803339,1.570822
23.199442,2.567788,5.979329,1.570821
23.999388,2.567784,6.155316,1.570818
24.799327,2.567781,6.331300,1.570813
25.599259,2.567778,6.507278,1.570799
26.399179,2.567783,6.683228,1.570744
27.199043,2.567784,6.859178,1.570793
27.998510,2.567789,7.035026,1.570740
28.755968,2.567794,7.201580,1.570782
29.164528,2.567768,7.291452,1.570782
