time,xc,yc,theta_c,sx,sy
0.000000,3.135000,7.583000,-1.570000,1.000000,1.000000
0.804639,3.063945,7.335001,-1.759755,1.399998,1.026593
1.605701,3.104129,7.087001,-1.628824,1.119188,1.055649
2.394937,3.114723,6.839002,-1.576684,1.021140,1.061865
3.187433,3.115464,6.591003,-1.564424,1.004457,1.049715
3.982087,3.116041,6.343003,-1.559889,1.002628,1.027267
4.778500,3.117773,6.095004,-1.557653,1.003780,1.002657
5.576031,3.120682,5.847005,-1.556505,1.005266,0.982706
6.374276,3.124492,5.599006,-1.555898,1.006353,0.971540
7.173136,3.128785,5.351007,-1.555552,1.007032,0.970115
7.972250,3.133121,5.103008,-1.555235,1.007617,0.976663
8.771514,3.137054,4.855009,-1.554950,1.008229,0.987753
9.570863,3.140242,4.607010,-1.554730,1.008796,0.999547
10.370262,3.142488,4.359011,-1.554562,1.009201,1.008880
11.169695,3.143732,4.111013,-1.554389,1.009413,1.013924
11.969154,3.144023,3.863014,-1.554148,1.009497,1.014355
12.767789,3.143578,3.615016,-1.553460,1.009744,1.011112
13.566504,3.142439,3.367018,-1.552707,1.009947,1.005860
14.365273,3.140787,3.119021,-1.551927,1.010102,1.000407
15.164554,3.138758,2.871024,-1.551366,1.010074,0.996200
15.962059,3.136825,2.623028,-1.550105,1.010459,0.994066
16.759829,3.134906,2.375032,-1.549009,1.010743,0.994082
17.558845,3.133051,2.127047,-1.548516,1.010725,0.995758
18.355546,3.129085,1.886679,-1.557412,1.005140,0.998025
18.825572,3.135000,1.750000,-1.570000,1.000000,1.000000
