time,x,y,theta
0.000000,2.849849,1.139546,1.570000
2.710404,2.931427,1.180555,2.478045
3.502005,2.825188,1.355067,1.884107
4.300801,2.782458,1.558311,1.717708
12.687969,3.701084,3.128031,4.850671
13.486632,3.637837,3.325344,5.118697
14.286236,3.544445,3.511083,5.211943
15.086301,3.441795,3.692009,5.238109
15.886475,3.337599,3.872081,5.236725
16.686667,3.235054,4.053104,5.223144
17.486840,3.135568,4.235820,5.204422
18.286966,3.039709,4.420451,5.183983
19.087029,2.947638,4.606982,5.163461
19.886837,2.859205,4.795192,5.143971
20.686456,2.773979,4.984822,5.127289
21.486037,2.691369,5.175594,5.114747
22.285650,2.610578,5.367154,5.106823
23.085338,2.530772,5.559147,5.103359
23.885100,2.451214,5.751263,5.103459
24.684837,2.371438,5.943282,5.105399
25.316315,2.279849,6.079546,5.105399
