time,xc,yc,theta_c,sx,sy
0.000000,2.280000,1.330000,1.570000,1.000000,1.000000
2.710404,2.389750,1.707265,1.168743,1.435514,1.236121
3.502005,2.365129,1.883262,1.129255,1.478627,1.125706
4.300801,2.323800,2.059260,1.142465,1.395730,1.097006
12.687969,2.805900,3.785187,1.192425,1.473611,1.885307
13.486632,2.724717,3.943850,1.210486,1.351870,1.881665
14.286236,2.650640,4.114246,1.210706,1.313363,1.840368
15.086301,2.583150,4.285152,1.202186,1.283762,1.780157
15.886475,2.520982,4.456158,1.189588,1.254385,1.711048
16.686667,2.462127,4.627744,1.175522,1.224762,1.639647
17.486840,2.404463,4.800193,1.161768,1.194964,1.570622
18.286966,2.346101,4.973670,1.149868,1.165865,1.507214
19.087029,2.285533,5.148233,1.141325,1.138964,1.451489
19.886837,2.222865,5.305527,1.158785,1.120021,1.381499
20.686456,2.159289,5.448509,1.200836,1.105559,1.299579
21.486037,2.094087,5.588804,1.255015,1.090986,1.221184
22.285650,2.026600,5.729609,1.316941,1.074633,1.151384
23.085338,1.956505,5.871878,1.383936,1.055809,1.091874
23.885100,1.883871,6.015563,1.454201,1.034241,1.042522
24.684837,1.809124,6.160163,1.526705,1.009922,1.002327
25.316315,1.710000,6.270000,1.570000,1.000000,1.000000
