time,x,y,theta
0.000000,2.280303,1.710000,1.570000
2.710404,2.603207,2.209262,0.000000
3.502005,2.605238,2.391253,0.000000
4.300801,2.544094,2.541724,0.000000
12.687969,3.012758,4.305551,0.000000
13.486632,2.905834,4.424574,0.000000
14.286236,2.826495,4.581316,0.000000
15.086301,2.758924,4.740213,0.000000
15.886475,2.698322,4.898607,0.000000
16.686667,2.641339,5.057266,0.000000
17.486840,2.585061,5.216821,0.000000
18.286966,2.527127,5.378027,0.000000
19.087029,2.465749,5.541734,0.000000
19.886837,2.393301,5.695519,0.000000
20.686456,2.311193,5.840197,0.000000
21.486037,2.222837,5.982880,0.000000
22.285650,2.129155,6.124882,0.000000
23.085338,2.031039,6.266102,0.000000
23.885100,1.929590,6.405906,0.000000
24.684837,1.826040,6.543560,0.000000
25.316315,1.710303,6.650000,0.000000
