time,x,y,theta,v,omega
0.000000,20.000000,12.500000,0.000000,0.000000,0.200000
0.926085,18.904121,12.684499,-2.031173,0.000000,0.607200
2.527750,17.250888,11.704244,-2.168551,0.200000,0.409800
3.751549,16.150332,10.731906,-1.977726,0.000000,-1.555200
4.450292,15.730719,10.005963,-2.223251,0.500000,-0.300200
5.430765,15.154225,8.980309,-2.545017,0.800000,-0.256200
6.814454,14.236821,7.596334,3.135396,0.000000,2.400000
8.071947,13.418259,6.328654,-2.205977,0.300000,0.398300
8.255270,13.292951,6.147844,-2.160518,0.100000,0.860200
9.425325,12.565971,4.946635,2.266666,0.000000,0.800000
10.339308,12.010373,4.000995,2.851504,0.000000,2.190200
10.347992,12.000000,4.000000,0.000000,0.000000,2.190200
