time,x,y,theta,v,omega
0.0000,3.0000,3.0000,0.0000,0.0000,0.0000
0.0500,3.0010,3.0000,0.0600,0.0200,1.2000
0.1000,3.0022,3.0001,0.1200,0.0240,1.2000
0.1500,3.0034,3.0002,0.1800,0.0248,1.2000
0.2000,3.0047,3.0004,0.2400,0.0250,1.2000
0.2500,3.0059,3.0007,0.2941,0.0250,1.0828
0.3000,3.0071,3.0011,0.3429,0.0250,0.9746
0.3500,3.0082,3.0015,0.3867,0.0250,0.8772
0.4000,3.0094,3.0020,0.4262,0.0250,0.7895
0.4500,3.0105,3.0025,0.4617,0.0250,0.7106
0.5000,3.0117,3.0031,0.4937,0.0250,0.6396
0.5500,3.0172,3.0060,0.5153,0.1250,0.4317
0.6000,3.0267,3.0115,0.5353,0.2200,0.3995
0.6500,3.0362,3.0171,0.5538,0.2200,0.3697
0.7000,3.0456,3.0228,0.5709,0.2200,0.3422
0.7500,3.0548,3.0288,0.5867,0.2200,0.3167
0.8000,3.0640,3.0349,0.6014,0.2200,0.2931
0.8500,3.0730,3.0411,0.6149,0.2200,0.2713
0.9000,3.0820,3.0474,0.6275,0.2200,0.2511
0.9500,3.0909,3.0539,0.6391,0.2200,0.2324
1.0000,3.0998,3.0605,0.6498,0.2200,0.2151
1.0500,3.1085,3.0671,0.6598,0.2200,0.1991
1.1000,3.1172,3.0739,0.6690,0.2200,0.1842
1.1500,3.1258,3.0807,0.6775,0.2200,0.1705
1.2000,3.1344,3.0876,0.6854,0.2200,0.1578
1.2500,3.1429,3.0945,0.6927,0.2200,0.1461
1.3000,3.1514,3.1016,0.6995,0.2200,0.1352
1.3500,3.1598,3.1087,0.7057,0.2200,0.1251
1.4000,3.1682,3.1158,0.7115,0.2200,0.1158
1.4500,3.1765,3.1230,0.7169,0.2200,0.1072
1.5000,3.1848,3.1302,0.7219,0.2200,0.0992
1.5500,3.1931,3.1375,0.7264,0.2200,0.0918
1.6000,3.2013,3.1448,0.7307,0.2200,0.0850
1.6500,3.2095,3.1521,0.7346,0.2200,0.0786
1.7000,3.2176,3.1595,0.7383,0.2200,0.0728
1.7500,3.2258,3.1669,0.7416,0.2200,0.0674
1.8000,3.2339,3.1743,0.7447,0.2200,0.0623
1.8500,3.2420,3.1818,0.7476,0.2200,0.0577
1.9000,3.2500,3.1893,0.7503,0.2200,0.0534
