time,x,y,psi,v,omega
0.0000,1.4000,10.0000,-0.0000,0.0000,-0.0000
0.1143,1.4464,10.0006,0.0889,0.7999,1.5566
0.2286,1.5383,10.0100,0.2922,0.8000,2.0000
0.3429,1.6263,10.0371,0.4777,0.8000,1.2460
0.4571,1.7081,10.0796,0.5725,0.8000,0.4132
0.5714,1.7850,10.1293,0.5898,0.8000,-0.1092
0.6857,1.8613,10.1804,0.5645,0.8000,-0.3340
0.8000,1.9002,10.2049,0.5454,0.0000,0.0000
0.8000,1.9002,10.2049,0.5454,-0.0000,-0.0000
1.0286,1.9129,10.2105,0.4734,0.1221,-0.6302
1.2571,2.0089,10.2556,0.2986,0.8000,-0.8990
1.4857,2.1196,10.2900,0.1523,0.2149,-0.3811
1.7143,2.2366,10.3086,0.0579,0.8000,-0.4455
1.9429,2.3887,10.3155,-0.0072,0.5088,-0.1238
2.1714,2.5397,10.3134,-0.0151,0.7999,0.0540
2.4000,2.6312,10.3118,-0.0090,-0.0000,0.0000
2.4000,2.6312,10.3118,-0.0090,0.0000,0.0000
2.6286,2.7232,10.3105,-0.0276,0.8000,-0.1631
2.8571,2.9062,10.3072,-0.1698,0.8000,-1.0807
3.0857,3.0864,10.2775,-0.4064,0.8000,-0.9894
3.3143,3.1528,10.2510,-0.6779,-0.1660,-1.3863
3.5429,3.2117,10.2086,-0.8374,0.8000,-0.0093
3.7714,3.3341,10.0728,-0.7045,0.8000,1.1720
4.0000,3.4040,10.0131,-0.5706,-0.0000,0.0000
4.0000,4.2750,9.8861,0.0293,0.0000,-0.0000
4.1143,4.2727,9.8870,-0.0008,-0.0507,-0.5255
4.2286,4.2689,9.8901,-0.0562,-0.0637,-0.4447
4.3429,4.2588,9.8934,-0.0867,-0.1576,-0.0888
4.4571,4.2130,9.8999,-0.0875,-0.6925,0.0749
4.5714,4.1642,9.9063,-0.0764,-0.2073,0.1190
4.6857,4.1164,9.9118,-0.0565,-0.6716,0.2293
4.8000,4.0787,9.9143,-0.0434,0.0000,0.0000
4.8000,4.3821,9.3895,-0.4671,-0.0000,0.0000
4.9143,4.4229,9.3689,-0.5814,0.8000,-2.0000
5.0286,4.4993,9.3186,-0.7596,0.8000,-1.1183
5.1429,4.5656,9.2557,-0.8371,0.8000,-0.2394
5.2571,4.6268,9.1877,-0.8503,0.8000,0.0085
5.3714,4.6871,9.1190,-0.8595,0.8000,-0.1685
5.4857,4.7468,9.0497,-0.8707,0.8000,-0.0271
5.6000,4.7763,9.0147,-0.8722,0.0000,0.0000
5.6000,4.7763,9.0147,-0.8722,-0.0000,-0.0000
5.7143,4.8020,8.9840,-0.9391,0.7008,-1.1705
5.8286,4.8470,8.9224,-1.0587,0.6329,-0.9230
5.9429,4.8818,8.8601,-1.1472,0.6127,-0.6262
6.0571,4.9123,8.7915,-1.2102,0.6920,-0.4758
6.1714,4.9394,8.7186,-1.2496,0.6587,-0.2139
6.2857,4.9657,8.6386,-1.2543,0.7992,0.1321
6.4000,4.9799,8.5950,-1.2468,0.0000,0.0000
6.4000,5.1406,8.0772,-1.2425,0.0000,-0.0000
6.5143,5.1516,8.0450,-1.1541,0.5949,1.5481
6.6286,5.1838,7.9718,-0.9861,0.7999,1.3915
6.7429,5.2328,7.8977,-0.8669,0.7524,0.6940
6.8571,5.2877,7.8330,-0.8086,0.7328,0.3259
6.9714,5.3482,7.7696,-0.7842,0.8000,0.1023
7.0857,5.4129,7.7051,-0.7918,0.8000,-0.2361
7.2000,5.4450,7.6725,-0.8053,0.0000,0.0000
7.2000,5.5528,7.5317,-1.0777,-0.0000,-0.0000
7.3143,5.5745,7.4913,-1.1054,0.8000,-0.4836
7.4286,5.6155,7.4093,-1.1414,0.8000,-0.1471
7.5429,5.6513,7.3307,-1.1553,0.7038,-0.0956
7.6571,5.6856,7.2526,-1.1638,0.7819,-0.0532
7.7714,5.7192,7.1742,-1.1660,0.7042,0.0144
7.8857,5.7530,7.0948,-1.1406,0.7996,0.4304
8.0000,5.7721,7.0532,-1.1160,0.0000,0.0000
8.0000,5.7721,7.0532,-1.1160,0.0000,-0.0000
8.2286,5.8067,6.9865,-0.8874,0.6352,2.0000
8.4571,5.9202,6.8586,-0.4307,0.8000,1.9965
8.6857,6.0907,6.7858,-0.0275,0.8000,1.5314
8.9143,6.2753,6.7830,0.2507,0.8000,0.9024
9.1429,6.4539,6.8303,0.4183,0.8000,0.5649
9.3714,6.6224,6.9059,0.4254,0.8000,-0.5032
9.6000,6.7062,6.9438,0.3679,0.0000,0.0000
9.6000,6.7062,6.9438,0.3679,0.0000,-0.0000
9.8286,6.7919,6.9770,0.4060,0.8000,0.3331
10.0571,6.9612,7.0505,0.4469,0.8000,0.0248
10.2857,7.1272,7.1307,0.4505,0.8000,0.0074
10.5143,7.2931,7.2113,0.4592,0.8000,0.0685
10.7429,7.4582,7.2933,0.4743,0.8000,0.0632
10.9714,7.6220,7.3777,0.4370,0.8000,-0.3898
11.2000,7.7051,7.4165,0.3924,-0.0000,0.0000
11.2000,8.7429,7.6982,0.2514,0.0000,-0.0000
11.3143,8.7682,7.7045,0.3657,0.4481,2.0000
11.4286,8.8022,7.7168,0.5943,0.1509,2.0000
11.5429,8.8170,7.7261,0.8229,0.1208,2.0000
11.6571,8.8055,7.7148,1.0514,-0.4499,2.0000
11.7714,8.7995,7.7040,1.2800,0.1942,1.9999
11.8857,8.7937,7.6829,1.4630,-0.6117,1.2030
12.0000,8.7900,7.6485,1.5318,-0.0000,0.0000
12.0000,9.0210,7.3211,2.4929,-0.0000,0.0000
