time,x,y,psi,v,omega
0.0000,1.4000,10.0000,-0.0000,-0.0000,-0.0000
0.4444,1.4494,10.0000,0.1299,0.2200,0.5845
0.8889,1.5479,10.0126,0.2348,0.2200,-0.1123
1.3333,1.6441,10.0352,0.1802,0.2200,-0.1337
1.7778,1.7417,10.0525,0.1572,0.2200,0.0301
2.2222,1.8397,10.0675,0.1653,0.2200,0.0064
2.6667,1.9375,10.0832,0.1794,0.2200,0.0573
3.1111,2.0351,10.1002,0.1921,0.2200,-0.0003
3.5556,2.1323,10.1185,0.2097,0.2200,0.0794
4.0000,2.1805,10.1285,0.2273,-0.0000,0.0000
4.0000,2.1805,10.1285,0.2273,-0.0000,-0.0000
4.4444,2.2284,10.1395,0.1170,0.2200,-0.4968
4.8889,2.3255,10.1509,-0.0267,0.2200,-0.1496
5.3333,2.4237,10.1481,-0.0496,0.2200,0.0464
5.7778,2.5214,10.1432,-0.0383,0.2200,0.0046
6.2222,2.6191,10.1395,-0.0353,0.2200,0.0088
6.6667,2.7169,10.1360,-0.0306,0.2200,0.0123
7.1111,2.8147,10.1330,-0.0266,0.2200,0.0057
7.5556,2.9126,10.1303,-0.0695,0.2200,-0.1986
8.0000,2.9614,10.1269,-0.1136,0.0000,0.0000
8.0000,2.9614,10.1269,-0.1136,0.0000,-0.0000
8.4444,3.0099,10.1214,-0.0885,0.2200,0.1132
8.8889,3.1073,10.1128,-0.0587,0.2200,0.0206
9.3333,3.2049,10.1070,-0.0540,0.2200,0.0005
9.7778,3.3026,10.1017,-0.0541,0.2200,-0.0008
10.2222,3.4002,10.0965,-0.0544,0.2200,-0.0004
10.6667,3.4978,10.0911,-0.0545,0.2200,-0.0003
11.1111,3.5955,10.0858,-0.0547,0.2200,-0.0005
11.5556,3.6931,10.0805,-0.0548,0.2200,0.0002
12.0000,3.7419,10.0778,-0.0547,0.0000,0.0000
12.0000,3.7419,10.0778,-0.0547,-0.0000,-0.0000
12.4444,3.7907,10.0751,-0.0542,0.2200,0.0022
12.8889,3.8884,10.0698,-0.0537,0.2200,0.0001
13.3333,3.9860,10.0646,-0.0537,0.2200,-0.0003
13.7778,4.0836,10.0593,-0.0539,0.2200,-0.0002
14.2222,4.1813,10.0541,-0.0539,0.2200,-0.0001
14.6667,4.2789,10.0488,-0.0540,0.2200,-0.0001
15.1111,4.3766,10.0435,-0.0540,0.2200,-0.0001
15.5556,4.4742,10.0382,-0.0540,0.2200,0.0001
16.0000,4.5230,10.0356,-0.0540,0.0000,0.0000
16.0000,4.5230,10.0356,-0.0540,-0.0000,0.0000
16.4444,4.5718,10.0330,-0.0529,0.2200,0.0049
16.8889,4.6695,10.0278,-0.0516,0.2200,0.0011
17.3333,4.7671,10.0227,-0.0513,0.2200,0.0001
17.7778,4.8648,10.0177,-0.0513,0.2200,0.0000
18.2222,4.9624,10.0127,-0.0513,0.2200,-0.0000
18.6667,5.0601,10.0077,-0.0513,0.2200,-0.0000
19.1111,5.1577,10.0027,-0.0513,0.2200,-0.0002
19.5556,5.2554,9.9977,-0.0514,0.2200,0.0000
20.0000,5.3042,9.9952,-0.0513,0.0000,0.0000
20.0000,6.0327,10.7149,4.8206,-0.0000,-0.0000
20.4444,6.0292,10.7568,4.5539,-0.1908,-1.2000
20.8889,6.0372,10.7873,4.0206,0.0517,-1.2000
21.3333,5.9995,10.7442,3.5956,0.2200,-0.7123
21.7778,5.9120,10.7077,3.3586,0.2200,-0.3544
22.2222,5.8175,10.6927,3.2408,0.2200,-0.1753
22.6667,5.7216,10.6888,3.1791,0.2200,-0.1027
23.1111,5.6252,10.6906,3.1475,0.2200,-0.0394
