time,x,y,vx,vy
0.0000,2.6000,10.0000,0.0000,0.0000
0.4444,2.6484,10.0489,0.2200,0.2200
0.8889,2.7447,10.1467,0.2200,0.2200
1.3333,2.8412,10.2447,0.2200,0.2200
1.7778,2.9377,10.3427,0.2200,0.2200
2.2222,3.0340,10.4408,0.2200,0.2200
2.6667,3.1304,10.5389,0.2200,0.2200
3.1111,3.2268,10.6371,0.2200,0.2200
3.5556,3.3233,10.7353,0.2200,0.2200
4.0000,3.3719,10.7843,-0.0000,0.0000
4.0000,3.3719,10.7843,0.0000,0.0000
4.4444,3.4198,10.8333,0.2166,0.2200
4.8889,3.5168,10.8415,0.2200,-0.1831
5.3333,3.6141,10.7913,0.2200,-0.0436
5.7778,3.7118,10.7683,0.2200,-0.0597
6.2222,3.8096,10.7668,0.2200,0.0529
6.6667,3.9073,10.7772,0.2200,-0.0064
7.1111,4.0050,10.7957,0.2200,0.0897
7.5556,4.1027,10.8193,0.2200,0.0163
8.0000,4.1515,10.8229,0.0000,-0.0000
8.0000,4.1515,10.8229,0.0000,0.0000
8.4444,4.2004,10.8170,0.2200,-0.0266
8.8889,4.2982,10.8101,0.2200,-0.0045
9.3333,4.3960,10.8085,0.2200,-0.0028
9.7778,4.4938,10.8069,0.2200,-0.0044
10.2222,4.5915,10.8047,0.2200,-0.0057
10.6667,4.6893,10.8020,0.2200,-0.0063
11.1111,4.7871,10.7991,0.2200,-0.0068
11.5556,4.8849,10.7960,0.2200,-0.0071
12.0000,4.9338,10.7944,-0.0000,-0.0000
12.0000,4.9338,10.7944,0.0000,-0.0000
12.4444,4.9826,10.7928,0.2200,-0.0071
12.8889,5.0804,10.7894,0.2200,-0.0083
13.3333,5.1782,10.7854,0.2200,-0.0095
13.7778,5.2760,10.7810,0.2200,-0.0103
14.2222,5.3738,10.7764,0.2200,-0.0107
14.6667,5.4715,10.7716,0.2200,-0.0110
15.1111,5.5693,10.7667,0.2200,-0.0111
15.5556,5.6671,10.7617,0.2200,-0.0112
16.0000,5.7160,10.7592,0.0000,-0.0000
16.0000,5.7160,10.7592,-0.0000,-0.0000
16.4444,5.7649,10.7567,0.2200,-0.0112
16.8889,5.8626,10.7520,0.2200,-0.0098
17.3333,5.9604,10.7478,0.2200,-0.0095
17.7778,6.0582,10.7436,0.2200,-0.0094
18.2222,6.1560,10.7394,0.2200,-0.0094
18.6667,6.2538,10.7353,0.2200,-0.0094
19.1111,6.3515,10.7311,0.2200,-0.0094
19.5556,6.4493,10.7269,0.2200,-0.0095
20.0000,6.4982,10.7248,-0.0000,-0.0000
20.0000,6.8059,12.2839,0.0000,0.0000
20.4444,6.8072,12.2352,0.0109,-0.2200
20.8889,6.8554,12.1374,0.2200,-0.2200
21.3333,6.9524,12.0363,0.2200,-0.2200
21.7778,7.0490,11.9321,0.2160,-0.2200
22.2222,7.1311,11.8282,0.1585,-0.2200
22.6667,7.2022,11.7248,0.1670,-0.2200
23.1111,7.2677,11.6215,0.1339,-0.2200
23.5556,7.3310,11.5184,0.1569,-0.2200
24.0000,7.3656,11.4682,-0.0000,-0.0000
24.0000,7.3656,11.4682,0.0000,0.0000
24.4444,7.4145,11.4768,0.2200,0.0386
24.8889,7.5123,11.4716,0.2200,-0.0617
25.3333,7.6100,11.4657,0.2200,0.0351
25.7778,7.7077,11.4907,0.2200,0.0772
26.2222,7.8052,11.5393,0.2200,0.1408
26.6667,7.9024,11.6048,0.2200,0.1534
27.1111,7.9993,11.6866,0.2200,0.2134
27.5556,8.0959,11.7833,0.2200,0.2199
28.0000,8.1444,11.8323,-0.0000,-0.0000
28.0000,8.1444,11.8323,-0.0000,0.0000
28.4444,8.1265,11.8803,-0.0793,0.2200
28.8889,8.0919,11.9752,-0.0732,0.2200
29.3333,8.0824,12.0717,0.0307,0.2200
29.7778,8.1088,12.1694,0.0882,0.2200
30.2222,8.1540,12.2672,0.1154,0.2200
30.6667,8.2065,12.3649,0.1208,0.2200
31.1111,8.2605,12.4627,0.1224,0.2200
31.5556,8.3150,12.5605,0.1227,0.2200
32.0000,8.3422,12.6094,0.0000,-0.0000
32.0000,8.3391,12.6016,-0.0000,-0.0000
