time,x,y,vx,vy
0.000000,5.000000,15.000000,-0.000000,-0.000000
1.448122,6.109866,13.662853,-0.241800,-0.437600
2.813569,7.156243,12.401942,0.000000,-0.000000
4.325152,8.336653,11.024675,0.172500,-0.101100
4.848506,8.584896,10.447796,0.258800,-0.151700
6.498808,10.338581,9.527783,0.000000,0.000000
8.127554,12.058172,8.598774,0.000000,0.000000
9.342025,13.283501,7.809797,0.000000,0.000000
10.937883,14.915455,6.807769,0.000000,0.000000
11.237883,15.226044,6.625741,0.000000,0.000000
12.287883,16.313107,5.988643,0.000000,0.000000
13.917261,18.000000,5.000000,0.000000,0.000000
13.917261,18.000000,5.000000,0.000000,0.000000
