time,x,y,vx,vy
0.0000,9.9041,2.8306,0.0000,0.0000
0.0500,9.9042,2.8331,0.0045,0.0999
0.1000,9.9045,2.8406,0.0090,0.1998
0.1500,9.9051,2.8531,0.0135,0.2997
0.2000,9.9059,2.8706,0.0180,0.3996
0.2500,9.9069,2.8930,0.0225,0.4995
0.3000,9.9081,2.9205,0.0271,0.5994
0.3500,9.9096,2.9530,0.0316,0.6993
0.4000,9.9113,2.9904,0.0361,0.7992
0.4500,9.9131,3.0304,0.0361,0.7992
0.5000,9.9149,3.0704,0.0361,0.7992
0.5500,9.9167,3.1103,0.0361,0.7992
0.6000,9.9185,3.1503,0.0361,0.7992
0.6500,9.9203,3.1896,0.0338,0.7492
0.7000,9.9218,3.2246,0.0293,0.6493
0.7500,9.9232,3.2546,0.0248,0.5494
0.8000,9.9243,3.2795,0.0203,0.4495
0.8500,9.9252,3.2995,0.0158,0.3496
0.9000,9.9259,3.3145,0.0113,0.2497
0.9500,9.9264,3.3245,0.0068,0.1498
1.0000,9.9266,3.3295,0.0023,0.0499
1.0250,9.9266,3.3301,0.0000,0.0000
1.0250,10.1049,4.2982,0.0000,0.0000
1.0750,10.1049,4.3007,-0.0008,0.1000
1.1250,10.1048,4.3082,-0.0015,0.2000
1.1750,10.1047,4.3207,-0.0023,0.3000
1.2250,10.1046,4.3382,-0.0031,0.4000
1.2750,10.1044,4.3607,-0.0038,0.5000
1.3250,10.1042,4.3882,-0.0046,0.6000
1.3750,10.1040,4.4207,-0.0054,0.7000
1.4250,10.1037,4.4582,-0.0061,0.8000
1.4750,10.1034,4.4982,-0.0061,0.8000
1.5250,10.1031,4.5382,-0.0061,0.8000
1.5750,10.1028,4.5782,-0.0061,0.8000
1.6250,10.1025,4.6182,-0.0061,0.8000
1.6750,10.1022,4.6575,-0.0057,0.7500
1.7250,10.1019,4.6925,-0.0050,0.6500
1.7750,10.1017,4.7225,-0.0042,0.5500
1.8250,10.1015,4.7475,-0.0034,0.4500
1.8750,10.1013,4.7675,-0.0027,0.3500
1.9250,10.1012,4.7825,-0.0019,0.2500
1.9750,10.1011,4.7925,-0.0011,0.1500
2.0250,10.1011,4.7975,-0.0004,0.0500
2.0500,10.1011,4.7982,0.0000,0.0000
2.0500,10.4866,5.5909,0.0000,0.0000
2.1000,10.4863,5.5934,-0.0090,0.0996
