time,x,y,vx,vy
0.0000,9.9041,2.8306,0.0000,0.0000
0.0500,9.9042,2.8331,0.0045,0.0999
0.1000,9.9045,2.8400,0.0068,0.1498
0.1500,9.9048,2.8475,0.0068,0.1498
0.2000,9.9052,2.8550,0.0068,0.1498
0.2500,9.9055,2.8625,0.0068,0.1498
0.3000,9.9058,2.8699,0.0068,0.1498
0.3500,9.9062,2.8774,0.0068,0.1498
0.4000,9.9065,2.8849,0.0068,0.1498
0.4500,9.9069,2.8924,0.0068,0.1498
0.5000,9.9072,2.8999,0.0068,0.1498
0.5500,9.9075,2.9074,0.0068,0.1498
0.6000,9.9079,2.9149,0.0068,0.1498
0.6500,9.9082,2.9224,0.0068,0.1498
0.7000,9.9085,2.9299,0.0068,0.1498
0.7500,9.9089,2.9374,0.0068,0.1498
0.8000,9.9092,2.9449,0.0068,0.1498
0.8500,9.9096,2.9524,0.0068,0.1498
0.9000,9.9099,2.9599,0.0068,0.1498
0.9500,9.9102,2.9673,0.0068,0.1498
1.0000,9.9106,2.9748,0.0068,0.1498
1.0500,9.9109,2.9823,0.0068,0.1498
1.1000,9.9113,2.9898,0.0068,0.1498
1.1500,9.9116,2.9973,0.0068,0.1498
1.2000,9.9119,3.0048,0.0068,0.1498
1.2500,9.9123,3.0123,0.0068,0.1498
1.3000,9.9126,3.0198,0.0068,0.1498
1.3500,9.9129,3.0273,0.0068,0.1498
1.4000,9.9133,3.0348,0.0068,0.1498
1.4500,9.9136,3.0423,0.0068,0.1498
1.5000,9.9140,3.0498,0.0068,0.1498
1.5500,9.9143,3.0573,0.0068,0.1498
1.6000,9.9146,3.0647,0.0068,0.1498
1.6500,9.9150,3.0722,0.0068,0.1498
1.7000,9.9153,3.0797,0.0068,0.1498
1.7500,9.9156,3.0872,0.0068,0.1498
1.8000,9.9160,3.0947,0.0068,0.1498
1.8500,9.9163,3.1022,0.0068,0.1498
1.9000,9.9167,3.1097,0.0068,0.1498
1.9500,9.9170,3.1172,0.0068,0.1498
2.0000,9.9173,3.1247,0.0068,0.1498
2.0500,9.9177,3.1322,0.0068,0.1498
2.1000,9.9180,3.1397,0.0068,0.1498
2.1500,9.9184,3.1472,0.0068,0.1498
2.2000,9.9187,3.1547,0.0068,0.1498
2.2500,9.9190,3.1621,0.0068,0.1498
2.3000,9.9194,3.1696,0.0068,0.1498
