time,x,y,theta
0.000000,20.260000,12.000000,0.000000
1.474901,19.028433,12.346007,0.000000
3.069495,17.146699,11.998716,0.000000
3.525671,16.858086,11.721774,0.000000
4.169786,16.431624,11.077132,0.000000
4.910785,16.045062,10.276355,0.000000
5.604585,15.815603,9.476039,0.000000
7.033118,15.407883,8.292389,0.000000
7.546994,14.920585,7.936390,0.000000
8.143338,14.876004,7.222167,0.000000
8.684108,14.692469,6.599738,0.000000
9.217440,14.443533,6.010458,0.000000
9.750773,14.186550,5.425339,0.000000
10.284106,13.929987,4.840122,0.000000
10.817438,13.674047,4.254708,0.000000
12.291001,13.891989,3.203634,0.000000
12.730677,13.365088,3.176273,0.000000
12.930405,13.175001,3.221785,0.000000
13.098555,13.116000,3.200000,0.000000
