time,xc,yc,theta_c,sx,sy
0.000000,2.280000,1.330000,1.570000,1.000000,1.000000
0.146665,2.280089,1.505998,1.570001,1.000000,1.000012
0.293330,2.280126,1.681996,1.570002,1.000000,1.000022
0.439995,2.280141,1.857994,1.570002,1.000000,1.000021
0.586660,2.280145,2.033992,1.570002,1.000000,1.000016
0.733325,2.280144,2.209990,1.570002,1.000000,1.000011
0.879990,2.280140,2.385988,1.570002,1.000000,1.000007
1.026655,2.280136,2.561986,1.570002,1.000000,1.000004
1.173320,2.280131,2.737983,1.570002,1.000000,1.000002
1.319984,2.280125,2.913981,1.570002,1.000000,1.000001
1.466649,2.280120,3.089978,1.570002,1.000000,1.000001
1.613313,2.280114,3.265975,1.570002,1.000000,1.000001
1.759977,2.280109,3.441973,1.570002,1.000000,1.000001
1.906642,2.280103,3.617970,1.570002,1.000000,1.000001
2.053306,2.280098,3.793966,1.570002,1.000000,1.000001
2.199969,2.280092,3.969963,1.570002,1.000000,1.000001
2.346633,2.280086,4.145959,1.570002,1.000000,1.000002
2.493296,2.280081,4.321955,1.570002,1.000000,1.000002
2.639960,2.280075,4.497951,1.570002,1.000000,1.000001
2.786622,2.280069,4.673946,1.570002,1.000000,1.000001
2.933285,2.280064,4.849941,1.570003,1.000000,1.000001
3.079947,2.280058,5.025936,1.570003,1.000000,1.000001
3.226609,2.280053,5.201930,1.570003,1.000000,1.000001
3.373270,2.280047,5.377923,1.570004,1.000000,1.000001
3.519930,2.280041,5.553915,1.570005,1.000000,1.000001
3.666589,2.280036,5.729905,1.570006,1.000000,1.000001
3.813246,2.280030,5.905893,1.570009,0.999999,1.000001
3.959902,2.280024,6.081877,1.570016,0.999996,1.000001
4.106552,2.280019,6.257844,1.570033,0.999979,1.000001
4.253194,2.280013,6.433811,1.570046,0.999978,1.000001
4.399743,2.280007,6.609627,1.570062,0.999907,1.000002
4.527194,2.280002,6.762529,1.570074,0.999973,1.000002
4.570173,2.280001,6.814092,1.570077,0.999993,1.000002
4.591788,2.280000,6.840000,1.570000,1.000000,1.000000
