time,x,y,theta
0.000000,2.469546,0.759849,1.570000
0.146665,2.469638,0.935847,1.570432
0.293330,2.469677,1.111845,1.570654
0.439995,2.469692,1.287843,1.570752
0.586660,2.469695,1.463841,1.570796
0.733325,2.469693,1.639839,1.570815
0.879990,2.469689,1.815837,1.570823
1.026655,2.469683,1.991835,1.570826
1.173320,2.469678,2.167832,1.570827
1.319984,2.469673,2.343830,1.570828
1.466649,2.469667,2.519827,1.570828
1.613313,2.469662,2.695825,1.570828
1.759977,2.469656,2.871822,1.570828
1.906642,2.469651,3.047819,1.570828
2.053306,2.469645,3.223816,1.570828
2.199969,2.469639,3.399812,1.570828
2.346633,2.469634,3.575808,1.570828
2.493296,2.469628,3.751805,1.570828
2.639960,2.469623,3.927800,1.570828
2.786622,2.469617,4.103796,1.570828
2.933285,2.469612,4.279791,1.570828
3.079947,2.469606,4.455785,1.570827
3.226609,2.469601,4.631779,1.570827
3.373270,2.469595,4.807772,1.570826
3.519930,2.469590,4.983764,1.570825
3.666589,2.469585,5.159755,1.570823
3.813246,2.469581,5.335744,1.570818
3.959902,2.469580,5.511731,1.570801
4.106552,2.469584,5.687711,1.570754
4.253194,2.469585,5.863682,1.570798
4.399743,2.469589,6.039540,1.570761
4.527194,2.469591,6.192407,1.570796
4.570173,2.469591,6.243959,1.570808
4.591788,2.469546,6.269849,1.570808
