time,x,y,theta
0.000000,1.900000,1.330303,1.570000
0.146665,1.900085,1.506300,1.570502
0.293330,1.900118,1.682298,1.570666
0.439995,1.900133,1.858296,1.570740
0.586660,1.900138,2.034294,1.570778
0.733325,1.900139,2.210292,1.570798
0.879990,1.900138,2.386290,1.570810
1.026655,1.900134,2.562288,1.570818
1.173320,1.900130,2.738285,1.570823
1.319984,1.900125,2.914283,1.570825
1.466649,1.900120,3.090280,1.570827
1.613313,1.900114,3.266277,1.570828
1.759977,1.900109,3.442275,1.570828
1.906642,1.900103,3.618271,1.570829
2.053306,1.900097,3.794268,1.570828
2.199969,1.900092,3.970265,1.570828
2.346633,1.900086,4.146261,1.570828
2.493296,1.900080,4.322257,1.570828
2.639960,1.900075,4.498253,1.570828
2.786622,1.900069,4.674248,1.570828
2.933285,1.900063,4.850243,1.570828
3.079947,1.900058,5.026237,1.570828
3.226609,1.900052,5.202231,1.570828
3.373270,1.900046,5.378224,1.570828
3.519930,1.900041,5.554215,1.570828
3.666589,1.900035,5.730205,1.570828
3.813246,1.900030,5.906192,1.570828
3.959902,1.900024,6.082173,1.570829
4.106552,1.900018,6.258134,1.570829
4.253194,1.900012,6.434096,1.570829
4.399743,1.900007,6.609906,1.570829
4.527194,1.900002,6.762803,1.570829
4.570173,1.900000,6.814365,1.570829
4.591788,1.900000,6.840303,1.570829
