time,x,y,theta,v,omega
0.000000,3.420000,7.410000,-1.570000,0.125000,0.160000
0.513015,3.272587,6.812292,-2.108936,0.000000,-1.120000
0.637170,3.243775,6.666119,-2.207040,0.000000,-1.600000
1.269407,3.135814,5.915155,-2.310869,0.000000,-0.657000
1.738208,2.982485,5.373892,-2.051578,0.125000,-0.122700
2.126081,3.002577,4.908878,-0.994322,0.125000,0.160000
2.222319,3.062274,4.810019,-1.015201,0.250000,0.165700
2.868351,3.087831,4.035202,-1.049290,0.000000,-0.750800
3.311098,2.584712,3.864475,-1.833970,0.000000,0.320000
3.538113,2.411823,3.653950,-2.993734,0.000000,1.062400
4.044154,2.001912,3.205929,2.693073,0.000000,-0.160000
4.552389,1.585768,2.760080,-3.095886,0.000000,-1.017700
5.098325,1.140000,2.280000,-1.570000,0.000000,-0.160000
