time,x,y,theta,v,omega
0.000000,2.850000,7.410000,-1.570000,0.125000,-0.160000
0.929107,2.826566,7.225662,-1.793791,0.125000,-0.110600
1.860232,2.779105,7.045587,-1.851474,0.125000,-0.026100
2.791475,2.726051,6.867054,-1.865068,0.200000,-0.005700
3.722724,2.671686,6.688915,-1.868275,0.200000,-0.001300
4.653974,2.617014,6.510870,-1.869033,0.200000,-0.000300
5.585224,2.562268,6.332848,-1.869212,0.200000,-0.000100
6.516474,2.507504,6.154831,-1.869254,0.200000,-0.000000
7.447724,2.452737,5.976815,-1.869265,0.200000,-0.000000
8.378974,2.397969,5.798800,-1.869267,0.200000,-0.000000
9.310224,2.343200,5.620785,-1.869268,0.200000,-0.000000
10.241474,2.288432,5.442769,-1.869268,0.200000,-0.000000
11.172724,2.233663,5.264754,-1.869268,0.200000,-0.000000
12.103974,2.178895,5.086738,-1.869268,0.200000,-0.000000
13.035224,2.124126,4.908723,-1.869268,0.200000,-0.000000
13.966474,2.069357,4.730708,-1.869268,0.200000,-0.000000
14.897724,2.014589,4.552692,-1.869268,0.200000,-0.000000
15.828974,1.959820,4.374677,-1.869268,0.200000,-0.000000
16.760224,1.905052,4.196662,-1.869268,0.200000,-0.000000
17.691474,1.850283,4.018646,-1.869268,0.200000,-0.000000
18.622724,1.795514,3.840631,-1.869268,0.200000,-0.000000
19.553974,1.740746,3.662616,-1.869268,0.200000,-0.000000
20.485224,1.685977,3.484600,-1.869268,0.200000,-0.000000
21.416474,1.631209,3.306585,-1.869268,0.200000,-0.000000
22.347724,1.576440,3.128570,-1.869268,0.200000,-0.000000
23.278974,1.521672,2.950554,-1.869268,0.200000,-0.000000
24.210224,1.466903,2.772539,-1.869268,0.200000,-0.000000
25.141474,1.412134,2.594524,-1.869268,0.200000,-0.000000
26.072724,1.357366,2.416508,-1.869268,0.200000,0.000000
27.003974,1.302597,2.238493,-1.869268,0.200000,-0.000000
27.935224,1.247829,2.060478,-1.869268,0.200000,0.000000
28.866474,1.193060,1.882462,-1.869268,0.000000,0.000000
29.747724,1.141232,1.714005,-1.869268,0.000000,0.000000
29.768674,1.140000,1.710000,-1.570000,0.000000,0.000000
