time,x,y,theta
0.000000,2.849849,1.139546,1.570000
9.246675,2.662106,2.584364,1.412259
10.044876,2.655774,2.711519,1.702326
10.844932,2.638844,2.838403,1.703717
11.644926,2.621809,2.965263,1.704439
12.444915,2.604760,3.092121,1.704280
13.244904,2.587822,3.218994,1.703023
14.044895,2.571132,3.345899,1.700663
14.844885,2.554819,3.472854,1.697329
15.644864,2.539007,3.599870,1.693025
16.444844,2.523782,3.726958,1.688205
17.244824,2.509195,3.854120,1.683075
18.044802,2.495270,3.981356,1.677819
18.844780,2.482011,4.108664,1.672590
19.644757,2.469407,4.236037,1.667512
20.444732,2.457429,4.363471,1.662682
21.244706,2.446042,4.490958,1.658173
22.044678,2.435200,4.618493,1.654035
22.844648,2.424853,4.746068,1.650303
34.638810,2.289943,6.598945,1.735553
35.112220,2.285809,6.623205,1.735697
35.326847,2.279849,6.649546,1.735697
