time,xc,yc,theta_c,sx,sy
0.000000,2.280000,1.330000,1.570000,1.000000,1.000000
7.164578,1.919773,2.688390,1.327246,1.033503,1.110756
13.364602,1.686007,4.177028,1.505675,1.132282,1.057367
14.164492,1.674635,4.353027,1.532053,1.047109,1.052637
14.933900,1.666988,4.529025,1.555882,1.006285,1.041811
15.718836,1.665489,4.705024,1.563063,1.001842,1.027445
16.509051,1.666902,4.881022,1.567185,1.002264,1.011081
17.300740,1.670440,5.057021,1.570943,1.003148,0.995241
18.093498,1.675778,5.233018,1.574487,1.003837,0.982156
18.887436,1.682594,5.409016,1.577619,1.004139,0.973383
19.682275,1.690481,5.585013,1.580255,1.004200,0.969660
20.476956,1.698936,5.761010,1.582672,1.004309,0.970913
21.271902,1.707532,5.937006,1.584717,1.004508,0.976332
22.067330,1.715830,6.113001,1.586370,1.004803,0.984598
22.862596,1.723367,6.288996,1.587956,1.005200,0.994163
23.659173,1.729876,6.464992,1.589032,1.005473,1.003445
24.457221,1.735090,6.640951,1.589564,1.005508,1.011125
25.089677,1.740152,6.772673,1.578101,1.001004,1.015028
25.434273,1.710000,6.840000,1.570000,1.000000,1.000000
