time,x,y,theta
0.000000,2.280303,1.710000,1.570000
3.220627,2.009372,2.792279,0.000000
4.020943,1.956399,2.944041,0.000000
4.821108,1.912797,3.092330,0.000000
5.621197,1.873473,3.239723,0.000000
6.421208,1.836364,3.387026,0.000000
13.637352,1.553603,5.208367,0.000000
14.437000,1.544997,5.226958,0.000000
15.237057,1.500080,5.366051,0.000000
16.037217,1.462530,5.520320,0.000000
16.837073,1.461729,5.671762,0.000000
17.636885,1.484598,5.812981,0.000000
18.436736,1.515247,5.950048,0.000000
19.236627,1.548965,6.084431,0.000000
20.036548,1.584131,6.216336,0.000000
20.836485,1.620032,6.345626,0.000000
21.636424,1.656222,6.472036,0.000000
22.381567,1.689356,6.587569,0.000000
22.713553,1.710303,6.650000,0.000000
