time,x,y,theta
0.000000,3.135464,1.750000,1.570000
0.799991,3.135556,1.925998,1.570436
1.599981,3.135597,2.101996,1.570637
2.399971,3.135614,2.277993,1.570735
3.199961,3.135620,2.453991,1.570783
3.999950,3.135619,2.629989,1.570808
4.799939,3.135616,2.805986,1.570820
5.599928,3.135611,2.981984,1.570827
6.399916,3.135605,3.157981,1.570830
7.199904,3.135599,3.333979,1.570831
7.999892,3.135593,3.509976,1.570832
8.799879,3.135587,3.685973,1.570832
9.599865,3.135580,3.861970,1.570832
10.399851,3.135574,4.037967,1.570832
11.199836,3.135568,4.213963,1.570831
11.999820,3.135562,4.389960,1.570831
12.799804,3.135556,4.565956,1.570831
13.599786,3.135550,4.741953,1.570830
14.399768,3.135544,4.917949,1.570829
15.199749,3.135538,5.093944,1.570829
15.999728,3.135532,5.269940,1.570828
16.799706,3.135527,5.445935,1.570828
17.599683,3.135521,5.621930,1.570827
18.399658,3.135516,5.797924,1.570827
19.199630,3.135511,5.973918,1.570826
19.999600,3.135506,6.149911,1.570825
20.799567,3.135501,6.325904,1.570825
21.599530,3.135496,6.501896,1.570824
22.399489,3.135491,6.677886,1.570824
23.199442,3.135486,6.853875,1.570824
23.999388,3.135482,7.029862,1.570827
24.799327,3.135476,7.205844,1.570834
25.599259,3.135468,7.381813,1.570860
26.399179,3.135447,7.557729,1.570967
27.199043,3.135433,7.733685,1.570866
27.998510,3.135411,7.909476,1.570968
28.755968,3.135392,8.076117,1.570881
29.164528,3.135464,8.166000,1.570881
