time,xc,yc,theta_c,sx,sy
0.000000,3.135000,1.167000,1.570000,1.000000,1.000000
5.220566,3.232277,2.161564,1.245395,1.246856,1.080717
6.014595,3.167751,2.319283,1.275424,1.218325,1.130382
14.448649,3.560403,4.009891,1.120867,1.447848,1.335724
15.248190,3.498293,4.159696,1.163829,1.372014,1.413819
16.048130,3.441704,4.322947,1.188024,1.344330,1.458611
16.848086,3.397552,4.492692,1.197187,1.335567,1.477665
17.648061,3.364726,4.665523,1.197210,1.335483,1.477528
18.448084,3.340934,4.839688,1.192005,1.339585,1.464192
19.248149,3.323929,5.014398,1.183982,1.345717,1.442766
20.048236,3.311808,5.189352,1.174638,1.352705,1.417301
20.848324,3.303032,5.364462,1.164953,1.359841,1.390842
21.648401,3.296366,5.539721,1.155604,1.366662,1.365569
22.448460,3.290812,5.715130,1.147079,1.372844,1.342951
23.248496,3.285558,5.890666,1.139726,1.378109,1.323891
24.048514,3.279902,6.064581,1.133441,1.376042,1.307869
24.848521,3.273587,6.233820,1.127525,1.355658,1.292763
25.648519,3.266696,6.398441,1.121664,1.317429,1.277734
26.448508,3.259020,6.560406,1.116745,1.270281,1.263079
27.248441,3.248886,6.717185,1.131822,1.250336,1.237434
28.048324,3.236475,6.867110,1.160361,1.234146,1.204913
28.848192,3.222021,7.010336,1.199109,1.212828,1.168837
29.648067,3.205894,7.147538,1.246809,1.184760,1.131620
30.447968,3.188670,7.279456,1.302583,1.150191,1.095364
31.247890,3.171023,7.406689,1.365920,1.110323,1.061962
32.047861,3.153745,7.529637,1.436418,1.066486,1.033367
32.723489,3.135000,7.583000,1.570000,1.000000,1.000000
