time,x,y,vx,vy
0.0000,6.7926,3.3634,0.0000,0.0000
0.0500,6.7957,3.3640,0.1230,0.0225
0.1000,6.8049,3.3656,0.2459,0.0450
0.1500,6.8172,3.3679,0.2459,0.0450
0.2000,6.8295,3.3701,0.2459,0.0450
0.2500,6.8418,3.3724,0.2459,0.0450
0.3000,6.8541,3.3746,0.2459,0.0450
0.3500,6.8664,3.3769,0.2459,0.0450
0.4000,6.8787,3.3791,0.2459,0.0450
0.4500,6.8909,3.3814,0.2459,0.0450
0.5000,6.9032,3.3836,0.2459,0.0450
0.5500,6.9155,3.3859,0.2459,0.0450
0.6000,6.9278,3.3881,0.2459,0.0450
0.6500,6.9401,3.3904,0.2459,0.0450
0.7000,6.9524,3.3926,0.2459,0.0450
0.7500,6.9647,3.3949,0.2459,0.0450
0.8000,6.9770,3.3971,0.2459,0.0450
0.8500,6.9893,3.3994,0.2459,0.0450
0.9000,7.0016,3.4016,0.2459,0.0450
0.9500,7.0139,3.4039,0.2459,0.0450
1.0000,7.0262,3.4061,0.2459,0.0450
1.0500,7.0385,3.4084,0.2459,0.0450
1.1000,7.0508,3.4106,0.2459,0.0450
1.1500,7.0631,3.4129,0.2459,0.0450
1.2000,7.0754,3.4151,0.2459,0.0450
1.2500,7.0846,3.4168,0.1230,0.0225
1.3000,7.0877,3.4174,0.0000,0.0000
1.3000,8.4988,3.6865,0.0481,0.1154
1.3500,8.5000,3.6894,0.0963,0.2307
1.4000,8.5036,3.6981,0.0963,0.2307
1.4500,8.5084,3.7096,0.0963,0.2307
1.5000,8.5132,3.7211,0.0963,0.2307
1.5500,8.5180,3.7327,0.0963,0.2307
1.6000,8.5228,3.7442,0.0963,0.2307
1.6500,8.5276,3.7558,0.0963,0.2307
1.7000,8.5324,3.7673,0.0963,0.2307
1.7500,8.5373,3.7788,0.0963,0.2307
1.8000,8.5421,3.7904,0.0963,0.2307
1.8500,8.5469,3.8019,0.0963,0.2307
1.9000,8.5517,3.8134,0.0963,0.2307
1.9500,8.5565,3.8250,0.0963,0.2307
2.0000,8.5613,3.8365,0.0963,0.2307
2.0500,8.5661,3.8480,0.0963,0.2307
2.1000,8.5709,3.8596,0.0963,0.2307
2.1500,8.5758,3.8711,0.0963,0.2307
2.2000,8.5806,3.8827,0.0963,0.2307
2.2500,8.5854,3.8942,0.0963,0.2307
2.3000,8.5902,3.9057,0.0963,0.2307
2.3500,8.5950,3.9173,0.0963,0.2307
2.4000,8.5998,3.9288,0.0963,0.2307
2.4500,8.6046,3.9403,0.0963,0.2307
2.5000,8.6094,3.9519,0.0481,0.1154
2.5500,8.6131,3.9605,0.0000,0.0000
2.6000,8.6143,3.9634,0.1241,0.0149
2.6000,10.0135,4.6587,0.2482,0.0298
2.6500,10.0166,4.6591,0.2482,0.0298
2.7000,10.0259,4.6602,0.2482,0.0298
2.7500,10.0383,4.6617,0.2482,0.0298
2.8000,10.0507,4.6632,0.2482,0.0298
2.8500,10.0631,4.6647,0.2482,0.0298
2.9000,10.0756,4.6662,0.2482,0.0298
2.9500,10.0880,4.6676,0.2482,0.0298
3.0000,10.1004,4.6691,0.2482,0.0298
3.0500,10.1128,4.6706,0.2482,0.0298
3.1000,10.1252,4.6721,0.2482,0.0298
3.1500,10.1376,4.6736,0.2482,0.0298
3.2000,10.1500,4.6751,0.2482,0.0298
3.2500,10.1624,4.6766,0.2482,0.0298
3.3000,10.1748,4.6781,0.2482,0.0298
3.3500,10.1873,4.6795,0.2482,0.0298
3.4000,10.1997,4.6810,0.2482,0.0298
3.4500,10.2121,4.6825,0.2482,0.0298
3.5000,10.2245,4.6840,0.2482,0.0298
3.5500,10.2369,4.6855,0.2482,0.0298
3.6000,10.2493,4.6870,0.2482,0.0298
3.6500,10.2617,4.6885,0.2482,0.0298
3.7000,10.2741,4.6900,0.2482,0.0298
3.7500,10.2865,4.6915,0.1241,0.0149
3.8000,10.2990,4.6929,0.0000,0.0000
3.8500,10.3083,4.6941,0.1246,0.0099
3.9000,10.3114,4.6944,0.2492,0.0197
3.9000,11.4724,5.2303,0.2492,0.0197
3.9500,11.4755,5.2306,0.2492,0.0197
4.0000,11.4849,5.2313,0.2492,0.0197
4.0500,11.4973,5.2323,0.2492,0.0197
4.1000,11.5098,5.2333,0.2492,0.0197
4.1500,11.5223,5.2343,0.2492,0.0197
4.2000,11.5347,5.2353,0.2492,0.0197
4.2500,11.5472,5.2363,0.2492,0.0197
4.3000,11.5596,5.2372,0.2492,0.0197
4.3500,11.5721,5.2382,0.2492,0.0197
4.4000,11.5846,5.2392,0.2492,0.0197
4.4500,11.5970,5.2402,0.2492,0.0197
4.5000,11.6095,5.2412,0.2492,0.0197
4.5500,11.6219,5.2422,0.2492,0.0197
4.6000,11.6344,5.2432,0.2492,0.0197
4.6500,11.6469,5.2441,0.2492,0.0197
4.7000,11.6593,5.2451,0.2492,0.0197
4.7500,11.6718,5.2461,0.2492,0.0197
4.8000,11.6842,5.2471,0.2492,0.0197
4.8500,11.6967,5.2481,0.2492,0.0197
4.9000,11.7092,5.2491,0.2492,0.0197
4.9500,11.7216,5.2501,0.2492,0.0197
5.0000,11.7341,5.2510,0.1246,0.0099
5.0500,11.7466,5.2520,0.0000,-0.0000
5.1000,11.7590,5.2530,0.0715,-0.1025
5.1500,11.7684,5.2538,0.1430,-0.2051
5.2000,11.7715,5.2540,0.1430,-0.2051
5.2000,13.1423,6.0331,0.1430,-0.2051
5.2500,13.1441,6.0305,0.1430,-0.2051
5.3000,13.1495,6.0228,0.1430,-0.2051
5.3500,13.1566,6.0126,0.1430,-0.2051
5.4000,13.1638,6.0023,0.1430,-0.2051
5.4500,13.1709,5.9920,0.1430,-0.2051
5.5000,13.1781,5.9818,0.1430,-0.2051
5.5500,13.1852,5.9715,0.1430,-0.2051
5.6000,13.1924,5.9613,0.1430,-0.2051
5.6500,13.1995,5.9510,0.1430,-0.2051
5.7000,13.2067,5.9408,0.1430,-0.2051
5.7500,13.2138,5.9305,0.1430,-0.2051
5.8000,13.2210,5.9203,0.1430,-0.2051
5.8500,13.2281,5.9100,0.1430,-0.2051
5.9000,13.2353,5.8998,0.1430,-0.2051
5.9500,13.2424,5.8895,0.1430,-0.2051
6.0000,13.2496,5.8793,0.1430,-0.2051
6.0500,13.2567,5.8690,0.1430,-0.2051
6.1000,13.2639,5.8588,0.1430,-0.2051
6.1500,13.2710,5.8485,0.1430,-0.2051
6.2000,13.2782,5.8383,0.1430,-0.2051
6.2500,13.2853,5.8280,0.0715,-0.1025
6.3000,13.2925,5.8178,-0.0000,-0.0000
6.3500,13.2996,5.8075,-0.0513,-0.1140
6.4000,13.3068,5.7972,-0.1026,-0.2280
6.4500,13.3121,5.7896,-0.1026,-0.2280
6.5000,13.3139,5.7870,-0.1026,-0.2280
6.5000,15.0878,5.9855,-0.1026,-0.2280
