time,x,y,theta,v,omega
0.0000,17.9436,9.8241,0.0178,0.0000,-0.1250
0.0500,17.9436,9.8241,0.0115,0.0000,-0.2500
0.1000,17.9436,9.8241,-0.0010,0.0000,-0.3750
0.1500,17.9436,9.8241,-0.0197,0.0000,-0.4000
0.2000,17.9436,9.8241,-0.0397,0.0000,-0.4000
0.2500,17.9436,9.8241,-0.0597,0.0000,-0.4000
0.3000,17.9436,9.8241,-0.0797,0.0000,-0.4000
0.3500,17.9436,9.8241,-0.0997,0.0000,-0.4000
0.4000,17.9436,9.8241,-0.1197,0.0000,-0.4000
0.4500,17.9436,9.8241,-0.1397,0.0000,-0.4000
0.5000,17.9436,9.8241,-0.1597,0.0000,-0.4000
0.5500,17.9436,9.8241,-0.1797,0.0000,-0.4000
0.6000,17.9436,9.8241,-0.1997,0.0000,-0.4000
0.6500,17.9436,9.8241,-0.2197,0.0000,-0.4000
0.7000,17.9436,9.8241,-0.2397,0.0000,-0.4000
0.7500,17.9436,9.8241,-0.2597,0.0000,-0.4000
0.8000,17.9436,9.8241,-0.2797,0.0000,-0.4000
0.8500,17.9436,9.8241,-0.2997,0.0000,-0.4000
0.9000,17.9436,9.8241,-0.3197,0.0000,-0.4000
0.9500,17.9436,9.8241,-0.3397,0.0000,-0.4000
1.0000,17.9436,9.8241,-0.3597,0.0000,-0.4000
1.0500,17.9436,9.8241,-0.3797,0.0000,-0.4000
1.1000,17.9436,9.8241,-0.3997,0.0000,-0.4000
1.1500,17.9436,9.8241,-0.4197,0.0000,-0.4000
1.2000,17.9436,9.8241,-0.4397,0.0000,-0.4000
1.2500,17.9436,9.8241,-0.4597,0.0000,-0.4000
1.3000,17.9436,9.8241,-0.4797,0.0000,-0.4000
1.3500,17.9436,9.8241,-0.4997,0.0000,-0.4000
1.4000,17.9436,9.8241,-0.5197,0.0000,-0.4000
1.4500,17.9436,9.8241,-0.5397,0.0000,-0.4000
1.5000,17.9436,9.8241,-0.5597,0.0000,-0.4000
1.5500,17.9436,9.8241,-0.5797,0.0000,-0.4000
1.6000,17.9436,9.8241,-0.5997,0.0000,-0.4000
1.6500,17.9436,9.8241,-0.6197,0.0000,-0.4000
1.7000,17.9436,9.8241,-0.6397,0.0000,-0.4000
1.7500,17.9436,9.8241,-0.6597,0.0000,-0.4000
1.8000,17.9436,9.8241,-0.6797,0.0000,-0.4000
1.8500,17.9436,9.8241,-0.6997,0.0000,-0.4000
1.9000,17.9436,9.8241,-0.7197,0.0000,-0.4000
1.9500,17.9436,9.8241,-0.7397,0.0000,-0.4000
2.0000,17.9436,9.8241,-0.7597,0.0000,-0.4000
2.0500,17.9436,9.8241,-0.7797,0.0000,-0.4000
2.1000,17.9436,9.8241,-0.7997,0.0000,-0.4000
2.1500,17.9436,9.8241,-0.8197,0.0000,-0.4000
2.2000,17.9436,9.8241,-0.8397,0.0000,-0.4000
2.2500,17.9436,9.8241,-0.8597,0.0000,-0.4000
2.3000,17.9436,9.8241,-0.8797,0.0000,-0.4000
2.3500,17.9436,9.8241,-0.8997,0.0000,-0.4000
2.4000,17.9436,9.8241,-0.9197,0.0000,-0.4000
2.4500,17.9436,9.8241,-0.9397,0.0000,-0.4000
2.5000,17.9436,9.8241,-0.9597,0.0000,-0.4000
2.5500,17.9436,9.8241,-0.9797,0.0000,-0.4000
2.6000,17.9436,9.8241,-0.9997,0.0000,-0.4000
2.6500,17.9436,9.8241,-1.0197,0.0000,-0.4000
2.7000,17.9436,9.8241,-1.0397,0.0000,-0.4000
2.7500,17.9436,9.8241,-1.0597,0.0000,-0.4000
2.8000,17.9436,9.8241,-1.0797,0.0000,-0.4000
2.8500,17.9436,9.8241,-1.0997,0.0000,-0.4000
2.9000,17.9436,9.8241,-1.1197,0.0000,-0.4000
2.9500,17.9436,9.8241,-1.1397,0.0000,-0.4000
3.0000,17.9436,9.8241,-1.1597,0.0000,-0.4000
3.0500,17.9436,9.8241,-1.1797,0.0000,-0.4000
3.1000,17.9436,9.8241,-1.1997,0.0000,-0.4000
3.1500,17.9436,9.8241,-1.2197,0.0000,-0.4000
3.2000,17.9436,9.8241,-1.2397,0.0000,-0.4000
3.2500,17.9436,9.8241,-1.2597,0.0000,-0.4000
3.3000,17.9436,9.8241,-1.2797,0.0000,-0.4000
3.3500,17.9436,9.8241,-1.2997,0.0000,-0.4000
3.4000,17.9436,9.8241,-1.3197,0.0000,-0.4000
3.4500,17.9436,9.8241,-1.3397,0.0000,-0.4000
3.5000,17.9436,9.8241,-1.3597,0.0000,-0.4000
3.5500,17.9436,9.8241,-1.3797,0.0000,-0.4000
3.6000,17.9436,9.8241,-1.3997,0.0000,-0.4000
3.6500,17.9436,9.8241,-1.4197,0.0000,-0.4000
3.7000,17.9436,9.8241,-1.4397,0.0000,-0.4000
3.7500,17.9436,9.8241,-1.4597,0.0000,-0.4000
3.8000,17.9436,9.8241,-1.4797,0.0000,-0.4000
3.8500,17.9436,9.8241,-1.4997,0.0000,-0.4000
3.9000,17.9436,9.8241,-1.5197,0.0000,-0.4000
3.9500,17.9436,9.8241,-1.5397,0.0000,-0.4000
4.0000,17.9436,9.8241,-1.5597,0.0000,-0.4000
4.0500,17.9436,9.8241,-1.5797,0.0000,-0.4000
4.1000,17.9436,9.8241,-1.5997,0.0000,-0.4000
4.1500,17.9436,9.8241,-1.6197,0.0000,-0.4000
4.2000,17.9436,9.8241,-1.6397,0.0000,-0.4000
4.2500,17.9436,9.8241,-1.6597,0.0000,-0.4000
4.3000,17.9436,9.8241,-1.6797,0.0000,-0.4000
4.3500,17.9436,9.8241,-1.6997,0.0000,-0.4000
4.4000,17.9436,9.8241,-1.7197,0.0000,-0.4000
4.4500,17.9436,9.8241,-1.7397,0.0000,-0.4000
4.5000,17.9436,9.8241,-1.7597,0.0000,-0.4000
4.5500,17.9436,9.8241,-1.7797,0.0000,-0.4000
4.6000,17.9436,9.8241,-1.7997,0.0000,-0.4000
4.6500,17.9436,9.8241,-1.8197,0.0000,-0.4000
4.7000,17.9436,9.8241,-1.8397,0.0000,-0.4000
4.7500,17.9436,9.8241,-1.8597,0.0000,-0.4000
4.8000,17.9436,9.8241,-1.8797,0.0000,-0.4000
4.8500,17.9436,9.8241,-1.8997,0.0000,-0.4000
4.9000,17.9436,9.8241,-1.9197,0.0000,-0.4000
4.9500,17.9436,9.8241,-1.9397,0.0000,-0.4000
5.0000,17.9436,9.8241,-1.9597,0.0000,-0.4000
5.0500,17.9436,9.8241,-1.9797,0.0000,-0.1250
5.0500,17.9436,9.8241,-1.9797,0.0000,-0.2500
5.1000,17.9436,9.8241,-1.9860,0.0000,-0.3750
5.1500,17.9436,9.8241,-1.9985,0.0000,-0.4000
5.2000,17.9436,9.8241,-2.0172,0.0000,-0.4000
5.2500,17.9436,9.8241,-2.0372,0.0000,-0.4000
5.3000,17.9436,9.8241,-2.0572,0.0000,-0.4000
5.3500,17.9436,9.8241,-2.0772,0.0000,-0.4000
5.4000,17.9436,9.8241,-2.0972,0.0000,-0.4000
5.4500,17.9436,9.8241,-2.1172,0.0000,-0.4000
5.5000,17.9436,9.8241,-2.1372,0.0000,-0.4000
5.5500,17.9436,9.8241,-2.1572,0.0000,-0.4000
5.6000,17.9436,9.8241,-2.1772,0.0000,-0.4000
5.6500,17.9436,9.8241,-2.1972,0.0000,-0.4000
5.7000,17.9436,9.8241,-2.2172,0.0000,-0.4000
5.7500,17.9436,9.8241,-2.2372,0.0000,-0.4000
5.8000,17.9436,9.8241,-2.2572,0.0000,-0.4000
5.8500,17.9436,9.8241,-2.2772,0.0000,-0.4000
5.9000,17.9436,9.8241,-2.2972,0.0000,-0.4000
5.9500,17.9436,9.8241,-2.3172,0.1250,-0.4000
6.0000,17.9436,9.8241,-2.3372,0.2500,-0.4000
6.0500,17.9393,9.8196,-2.3572,0.2500,-0.3875
6.1000,17.9304,9.8108,-2.3772,0.2500,-0.3588
6.1500,17.9214,9.8022,-2.3966,0.2500,-0.3322
6.2000,17.9122,9.7937,-2.4146,0.2500,-0.3076
6.2500,17.9029,9.7854,-2.4312,0.2500,-0.2848
6.3000,17.8934,9.7772,-2.4466,0.2500,-0.2637
6.3500,17.8838,9.7692,-2.4608,0.2500,-0.2442
6.4000,17.8741,9.7614,-2.4740,0.2500,-0.2261
6.4500,17.8643,9.7536,-2.4862,0.2500,-0.2093
6.5000,17.8544,9.7460,-2.4975,0.2500,-0.1938
6.5500,17.8444,9.7385,-2.5080,0.2500,-0.1795
6.6000,17.8343,9.7311,-2.5177,0.2500,-0.1662
6.6500,17.8241,9.7238,-2.5266,0.2500,-0.1539
6.7000,17.8139,9.7166,-2.5349,0.2500,-0.1425
6.7500,17.8037,9.7094,-2.5426,0.2500,-0.1319
6.8000,17.7933,9.7024,-2.5498,0.2500,-0.1222
6.8500,17.7830,9.6954,-2.5564,0.2500,-0.1131
6.9000,17.7725,9.6885,-2.5625,0.2500,-0.1047
6.9500,17.7621,9.6817,-2.5681,0.2500,-0.0970
7.0000,17.7516,9.6749,-2.5734,0.2500,-0.0898
7.0500,17.7410,9.6682,-2.5782,0.2500,-0.0831
7.1000,17.7305,9.6615,-2.5827,0.2500,-0.0770
7.1500,17.7199,9.6549,-2.5868,0.2500,-0.0713
7.2000,17.7093,9.6483,-2.5907,0.1250,-0.0660
7.2500,17.6986,9.6417,-2.5943,0.2500,-0.0611
7.2500,17.6986,9.6417,-2.5943,0.2500,-0.0566
7.3000,17.6933,9.6385,-2.5976,0.2500,-0.0524
7.3500,17.6826,9.6320,-2.6006,0.2500,-0.0485
7.4000,17.6719,9.6256,-2.6034,0.2500,-0.0449
7.4500,17.6611,9.6192,-2.6061,0.2500,-0.0416
7.5000,17.6504,9.6128,-2.6085,0.2500,-0.0385
7.5500,17.6396,9.6064,-2.6107,0.2500,-0.0356
7.6000,17.6288,9.6001,-2.6128,0.2500,-0.0330
7.6500,17.6180,9.5938,-2.6147,0.2500,-0.0306
7.7000,17.6072,9.5875,-2.6165,0.2500,-0.0283
7.7500,17.5964,9.5813,-2.6182,0.2500,-0.0262
7.8000,17.5856,9.5750,-2.6197,0.2500,-0.0243
7.8500,17.5747,9.5688,-2.6211,0.2500,-0.0225
7.9000,17.5639,9.5626,-2.6224,0.2500,-0.0208
7.9500,17.5531,9.5564,-2.6236,0.2500,-0.0193
8.0000,17.5422,9.5502,-2.6248,0.2500,-0.0178
8.0500,17.5313,9.5440,-2.6258,0.2500,-0.0165
8.1000,17.5204,9.5378,-2.6268,0.2500,-0.0153
8.1500,17.5096,9.5317,-2.6276,0.2500,-0.0142
8.2000,17.4987,9.5255,-2.6285,0.2500,-0.0131
8.2500,17.4878,9.5194,-2.6292,0.2500,-0.0121
8.3000,17.4769,9.5133,-2.6299,0.2500,-0.0112
8.3500,17.4660,9.5071,-2.6306,0.2500,-0.0104
8.4000,17.4551,9.5010,-2.6312,0.1250,-0.0096
8.4500,17.4442,9.4949,-2.6318,0.2500,-0.0089
8.5000,17.4333,9.4888,-2.6323,0.2500,-0.0083
8.5000,17.4333,9.4888,-2.6323,0.2500,-0.0076
8.5500,17.4278,9.4858,-2.6328,0.2500,-0.0071
8.6000,17.4169,9.4797,-2.6332,0.2500,-0.0066
8.6500,17.4060,9.4736,-2.6336,0.2500,-0.0061
