time,x,y,vx,vy
0.0000,7.2761,6.0136,-0.0000,-0.0000
0.0500,7.2755,6.0105,-0.0236,-0.1228
0.1000,7.2737,6.0013,-0.0462,-0.2407
0.1500,7.2720,5.9924,-0.0226,-0.1179
0.1980,7.2715,5.9895,0.0000,0.0000
0.1980,7.2715,5.9895,0.1246,0.0101
0.2480,7.2746,5.9898,0.2492,0.0203
0.2980,7.2839,5.9905,0.2492,0.0203
0.3480,7.2964,5.9916,0.2492,0.0203
0.3980,7.3088,5.9926,0.2492,0.0203
0.4480,7.3213,5.9936,0.2492,0.0203
0.4980,7.3337,5.9946,0.2492,0.0203
0.5480,7.3462,5.9956,0.2492,0.0203
0.5980,7.3587,5.9966,0.2492,0.0203
0.6480,7.3711,5.9976,0.2492,0.0203
0.6980,7.3836,5.9987,0.1642,0.0134
0.7480,7.3946,5.9996,0.0396,0.0032
0.7980,7.3997,6.0000,0.0000,0.0000
0.8139,7.4000,6.0000,0.0000,0.0000
