time,x,y,theta,v,omega
0.0000,4.5759,4.1860,-3.1348,0.0200,-0.0927
0.0500,4.5749,4.1860,-3.1394,0.0400,-0.0858
0.1000,4.5729,4.1860,3.1395,0.0600,-0.0794
0.1500,4.5699,4.1860,3.1355,0.0800,-0.0735
0.2000,4.5659,4.1860,3.1319,0.1000,-0.0681
0.2500,4.5609,4.1861,3.1285,0.1200,-0.0631
0.3000,4.5549,4.1862,3.1253,0.1400,-0.0584
0.3500,4.5479,4.1863,3.1224,0.1600,-0.0542
0.4000,4.5399,4.1864,3.1197,0.1800,-0.0502
0.4500,4.5309,4.1866,3.1172,0.2000,-0.0466
0.5000,4.5209,4.1869,3.1148,0.2200,-0.0432
0.5500,4.5099,4.1872,3.1127,0.2400,-0.0401
0.6000,4.4979,4.1875,3.1107,0.2500,-0.0373
0.6500,4.4854,4.1879,3.1088,0.2500,-0.0346
0.7000,4.4729,4.1883,3.1071,0.2500,-0.0322
0.7500,4.4604,4.1888,3.1055,0.2500,-0.0299
0.8000,4.4479,4.1892,3.1040,0.2500,-0.0277
0.8500,4.4354,4.1897,3.1026,0.2500,-0.0258
0.9000,4.4229,4.1902,3.1013,0.2500,-0.0239
0.9500,4.4105,4.1907,3.1001,0.2500,-0.0222
1.0000,4.3980,4.1912,3.0990,0.2500,-0.0206
1.0500,4.3855,4.1917,3.0980,0.0000,-0.1750
1.0500,3.3871,3.9469,-2.5329,0.0000,-0.3500
1.1000,3.3871,3.9469,-2.5417,0.0000,-0.4000
1.1500,3.3871,3.9469,-2.5592,0.0000,-0.4000
1.2000,3.3871,3.9469,-2.5792,0.0000,-0.4000
1.2500,3.3871,3.9469,-2.5992,0.0000,-0.4000
1.3000,3.3871,3.9469,-2.6192,0.0000,-0.4000
1.3500,3.3871,3.9469,-2.6392,0.0000,-0.4000
1.4000,3.3871,3.9469,-2.6592,0.0000,-0.4000
1.4500,3.3871,3.9469,-2.6792,0.0000,-0.4000
1.5000,3.3871,3.9469,-2.6992,0.0000,-0.4000
1.5500,3.3871,3.9469,-2.7192,0.0000,-0.4000
1.6000,3.3871,3.9469,-2.7392,0.0000,-0.4000
1.6500,3.3871,3.9469,-2.7592,0.0000,-0.4000
1.7000,3.3871,3.9469,-2.7792,0.0000,-0.4000
1.7500,3.3871,3.9469,-2.7992,0.0000,-0.4000
1.8000,3.3871,3.9469,-2.8192,0.0000,-0.4000
1.8500,3.3871,3.9469,-2.8392,0.0000,-0.4000
1.9000,3.3871,3.9469,-2.8592,0.0000,-0.4000
1.9500,3.3871,3.9469,-2.8792,0.0000,-0.4000
2.0000,3.3871,3.9469,-2.8992,0.0000,-0.4000
2.0500,3.3871,3.9469,-2.9192,0.0000,-0.4000
2.1000,3.3871,3.9469,-2.9392,0.0000,-0.4000
2.1500,3.3871,3.9469,-2.9592,0.0000,-0.4000
2.2000,3.3871,3.9469,-2.9792,0.0000,-0.4000
2.2500,3.3871,3.9469,-2.9992,0.0000,-0.4000
2.3000,3.3871,3.9469,-3.0192,0.0200,-0.4000
2.3500,3.3871,3.9469,-3.0392,0.0400,-0.4000
2.4000,3.3861,3.9468,-3.0592,0.0600,-0.3765
2.4500,3.3841,3.9467,-3.0792,0.0800,-0.3488
2.5000,3.3811,3.9465,-3.0980,0.1000,-0.3232
2.5500,3.3771,3.9463,-3.1155,0.1200,-0.2997
2.6000,3.3721,3.9462,-3.1316,0.1400,-0.2780
2.6500,3.3661,3.9461,3.1366,0.1600,-0.2580
2.7000,3.3591,3.9462,3.1227,0.1800,-0.2395
2.7500,3.3511,3.9463,3.1098,0.2000,-0.2225
2.8000,3.3421,3.9466,3.0978,0.2200,-0.2068
2.8500,3.3321,3.9470,3.0867,0.2400,-0.1923
2.9000,3.3212,3.9476,3.0763,0.2500,-0.1790
2.9500,3.3092,3.9484,3.0667,0.2500,-0.1666
3.0000,3.2967,3.9494,3.0578,0.2500,-0.1550
3.0500,3.2843,3.9504,3.0495,0.2500,-0.1443
3.1000,3.2718,3.9516,3.0417,0.2500,-0.1343
3.1500,3.2594,3.9528,3.0345,0.2500,-0.1250
3.2000,3.2470,3.9541,3.0278,0.2500,-0.1164
3.2500,3.2345,3.9556,3.0215,0.2500,-0.1083
3.3000,3.2221,3.9571,3.0157,0.2500,-0.1008
3.3500,3.2097,3.9586,3.0103,0.0200,-0.1750
3.4000,3.1973,3.9603,3.0052,0.0400,-0.3386
3.4000,2.8196,4.0015,-3.1261,0.0600,-0.3136
3.4500,2.8186,4.0014,-3.1348,0.0800,-0.2906
3.5000,2.8166,4.0014,3.1314,0.1000,-0.2695
3.5500,2.8136,4.0015,3.1157,0.1200,-0.2501
3.6000,2.8096,4.0016,3.1012,0.1400,-0.2322
3.6500,2.8046,4.0018,3.0877,0.1600,-0.2157
3.7000,2.7986,4.0021,3.0752,0.1800,-0.2006
3.7500,2.7916,4.0025,3.0636,0.2000,-0.1866
3.8000,2.7836,4.0032,3.0528,0.2200,-0.1737
3.8500,2.7747,4.0040,3.0428,0.2400,-0.1619
3.9000,2.7647,4.0050,3.0335,0.2500,-0.1509
3.9500,2.7538,4.0061,3.0248,0.2500,-0.1407
4.0000,2.7419,4.0075,3.0167,0.2500,-0.1313
4.0500,2.7295,4.0091,3.0092,0.2500,-0.1224
4.1000,2.7171,4.0107,3.0021,0.2500,-0.1142
4.1500,2.7047,4.0125,2.9956,0.2500,-0.1066
4.2000,2.6923,4.0143,2.9894,0.2500,-0.0994
4.2500,2.6800,4.0162,2.9837,0.2500,-0.0928
4.3000,2.6676,4.0182,2.9784,0.2500,-0.0865
4.3500,2.6553,4.0202,2.9734,0.0000,0.1750
4.4000,2.6430,4.0223,2.9688,0.0000,0.3500
4.4500,2.6307,4.0244,2.9645,0.0000,0.4000
4.4500,1.7759,4.7086,1.7863,0.0000,0.4000
