time,x,y,theta,v,omega
0.0000,3.0318,2.4461,0.9858,0.0000,0.1600
0.0500,3.0318,2.4461,0.9938,0.0000,0.3200
0.1000,3.0318,2.4461,1.0098,0.0000,0.4800
0.1500,3.0318,2.4461,1.0338,0.0000,0.6400
0.2000,3.0318,2.4461,1.0658,0.0000,0.8000
0.2500,3.0318,2.4461,1.1058,0.0000,0.9600
0.3000,3.0318,2.4461,1.1538,0.0000,0.9137
0.3500,3.0318,2.4461,1.1995,0.0000,0.8224
0.4000,3.0318,2.4461,1.2406,0.0000,0.7401
0.4500,3.0318,2.4461,1.2776,0.0000,0.6661
0.5000,3.0318,2.4461,1.3109,0.1250,0.5061
0.5500,3.0334,2.4522,1.3362,0.2200,0.4123
0.6000,3.0359,2.4629,1.3569,0.2200,0.3823
0.6500,3.0383,2.4736,1.3760,0.2200,0.3546
0.7000,3.0404,2.4844,1.3937,0.2200,0.3288
0.7500,3.0423,2.4952,1.4101,0.2200,0.3050
0.8000,3.0441,2.5061,1.4254,0.2200,0.2828
0.8500,3.0457,2.5170,1.4395,0.2200,0.2623
0.9000,3.0471,2.5279,1.4527,0.2200,0.2433
0.9500,3.0484,2.5388,1.4648,0.2200,0.2256
1.0000,3.0496,2.5497,1.4761,0.2200,0.2093
1.0500,3.0506,2.5607,1.4866,0.2200,0.1941
1.1000,3.0516,2.5717,1.4963,0.2200,0.1800
1.1500,3.0524,2.5826,1.5053,0.2200,0.1670
1.2000,3.0531,2.5936,1.5136,0.2200,0.1549
1.2500,3.0537,2.6046,1.5214,0.2200,0.1436
1.3000,3.0543,2.6156,1.5285,0.2200,0.1332
1.3500,3.0547,2.6266,1.5352,0.0000,-0.1600
1.3500,2.8310,3.9576,2.9158,0.0000,-0.3200
1.4000,2.8310,3.9576,2.9078,0.0000,-0.4800
1.4500,2.8310,3.9576,2.8918,0.0000,-0.6400
1.5000,2.8310,3.9576,2.8678,0.0000,-0.6970
1.5500,2.8310,3.9576,2.8358,0.0000,-0.6273
1.6000,2.8310,3.9576,2.8010,0.1250,-0.4673
1.6500,2.8310,3.9576,2.7696,0.2200,-0.3892
1.7000,2.8251,3.9599,2.7462,0.2200,-0.3613
1.7500,2.8150,3.9641,2.7268,0.2200,-0.3355
1.8000,2.8049,3.9686,2.7087,0.2200,-0.3114
1.8500,2.7949,3.9732,2.6919,0.2200,-0.2892
1.9000,2.7850,3.9780,2.6764,0.2200,-0.2685
1.9500,2.7752,3.9829,2.6619,0.2200,-0.2493
2.0000,2.7654,3.9880,2.6485,0.2200,-0.2314
2.0500,2.7557,3.9932,2.6360,0.2200,-0.2149
2.1000,2.7461,3.9985,2.6245,0.2200,-0.1995
2.1500,2.7366,4.0039,2.6137,0.2200,-0.1853
2.2000,2.7271,4.0095,2.6037,0.2200,-0.1720
2.2500,2.7176,4.0151,2.5945,0.2200,-0.1597
2.3000,2.7082,4.0208,2.5859,0.2200,-0.1483
2.3500,2.6989,4.0266,2.5779,0.2200,-0.1377
2.4000,2.6896,4.0325,2.5705,0.2200,-0.1279
2.4500,2.6803,4.0385,2.5636,0.1250,-0.0339
2.5000,2.6711,4.0445,2.5572,0.2200,-0.0314
2.5000,2.5720,4.5590,1.4800,0.2200,-0.0292
2.5500,2.5725,4.5652,1.4783,0.2200,-0.0271
2.6000,2.5736,4.5762,1.4767,0.2200,-0.0252
2.6500,2.5746,4.5871,1.4752,0.2200,-0.0235
2.7000,2.5756,4.5981,1.4739,0.2200,-0.0218
2.7500,2.5767,4.6090,1.4726,0.2200,-0.0203
2.8000,2.5778,4.6200,1.4715,0.2200,-0.0188
2.8500,2.5789,4.6309,1.4704,0.2200,-0.0175
2.9000,2.5800,4.6418,1.4694,0.2200,-0.0163
2.9500,2.5811,4.6528,1.4684,0.2200,-0.0151
3.0000,2.5822,4.6637,1.4675,0.2200,-0.0141
3.0500,2.5833,4.6747,1.4667,0.2200,-0.0131
3.1000,2.5845,4.6856,1.4660,0.2200,-0.0122
3.1500,2.5856,4.6966,1.4653,0.2200,-0.0113
3.2000,2.5868,4.7075,1.4646,0.2200,-0.0105
3.2500,2.5880,4.7184,1.4640,0.1250,-0.0000
3.3000,2.5891,4.7294,1.4634,0.2200,-0.0000
3.3500,2.5903,4.7403,1.4629,0.2200,-0.0000
3.3500,2.7773,6.3699,1.4559,0.2200,-0.0000
3.4000,2.7780,6.3761,1.4559,0.2200,-0.0000
3.4500,2.7793,6.3870,1.4559,0.2200,-0.0000
3.5000,2.7805,6.3979,1.4559,0.2200,-0.0000
3.5500,2.7818,6.4088,1.4559,0.2200,-0.0000
3.6000,2.7830,6.4198,1.4559,0.2200,-0.0000
3.6500,2.7843,6.4307,1.4559,0.2200,-0.0000
3.7000,2.7856,6.4416,1.4559,0.2200,-0.0000
3.7500,2.7868,6.4526,1.4559,0.2200,-0.0000
3.8000,2.7881,6.4635,1.4559,0.2200,-0.0000
3.8500,2.7894,6.4744,1.4559,0.2200,-0.0000
3.9000,2.7906,6.4853,1.4559,0.2200,-0.0000
3.9500,2.7919,6.4963,1.4559,0.2200,-0.0000
4.0000,2.7931,6.5072,1.4559,0.2200,-0.0000
4.0500,2.7944,6.5181,1.4559,0.0000,0.0000
4.1000,2.7957,6.5291,1.4559,0.0000,0.0000
4.1500,2.7969,6.5400,1.4559,0.0000,0.0000
4.2000,2.7982,6.5509,1.4559,0.0000,0.0000
