time,x,y,theta,v,omega
0.0000,5.7126,5.1203,0.6886,0.0500,-0.0054
0.0500,5.7145,5.1218,0.6884,0.1000,-0.0051
0.1000,5.7184,5.1250,0.6881,0.1500,-0.0048
0.1500,5.7242,5.1298,0.6879,0.2000,-0.0046
0.2000,5.7319,5.1361,0.6876,0.2500,-0.0045
0.2500,5.7416,5.1441,0.6874,0.2600,-0.0044
0.3000,5.7516,5.1523,0.6872,0.2600,-0.0044
0.3500,5.7616,5.1606,0.6870,0.2600,-0.0044
0.4000,5.7717,5.1688,0.6868,0.2600,-0.0045
0.4500,5.7818,5.1771,0.6865,0.2600,-0.0045
0.5000,5.7918,5.1853,0.6863,0.2600,-0.0046
0.5500,5.8019,5.1935,0.6861,0.2600,-0.0048
0.6000,5.8119,5.2018,0.6858,0.2600,-0.0050
0.6500,5.8220,5.2100,0.6856,0.2600,-0.0053
0.7000,5.8320,5.2182,0.6853,0.2600,-0.0058
0.7500,5.8421,5.2265,0.6850,0.2600,-0.0065
0.8000,5.8522,5.2347,0.6847,0.0000,-0.1000
0.8000,4.1824,4.9927,2.6552,0.0000,-0.2000
0.8500,4.1824,4.9927,2.6502,0.0000,-0.3000
0.9000,4.1824,4.9927,2.6402,0.0000,-0.4000
0.9500,4.1824,4.9927,2.6252,0.0000,-0.5000
1.0000,4.1824,4.9927,2.6052,0.0000,-0.6000
1.0500,4.1824,4.9927,2.5802,0.0000,-0.7000
1.1000,4.1824,4.9927,2.5502,0.0000,-0.8000
1.1500,4.1824,4.9927,2.5152,0.0000,-0.9000
1.2000,4.1824,4.9927,2.4752,0.0000,-1.0000
1.2500,4.1824,4.9927,2.4302,0.0000,-1.1000
1.3000,4.1824,4.9927,2.3802,0.0000,-1.0000
1.3500,4.1824,4.9927,2.3252,0.0000,-0.9000
1.4000,4.1824,4.9927,2.2752,0.0000,-0.8016
1.4500,4.1824,4.9927,2.2302,0.0000,-0.7214
1.5000,4.1824,4.9927,2.1901,0.0000,-0.6493
1.5500,4.1824,4.9927,2.1540,0.0500,-0.5493
1.6000,4.1824,4.9927,2.1216,0.1000,-0.4493
1.6500,4.1811,4.9948,2.0941,0.1500,-0.3994
1.7000,4.1786,4.9992,2.0716,0.2000,-0.4077
1.7500,4.1750,5.0058,2.0517,0.2500,-0.4365
1.8000,4.1704,5.0146,2.0313,0.2000,-0.5365
1.8500,4.1648,5.0258,2.0094,0.1500,-0.6365
1.9000,4.1606,5.0349,1.9826,0.1000,-0.7365
1.9500,4.1576,5.0417,1.9508,0.0500,-0.8365
2.0000,4.1557,5.0464,1.9140,0.0000,-0.8505
2.0500,4.1549,5.0487,1.8721,0.0000,-0.7655
2.1000,4.1549,5.0487,1.8296,0.0000,-0.6889
2.1500,4.1549,5.0487,1.7913,0.0000,-0.6200
2.2000,4.1549,5.0487,1.7569,0.0500,-0.5200
2.2500,4.1549,5.0487,1.7259,0.1000,-0.4200
2.3000,4.1545,5.0512,1.6999,0.0500,-0.5200
2.3500,4.1538,5.0562,1.6789,0.0000,-0.6200
2.4000,4.1536,5.0587,1.6529,0.0500,-0.5200
2.4500,4.1536,5.0587,1.6219,0.1000,-0.4349
2.5000,4.1534,5.0612,1.5959,0.0500,-0.5349
2.5500,4.1533,5.0662,1.5741,0.0000,-0.6349
2.6000,4.1533,5.0687,1.5474,0.0000,-0.7204
2.6500,4.1533,5.0687,1.5156,0.0000,-0.6483
2.7000,4.1533,5.0687,1.4796,0.0500,-0.5483
2.7500,4.1533,5.0687,1.4472,0.0000,-0.6483
2.8000,4.1536,5.0711,1.4198,0.0500,-0.5483
2.8500,4.1536,5.0711,1.3874,0.0500,-0.1000
2.9000,4.1541,5.0736,1.3599,0.1000,-0.1102
2.9000,3.8143,4.8113,2.5064,0.1500,-0.1029
2.9500,3.8123,4.8128,2.5014,0.2000,-0.0966
3.0000,3.8082,4.8158,2.4959,0.2500,-0.0911
3.0500,3.8023,4.8203,2.4908,0.2600,-0.0863
3.1000,3.7943,4.8264,2.4860,0.2600,-0.0819
3.1500,3.7844,4.8340,2.4814,0.2600,-0.0778
3.2000,3.7741,4.8420,2.4771,0.2600,-0.0740
3.2500,3.7639,4.8500,2.4730,0.2600,-0.0704
3.3000,3.7537,4.8580,2.4691,0.2600,-0.0670
3.3500,3.7435,4.8661,2.4654,0.2600,-0.0639
3.4000,3.7334,4.8743,2.4619,0.2600,-0.0609
3.4500,3.7233,4.8824,2.4585,0.2600,-0.0581
3.5000,3.7132,4.8906,2.4553,0.2600,-0.0555
3.5500,3.7031,4.8989,2.4523,0.2600,-0.0531
3.6000,3.6931,4.9071,2.4494,0.0000,0.1000
3.6500,3.6831,4.9154,2.4466,0.0000,0.2000
3.7000,3.6731,4.9238,2.4440,0.0000,0.3000
3.7000,2.5834,4.1552,1.6446,0.0000,0.4000
3.7500,2.5834,4.1552,1.6496,0.0000,0.5000
3.8000,2.5834,4.1552,1.6596,0.0000,0.6000
3.8500,2.5834,4.1552,1.6746,0.0000,0.7000
3.9000,2.5834,4.1552,1.6946,0.0000,0.8000
3.9500,2.5834,4.1552,1.7196,0.0000,0.9000
4.0000,2.5834,4.1552,1.7496,0.0000,1.0000
4.0500,2.5834,4.1552,1.7846,0.0000,1.1000
4.1000,2.5834,4.1552,1.8246,0.0000,1.0682
4.1500,2.5834,4.1552,1.8696,0.0000,0.9682
4.2000,2.5834,4.1552,1.9196,0.0000,0.8682
4.2500,2.5834,4.1552,1.9746,0.0000,0.7778
4.3000,2.5834,4.1552,2.0280,0.0000,0.7000
4.3500,2.5834,4.1552,2.0764,0.0000,0.6300
4.4000,2.5834,4.1552,2.1198,0.0500,0.5300
4.4500,2.5834,4.1552,2.1587,0.1000,0.4300
4.5000,2.5834,4.1552,2.1937,0.1500,0.3542
