time,x,y,yaw,linx,liny,angz
"(1771529243, 543648160)",1.7100045198655576,1.1448849598134223,1.5695155148208142,0.0,0.0,0.0
"(1771529243, 558791592)",1.7100045198655576,1.1448849598134223,1.5694847141206263,0.0,0.0,0.0
"(1771529243, 568191071)",1.7100045198655576,1.1448849598134223,1.569516949057579,0.0,0.0,0.0
"(1771529243, 579829539)",1.7100045198655576,1.1448849598134223,1.569500084668398,0.0,0.0,0.0
"(1771529243, 590238430)",1.7100045198655576,1.1448849598134223,1.5695216988027096,0.0,0.0,0.0
"(1771529243, 610062220)",1.7100045198655576,1.1448849598134223,1.5695109774172307,0.0,0.0,0.0
"(1771529243, 620555931)",1.7100045198655576,1.1448849598134223,1.5695237030088902,0.0,0.0,0.0
"(1771529243, 642343481)",1.7100045198655576,1.1448849598134223,1.5695350539684294,0.0,0.0,0.0
"(1771529243, 898274535)",1.7100045198655576,1.1448849598134223,1.569545518308878,0.0,0.0,0.0
"(1771529243, 906388228)",1.7100045198655576,1.1448849598134223,1.569545745551586,0.0,0.0,0.0
"(1771529243, 919306559)",1.7100045198655576,1.1448849598134223,1.569545156955719,0.0,0.0,0.0
"(1771529243, 935693767)",1.7100045198655576,1.1448849598134223,1.5695820336043835,0.0,0.0,0.0
"(1771529243, 959374925)",1.7100045198655576,1.1448849598134223,1.5695776750147343,0.0,0.0,0.0
"(1771529243, 961204334)",1.7100045198655576,1.1448849598134223,1.5695750039815903,0.0,0.0,0.0
"(1771529243, 963580586)",1.7100045198655576,1.1448849598134223,1.5695220229029656,0.0,0.0,0.0
"(1771529243, 966378951)",1.7100045198655576,1.1448849598134223,1.5695925799012187,0.0,0.0,0.0
"(1771529243, 968806737)",1.7100045198655576,1.1448849598134223,1.5695625317096709,0.0,0.0,0.0
"(1771529243, 970680694)",1.7100045198655576,1.1448849598134223,1.5695612390339373,0.0,0.0,0.0
"(1771529244, 96264574)",1.7100045198655576,1.1448849598134223,1.5695639733970166,0.0,0.0,0.0
"(1771529244, 102784836)",1.7100045198655576,1.1448849598134223,1.569565649777651,0.0,0.0,0.0
"(1771529244, 176536724)",1.7100045198655576,1.1448849598134223,1.5695910897850989,0.0,0.0,0.0
"(1771529244, 195993969)",1.7100045198655576,1.1448849598134223,1.5695365515351296,0.0,0.0,0.0
"(1771529244, 205556636)",1.7100045198655576,1.1448849598134223,1.5696071346104143,0.0,0.0,0.0
"(1771529244, 213279147)",1.7100045198655576,1.1448849598134223,1.5695917789638043,0.0,0.0,0.0
"(1771529244, 237271685)",1.7100045198655576,1.1448849598134223,1.5695456263422967,0.0,0.0,0.0
"(1771529244, 243577085)",1.7100045198655576,1.1448849598134223,1.5695836354792116,0.0,0.0,0.0
"(1771529244, 251690292)",1.7100045198655576,1.1448849598134223,1.5695570853352547,0.0,0.0,0.0
"(1771529244, 258990509)",1.7100045198655576,1.1448849598134223,1.5695761625468732,0.0,0.0,0.0
"(1771529244, 269247841)",1.7100045198655576,1.1448849598134223,1.5695605424046517,0.0,0.0,0.0
"(1771529244, 313771856)",1.7100045198655576,1.1448849598134223,1.569561794102192,0.0,0.0,0.0
"(1771529244, 389473489)",1.7100045198655576,1.1448849598134223,1.5695465315878392,0.0,0.0,0.0
"(1771529244, 407620707)",1.7100045198655576,1.1448849598134223,1.5695458275079728,0.0,0.0,0.0
"(1771529244, 453417518)",1.7100045198655576,1.1448849598134223,1.5695354562997819,0.0,0.0,0.0
"(1771529244, 509970354)",1.7100045198655576,1.1448849598134223,1.5695403215289117,0.0,0.0,0.0
"(1771529244, 566573497)",1.7100045198655576,1.1448849598134223,1.5695539113879207,0.0,0.0,0.0
"(1771529244, 606842896)",1.7100045198655576,1.1448849598134223,1.569564900994301,0.0,0.0,0.0
"(1771529244, 654575573)",1.7100045198655576,1.1448849598134223,1.5696035136282445,0.0,0.0,0.0
"(1771529244, 705491393)",1.7100045198655576,1.1448849598134223,1.569586470425129,0.0,0.0,0.0
"(1771529244, 749973314)",1.7100045198655576,1.1448849598134223,1.5695601065456868,0.0,0.0,0.0
"(1771529244, 809724631)",1.7100045198655576,1.1448849598134223,1.5695248652994633,0.0,0.0,0.0
"(1771529244, 853404053)",1.7100045198655576,1.1448849598134223,1.5695905198156834,0.0,0.0,0.0
"(1771529244, 901282351)",1.7100045198655576,1.1448849598134223,1.5696076524257663,0.0,0.0,0.0
"(1771529244, 949478184)",1.7100045198655576,1.1448849598134223,1.5695275177061558,0.0,0.0,0.0
"(1771529245, 5107646)",1.7100045198655576,1.1448849598134223,1.5695456151664258,0.0,0.0,0.0
"(1771529245, 51551825)",1.7100045198655576,1.1448849598134223,1.5695522275567053,0.0,0.0,0.0
"(1771529245, 112057487)",1.7100045198655576,1.1448849598134223,1.569576795846224,0.0,0.0,0.0
"(1771529245, 156456363)",1.7100045198655576,1.1448849598134223,1.5695503053069115,0.0,0.0,0.0
"(1771529245, 201339028)",1.7100045198655576,1.1448849598134223,1.5695596334338189,0.0,0.0,0.0
"(1771529245, 247821868)",1.7100045198655576,1.1448849598134223,1.569590650200844,0.0,0.0,0.0
"(1771529245, 306809627)",1.7100045198655576,1.1448849598134223,1.569558795243502,0.0,0.0,0.0
