time,x,y,yaw,linx,liny,angz
"(1771529241, 474141185)",0.5699997528733786,4.5600002893978315,-2.8602433592372023e-06,0.0,0.0,0.0
"(1771529241, 481870573)",0.5699997528733786,4.5600002893978315,-2.860263660387143e-06,0.0,0.0,0.0
"(1771529243, 11795502)",0.5699997734672376,4.560000265281329,-2.621784742954994e-06,0.0,0.0,0.0
"(1771529243, 13707441)",0.5699997940610967,4.560000241164826,-2.383301076432188e-06,0.0,0.0,0.0
"(1771529243, 62136051)",0.5699997940610967,4.560000241164826,-2.383303286622058e-06,0.0,0.0,0.0
"(1771529243, 73000945)",0.5699997940610967,4.560000241164826,-2.383301816344979e-06,0.0,0.0,0.0
"(1771529243, 160465795)",0.5699997940610967,4.560000241164826,-2.3832887307160098e-06,0.0,0.0,0.0
"(1771529243, 258123548)",0.5699997940610967,4.560000241164826,-2.3832879206504518e-06,0.0,0.0,0.0
"(1771529243, 280689059)",0.5699997940610967,4.560000241164826,-2.383282717032159e-06,0.0,0.0,0.0
"(1771529243, 296273466)",0.5699997940610967,4.560000241164826,-2.383326961623573e-06,0.0,0.0,0.0
"(1771529243, 305228035)",0.5699997940610967,4.560000241164826,-2.3833668521139814e-06,0.0,0.0,0.0
"(1771529243, 356963844)",0.5699998146549842,4.560000217048338,-2.1449908225412174e-06,0.0,0.0,0.0
"(1771529243, 407399082)",0.5699998146549842,4.560000217048338,-2.1449908225412174e-06,0.0,0.0,0.0
"(1771529243, 413994376)",0.5699998352488717,4.56000019293185,-1.9066036615326773e-06,0.0,0.0,0.0
"(1771529243, 480358843)",0.5699998352488717,4.56000019293185,-1.9066909838953476e-06,0.0,0.0,0.0
"(1771529243, 505032678)",0.5699999588122321,4.560000048233019,-4.765774412813669e-07,0.0,0.0,0.0
"(1771529243, 537380805)",0.5699999588122321,4.560000048233019,-4.769558383039569e-07,0.0,0.0,0.0
"(1771529243, 553525392)",0.5699999588122321,4.560000048233019,-4.770431606937853e-07,0.0,0.0,0.0
"(1771529243, 564531405)",0.5699999588122321,4.560000048233019,-4.772178054734422e-07,0.0,0.0,0.0
"(1771529243, 577814491)",0.5699999588122321,4.560000048233019,-4.773051278632706e-07,0.0,0.0,0.0
