time,x,y,yaw,linx,liny,angz
"(1771529241, 476802755)",2.850006038979998,7.402837078305419,-1.5700753700733185,0.0,0.0,0.0
"(1771529243, 413007528)",2.850006038979998,7.402837078305419,-1.5700759549438954,0.0,0.0,0.0
"(1771529243, 416144618)",2.850006038979998,7.402837078305419,-1.5700720992684363,0.0,0.0,0.0
"(1771529243, 500640836)",2.850006057349775,7.402811767625723,-1.570069011002779,0.0,0.0,0.0
"(1771529243, 527696959)",2.8500060389849478,7.4028370783054225,-1.5700686608254912,0.0,0.0,0.0
"(1771529243, 549542174)",2.8500060389668915,7.402837078305409,-1.5700700876116753,0.0,0.0,0.0
"(1771529243, 562679642)",2.8500060389668915,7.402837078305409,-1.570066213309765,0.0,0.0,0.0
"(1771529243, 572261409)",2.8500060573923,7.402811767625753,-1.5700728331506255,0.0,0.0,0.0
"(1771529243, 588180448)",2.8500060573923,7.402811767625753,-1.5700740848481658,0.0,0.0,0.0
"(1771529243, 607839803)",2.8500060391544806,7.402837078305545,-1.5700710003077984,0.0,0.0,0.0
"(1771529243, 616334962)",2.850006057415825,7.40281176762577,-1.5700729188323022,0.0,0.0,0.0
"(1771529243, 631327076)",2.850006039052318,7.402837078305471,-1.570068686902523,0.0,0.0,0.0
"(1771529243, 655521802)",2.8500060573517554,7.402811767625725,-1.5700704787671567,0.0,0.0,0.0
"(1771529243, 656827174)",2.8500060573517554,7.402811767625725,-1.5700709742307664,0.0,0.0,0.0
"(1771529243, 660441591)",2.8500060573517554,7.402811767625725,-1.570067550688982,0.0,0.0,0.0
"(1771529243, 663895919)",2.8500060389258755,7.402837078305379,-1.5700691264867783,0.0,0.0,0.0
"(1771529243, 665942533)",2.8500060573059307,7.40281176762569,-1.5700711716711522,0.0,0.0,0.0
"(1771529243, 707677538)",2.8500060573059307,7.40281176762569,-1.5700696107745171,0.0,0.0,0.0
"(1771529243, 724225660)",2.8500060573059307,7.40281176762569,-1.5700681392848492,0.0,0.0,0.0
"(1771529243, 744105039)",2.8500060573059307,7.40281176762569,-1.5700708922743798,0.0,0.0,0.0
"(1771529243, 757145213)",2.8500060389251685,7.40283707830538,-1.5700693500041962,0.0,0.0,0.0
"(1771529243, 772149541)",2.8500060389251685,7.40283707830538,-1.5700694952905179,0.0,0.0,0.0
"(1771529243, 788489744)",2.850006020511452,7.402862388985044,-1.5700681430101395,0.0,0.0,0.0
"(1771529243, 791540591)",2.8500060389135236,7.40283707830537,-1.5700704154372216,0.0,0.0,0.0
"(1771529243, 792612717)",2.8500060573094665,7.4028117676256935,-1.5700686272978785,0.0,0.0,0.0
"(1771529243, 815501769)",2.8500060573094665,7.4028117676256935,-1.5700664852559567,0.0,0.0,0.0
"(1771529243, 888449746)",2.8500060388095694,7.402837078305295,-1.570064343214035,0.0,0.0,0.0
"(1771529244, 35285392)",2.8500060388095694,7.402837078305295,-1.5700656545162202,0.0,0.0,0.0
"(1771529244, 38106888)",2.8500060572862713,7.402811767625677,-1.5700670067965983,0.0,0.0,0.0
"(1771529244, 98367597)",2.850006020390196,7.402862388984956,-1.5700679194927216,0.0,0.0,0.0
"(1771529244, 108537431)",2.850006038787694,7.402837078305279,-1.5700710003077984,0.0,0.0,0.0
"(1771529244, 188178845)",2.8500060571586503,7.4028117676255825,-1.5700700168311597,0.0,0.0,0.0
"(1771529244, 202596243)",2.8500060571586503,7.4028117676255825,-1.5700643469393254,0.0,0.0,0.0
"(1771529244, 208805426)",2.8500060386721895,7.402837078305195,-1.5700675432384013,0.0,0.0,0.0
"(1771529244, 232516878)",2.8500060571395096,7.402811767625569,-1.5700658594071866,0.0,0.0,0.0
"(1771529244, 241734871)",2.850006038667192,7.402837078305191,-1.5700671483576298,0.0,0.0,0.0
"(1771529244, 248816176)",2.850006038667192,7.402837078305191,-1.5700658184289935,0.0,0.0,0.0
"(1771529244, 272109501)",2.850006057196319,7.402811767625611,-1.5700627003610133,0.0,0.0,0.0
"(1771529244, 301460541)",2.85000603861175,7.402837078305151,-1.570061437487602,0.0,0.0,0.0
"(1771529244, 349359618)",2.85000603861175,7.402837078305151,-1.5700645741820336,0.0,0.0,0.0
"(1771529244, 402819782)",2.850006057204145,7.402811767625616,-1.5700589452683924,0.0,0.0,0.0
"(1771529244, 443538492)",2.850006057204145,7.402811767625616,-1.5700603199005128,0.0,0.0,0.0
"(1771529244, 500691055)",2.850006038579974,7.402837078305127,-1.5700606887042523,0.0,0.0,0.0
"(1771529244, 547712086)",2.850006057234742,7.402811767625639,-1.570057902187109,0.0,0.0,0.0
"(1771529244, 611811924)",2.850006057234742,7.402811767625639,-1.570055953860283,0.0,0.0,0.0
"(1771529244, 644525521)",2.850006057234742,7.402811767625639,-1.5700592432916165,0.0,0.0,0.0
"(1771529244, 692930868)",2.850006057234742,7.402811767625639,-1.5700598579645157,0.0,0.0,0.0
"(1771529244, 753034074)",2.8500060385739396,7.402837078305123,-1.5700582560896874,0.0,0.0,0.0
"(1771529244, 792055758)",2.8500060385739396,7.402837078305123,-1.570056814402342,0.0,0.0,0.0
"(1771529244, 842454579)",2.8500060573094195,7.402811767625694,-1.5700553987920285,0.0,0.0,0.0
"(1771529244, 894122329)",2.8500060573094195,7.402811767625694,-1.5700556856393815,0.0,0.0,0.0
"(1771529244, 939856050)",2.8500060385356107,7.402837078305094,-1.5700534988939763,0.0,0.0,0.0
"(1771529244, 999786751)",2.8500060385356107,7.402837078305094,-1.5700515468418599,0.0,0.0,0.0
"(1771529245, 41666194)",2.8500060573878683,7.402811767625753,-1.5700514388084412,0.0,0.0,0.0
"(1771529245, 100970659)",2.8500060573878683,7.402811767625753,-1.5700498108565808,0.0,0.0,0.0
"(1771529245, 148759423)",2.8500060573878683,7.402811767625753,-1.5700475347042084,0.0,0.0,0.0
"(1771529245, 193951641)",2.8500060573878683,7.402811767625753,-1.5700481717288495,0.0,0.0,0.0
"(1771529245, 250638459)",2.8500060573878683,7.402811767625753,-1.570047340989113,0.0,0.0,0.0
"(1771529245, 296436058)",2.850006038469325,7.402837078305045,-1.5700504069030283,0.0,0.0,0.0
"(1771529245, 340915580)",2.8500060573657104,7.402811767625736,-1.5700490918755532,0.0,0.0,0.0
"(1771529245, 403500658)",2.850006038427979,7.402837078305014,-1.5700471398234368,0.0,0.0,0.0
"(1771529245, 451218140)",2.850006057370236,7.40281176762574,-1.5700487342476845,0.0,0.0,0.0
"(1771529245, 493307856)",2.8500060384431127,7.402837078305025,-1.5700483356416228,0.0,0.0,0.0
"(1771529245, 557411745)",2.8500060384431127,7.402837078305025,-1.5700469349324704,0.0,0.0,0.0
"(1771529245, 592883876)",2.8500060573989003,7.402811767625761,-1.5700478699803353,0.0,0.0,0.0
"(1771529245, 641265667)",2.8500060385039294,7.402837078305071,-1.5700517405569554,0.0,0.0,0.0
"(1771529245, 697254993)",2.8500060573487382,7.402811767625724,-1.570051833689213,0.0,0.0,0.0
"(1771529245, 740274648)",2.850006038520336,7.402837078305083,-1.5700530369579793,0.0,0.0,0.0
"(1771529245, 802371142)",2.8500060573205928,7.402811767625703,-1.570054057687521,0.0,0.0,0.0
"(1771529245, 845820095)",2.8500060573205928,7.402811767625703,-1.570052787363529,0.0,0.0,0.0
"(1771529245, 902014185)",2.8500060385130754,7.402837078305078,-1.570053733587265,0.0,0.0,0.0
"(1771529245, 951216659)",2.850006057323893,7.402811767625705,-1.5700525265932084,0.0,0.0,0.0
"(1771529246, 8665851)",2.85000603847767,7.402837078305051,-1.5700509358942507,0.0,0.0,0.0
"(1771529246, 42440089)",2.8500060573427977,7.402811767625718,-1.5700510327517987,0.0,0.0,0.0
"(1771529246, 100841709)",2.8500060573427977,7.402811767625718,-1.5700506080687047,0.0,0.0,0.0
"(1771529246, 146869787)",2.8500060384736154,7.402837078305049,-1.5700510402023793,0.0,0.0,0.0
"(1771529246, 195870201)",2.850006057319367,7.4028117676257015,-1.570052459537983,0.0,0.0,0.0
"(1771529246, 262459130)",2.8500060385280674,7.402837078305089,-1.570055342912674,0.0,0.0,0.0
"(1771529246, 298556845)",2.8500060385280674,7.402837078305089,-1.5700593066215516,0.0,0.0,0.0
"(1771529246, 341768183)",2.850006057199619,7.402811767625613,-1.5700579580664635,0.0,0.0,0.0
"(1771529246, 395809968)",2.850006038505202,7.402837078305072,-1.5700574998557566,0.0,0.0,0.0
"(1771529246, 451692532)",2.850006038505202,7.402837078305072,-1.5700515058636666,0.0,0.0,0.0
"(1771529246, 500796994)",2.850006038505202,7.402837078305072,-1.5700483244657517,0.0,0.0,0.0
"(1771529246, 542718405)",2.850006038505202,7.402837078305072,-1.5700456385314465,0.0,0.0,0.0
"(1771529246, 598738634)",2.850006038505202,7.402837078305072,-1.5700461712479592,0.0,0.0,0.0
"(1771529246, 653721932)",2.8500060574859294,7.402811767625826,-1.5700466629862786,0.0,0.0,0.0
"(1771529246, 696392540)",2.8500060196394146,7.4028623889844045,-1.5700507123768328,0.0,0.0,0.0
"(1771529246, 751011989)",2.8500060573723105,7.4028117676257414,-1.5700511519610882,0.0,0.0,0.0
"(1771529246, 801529222)",2.8500060573723105,7.4028117676257414,-1.5700524632632733,0.0,0.0,0.0
"(1771529246, 840174195)",2.8500060573723105,7.4028117676257414,-1.5700522956252096,0.0,0.0,0.0
"(1771529246, 895851055)",2.8500060573723105,7.4028117676257414,-1.5700582635402678,0.0,0.0,0.0
"(1771529246, 948307896)",2.8500060573723105,7.4028117676257414,-1.5700594556331635,0.0,0.0,0.0
"(1771529247, 718398)",2.8500060387501196,7.402837078305254,-1.570061709433794,0.0,0.0,0.0
"(1771529247, 55257852)",2.850006057400597,7.402811767625762,-1.5700572204589842,0.0,0.0,0.0
"(1771529247, 100201735)",2.850006057400597,7.402811767625762,-1.570058326870203,0.0,0.0,0.0
"(1771529247, 143426319)",2.850006038730932,7.4028370783052395,-1.570059086829424,0.0,0.0,0.0
