time,xc,yc,theta_c,sx,sy
0.000000,2.280000,1.330000,1.570000,1.000000,1.000000
0.613158,2.288865,1.410017,1.487205,1.039981,1.200468
1.408241,2.299692,1.559703,1.460311,0.985152,1.335379
2.206522,2.314951,1.734606,1.460107,0.985199,1.325269
3.006379,2.321972,1.909237,1.458307,0.985485,1.249426
3.806404,2.325564,2.083692,1.455013,0.986095,1.164315
4.606429,2.327494,2.258639,1.450805,0.986860,1.094199
5.406434,2.328306,2.434132,1.446749,0.987546,1.046075
6.206428,2.328207,2.609954,1.443784,0.988009,1.018277
7.006418,2.327375,2.785910,1.442225,0.988238,1.005635
7.806407,2.325971,2.961898,1.441826,0.988294,1.002632
8.606395,2.324170,3.137884,1.442138,0.988252,1.004828
9.406384,2.322131,3.313865,1.442733,0.988172,1.008998
10.206371,2.319957,3.489845,1.443322,0.988092,1.013138
11.006358,2.317718,3.665825,1.443763,0.988032,1.016265
11.806344,2.315452,3.841807,1.444022,0.987997,1.018115
12.606329,2.313187,4.017788,1.444123,0.987983,1.018832
13.406313,2.310951,4.193769,1.444117,0.987984,1.018756
14.206304,2.308678,4.369751,1.444056,0.987992,1.018260
15.006284,2.306407,4.545731,1.443978,0.988004,1.017674
15.806264,2.304171,4.721712,1.443915,0.988013,1.017195
16.606242,2.301947,4.897692,1.443878,0.988018,1.016908
17.406225,2.299705,5.073671,1.443880,0.988018,1.016814
18.206209,2.297439,5.249648,1.443914,0.988013,1.016869
19.006180,2.295187,5.425624,1.443949,0.988008,1.017007
19.806147,2.292964,5.601598,1.443994,0.988002,1.017141
20.606112,2.290772,5.777564,1.444067,0.987993,1.017208
21.406073,2.288627,5.953490,1.444320,0.987959,1.017112
22.206030,2.286550,6.129194,1.445652,0.987777,1.016442
23.005958,2.284564,6.304178,1.450430,0.987133,1.014310
23.805831,2.282691,6.477790,1.461610,0.985704,1.010165
24.605512,2.280951,6.649407,1.481617,0.983498,1.004538
25.285047,2.278876,6.782457,1.505786,1.000878,0.998047
25.505070,2.278278,6.827308,1.514650,1.002994,0.996359
25.695429,2.280000,6.840000,1.570000,1.000000,1.000000
