time,x,y,theta
0.000000,2.469546,0.759849,1.570000
0.613158,2.466663,0.800254,1.641300
1.408241,2.489952,0.973615,1.362117
2.206522,2.503179,1.148665,1.572203
3.006379,2.494807,1.324413,1.645373
3.806404,2.480369,1.499825,1.657539
4.606429,2.466563,1.675288,1.644614
5.406434,2.455885,1.850964,1.623782
6.206428,2.448784,2.026818,1.603661
7.006418,2.444644,2.202765,1.588797
7.806407,2.442437,2.378748,1.580079
8.606395,2.441236,2.554741,1.576165
9.406384,2.440335,2.730736,1.575771
10.206371,2.439290,2.906730,1.577304
11.006358,2.437902,3.082722,1.579499
11.806344,2.436139,3.258710,1.581570
12.606329,2.434069,3.434694,1.583104
13.406313,2.431814,3.610676,1.583895
14.206304,2.429412,3.786658,1.584811
15.006284,2.426985,3.962636,1.584448
15.806264,2.424620,4.138616,1.584077
16.606242,2.422321,4.314595,1.583714
17.406225,2.420062,4.490577,1.583623
18.206209,2.417827,4.666559,1.583493
19.006180,2.415621,4.842539,1.583229
19.806147,2.413450,5.018518,1.583096
20.606112,2.411315,5.194496,1.582906
21.406073,2.409301,5.370476,1.581990
22.206030,2.407887,5.546458,1.576989
23.005958,2.408326,5.722442,1.562947
23.805831,2.412255,5.898370,1.539472
24.605512,2.421128,6.074043,1.508332
25.285047,2.431041,6.200843,1.483560
25.505070,2.435205,6.245879,1.475389
25.695429,2.469546,6.269849,1.475389
