time,x,y,yaw,linx,liny,angz
"(1771540369, 84623237)",2.850129593247452,7.394485149352193,-1.5593895238637925,0.0,0.0,0.0
"(1771540369, 94265849)",2.850129593247452,7.394485149352193,-1.5594995242357255,0.0,0.0,0.0
"(1771540369, 98658347)",2.850129593247452,7.394485149352193,-1.5594246608018874,0.0,0.0,0.0
"(1771540369, 100859401)",2.850129593247452,7.394485149352193,-1.5594700199365616,0.0,0.0,0.0
"(1771540369, 103690956)",2.850129593247452,7.394485149352193,-1.5594336313009263,0.0,0.0,0.0
"(1771540369, 105813170)",2.850129593247452,7.394485149352193,-1.5593881529569629,0.0,0.0,0.0
"(1771540369, 109249020)",2.850129593247452,7.394485149352193,-1.5593967658281327,0.0,0.0,0.0
"(1771540369, 111181383)",2.850129593247452,7.394485149352193,-1.5594744008779529,0.0,0.0,0.0
"(1771540369, 114409522)",2.850129593247452,7.394485149352193,-1.5595213991403578,0.0,0.0,0.0
"(1771540369, 215489821)",2.850129593247452,7.394485149352193,-1.5595089119672776,0.0,0.0,0.0
"(1771540369, 273289271)",2.850129593247452,7.394485149352193,-1.5594136637449265,0.0,0.0,0.0
"(1771540369, 286012968)",2.850129593247452,7.394485149352193,-1.5594673377275468,0.0,0.0,0.0
"(1771540369, 526824215)",2.850129593247452,7.394485149352193,-1.5594635230302814,0.0,0.0,0.0
"(1771540369, 544561850)",2.850129593247452,7.394485149352193,-1.5594624799489976,0.0,0.0,0.0
"(1771540369, 552400155)",2.850129593247452,7.394485149352193,-1.5594287437200547,0.0,0.0,0.0
"(1771540369, 598296568)",2.850129593247452,7.394485149352193,-1.5594345849752427,0.0,0.0,0.0
"(1771540369, 609224564)",2.850129593247452,7.394485149352193,-1.5594919842481614,0.0,0.0,0.0
"(1771540369, 625958046)",2.850129593247452,7.394485149352193,-1.5594592314958573,0.0,0.0,0.0
"(1771540369, 638615758)",2.850129593247452,7.394485149352193,-1.5594228726625443,0.0,0.0,0.0
"(1771540369, 644968569)",2.850129593247452,7.394485149352193,-1.5593914014101027,0.0,0.0,0.0
"(1771540369, 648670838)",2.850129593247452,7.394485149352193,-1.5594803017377854,0.0,0.0,0.0
"(1771540369, 652636465)",2.850129593247452,7.394485149352193,-1.5594032031297684,0.0,0.0,0.0
"(1771540369, 708243721)",2.850129593247452,7.394485149352193,-1.5594813746213914,0.0,0.0,0.0
"(1771540369, 751636711)",2.850129593247452,7.394485149352193,-1.559396557211876,0.0,0.0,0.0
"(1771540369, 814520907)",2.850129593247452,7.394485149352193,-1.559472433924675,0.0,0.0,0.0
"(1771540369, 877728691)",2.850129593247452,7.394485149352193,-1.5594306510686875,0.0,0.0,0.0
"(1771540369, 917696620)",2.850129593247452,7.394485149352193,-1.559456370472908,0.0,0.0,0.0
"(1771540369, 952289208)",2.850129593247452,7.394485149352193,-1.5594533008337021,0.0,0.0,0.0
"(1771540370, 7004077)",2.850129593247452,7.394485149352193,-1.559460751414299,0.0,0.0,0.0
"(1771540370, 62592587)",2.850129593247452,7.394485149352193,-1.5594454330205916,0.0,0.0,0.0
"(1771540370, 114837169)",2.850129593247452,7.394485149352193,-1.5593967360258103,0.0,0.0,0.0
"(1771540370, 156579406)",2.850129593247452,7.394485149352193,-1.559447697997093,0.0,0.0,0.0
"(1771540370, 203714589)",2.850129593247452,7.394485149352193,-1.5594285649061204,0.0,0.0,0.0
"(1771540370, 385743438)",2.850129593247452,7.394485149352193,-1.5594387871026993,0.0,0.0,0.0
"(1771540370, 458859137)",2.850129593247452,7.394485149352193,-1.5593726557493208,0.0,0.0,0.0
"(1771540370, 473976522)",2.850129593247452,7.394485149352193,-1.5594869178533555,0.0,0.0,0.0
"(1771540370, 476280415)",2.850129593247452,7.394485149352193,-1.5594577115774155,0.0,0.0,0.0
"(1771540370, 478705562)",2.850129593247452,7.394485149352193,-1.5594472807645798,0.0,0.0,0.0
"(1771540370, 502527236)",2.850129593247452,7.394485149352193,-1.5593657714128493,0.0,0.0,0.0
"(1771540370, 550894414)",2.850129593247452,7.394485149352193,-1.55942394554615,0.0,0.0,0.0
"(1771540370, 607002333)",2.850129593247452,7.394485149352193,-1.5593858581781388,0.0,0.0,0.0
"(1771540370, 653992576)",2.850129593247452,7.394485149352193,-1.5594292801618577,0.0,0.0,0.0
"(1771540370, 714732944)",2.850129593247452,7.394485149352193,-1.5593784075975416,0.0,0.0,0.0
"(1771540370, 758273214)",2.850129593247452,7.394485149352193,-1.5593991202116013,0.0,0.0,0.0
"(1771540370, 803170767)",2.850129593247452,7.394485149352193,-1.5594409626722336,0.0,0.0,0.0
"(1771540370, 855158036)",2.850129593247452,7.394485149352193,-1.5594205182790755,0.0,0.0,0.0
"(1771540370, 913752440)",2.850129593247452,7.394485149352193,-1.559430621266365,0.0,0.0,0.0
"(1771540370, 950930095)",2.850129593247452,7.394485149352193,-1.559438906311989,0.0,0.0,0.0
"(1771540371, 10266555)",2.850129593247452,7.394485149352193,-1.559470884203911,0.0,0.0,0.0
"(1771540371, 54327440)",2.850129593247452,7.394485149352193,-1.5593824309110642,0.0,0.0,0.0
"(1771540371, 108986360)",2.850129593247452,7.394485149352193,-1.5593813580274585,0.0,0.0,0.0
"(1771540371, 156866447)",2.850129593247452,7.394485149352193,-1.5593472939729691,0.0,0.0,0.0
"(1771540371, 209114057)",2.850129593247452,7.394485149352193,-1.5594494861364367,0.0,0.0,0.0
"(1771540371, 256109203)",2.850129593247452,7.394485149352193,-1.5593717616796496,0.0,0.0,0.0
"(1771540371, 315346716)",2.850129593247452,7.394485149352193,-1.5594606322050093,0.0,0.0,0.0
"(1771540371, 357391229)",2.850129593247452,7.394485149352193,-1.559409312605858,0.0,0.0,0.0
"(1771540371, 404908247)",2.850129593247452,7.394485149352193,-1.559518269896507,0.0,0.0,0.0
"(1771540371, 455809281)",2.850129593247452,7.394485149352193,-1.5594269555807116,0.0,0.0,0.0
"(1771540371, 519342400)",2.850129593247452,7.394485149352193,-1.5594723743200303,0.0,0.0,0.0
"(1771540371, 554947527)",2.850129593247452,7.394485149352193,-1.5594795566797255,0.0,0.0,0.0
"(1771540371, 609939075)",2.850129593247452,7.394485149352193,-1.5594583076238633,0.0,0.0,0.0
"(1771540371, 656704723)",2.850129593247452,7.394485149352193,-1.5594121736288071,0.0,0.0,0.0
"(1771540371, 708485425)",2.850129593247452,7.394485149352193,-1.5594366711378098,0.0,0.0,0.0
"(1771540371, 755351025)",2.850129593247452,7.394485149352193,-1.559537671208382,0.0,0.0,0.0
"(1771540371, 814593523)",2.850129593247452,7.394485149352193,-1.5595043820142747,0.0,0.0,0.0
"(1771540371, 856522253)",2.850129593247452,7.394485149352193,-1.5594267469644545,0.0,0.0,0.0
"(1771540371, 915287159)",2.850129593247452,7.394485149352193,-1.559308401942253,0.0,0.0,0.0
"(1771540371, 963180994)",2.850129593247452,7.394485149352193,-1.5594667118787766,0.0,0.0,0.0
"(1771540372, 8363370)",2.850129593247452,7.394485149352193,-1.5594318729639054,0.0,0.0,0.0
"(1771540372, 61321090)",2.850129593247452,7.394485149352193,-1.559501640200615,0.0,0.0,0.0
"(1771540372, 115851385)",2.850129593247452,7.394485149352193,-1.5593480092287062,0.0,0.0,0.0
"(1771540372, 154760382)",2.850129593247452,7.394485149352193,-1.5594570261240006,0.0,0.0,0.0
"(1771540372, 211157621)",2.850129593247452,7.394485149352193,-1.5594702583551407,0.0,0.0,0.0
"(1771540372, 265399904)",2.850129593247452,7.394485149352193,-1.5594568771123885,0.0,0.0,0.0
"(1771540372, 310204132)",2.850129593247452,7.394485149352193,-1.559501193165779,0.0,0.0,0.0
"(1771540372, 358741735)",2.850129593247452,7.394485149352193,-1.5594800335168841,0.0,0.0,0.0
"(1771540372, 420618755)",2.850129593247452,7.394485149352193,-1.5594487410783766,0.0,0.0,0.0
"(1771540372, 460629104)",2.850129593247452,7.394485149352193,-1.5593323332071305,0.0,0.0,0.0
"(1771540372, 512456968)",2.850129593247452,7.394485149352193,-1.5593959909677506,0.0,0.0,0.0
"(1771540372, 561759809)",2.850129593247452,7.394485149352193,-1.5594125014543534,0.0,0.0,0.0
"(1771540372, 618811024)",2.850129593247452,7.394485149352193,-1.55941408097744,0.0,0.0,0.0
"(1771540372, 662150836)",2.850129593247452,7.394485149352193,-1.5594287139177323,0.0,0.0,0.0
"(1771540372, 720360203)",2.850129593247452,7.394485149352193,-1.5594158989191058,0.0,0.0,0.0
"(1771540372, 760619455)",2.850129593247452,7.394485149352193,-1.5593616586923602,0.0,0.0,0.0
"(1771540372, 814233433)",2.850129593247452,7.394485149352193,-1.559410385489464,0.0,0.0,0.0
"(1771540372, 857025304)",2.850129593247452,7.394485149352193,-1.5594128888845447,0.0,0.0,0.0
"(1771540372, 911533619)",2.850129593247452,7.394485149352193,-1.5593362969160078,0.0,0.0,0.0
"(1771540372, 964287313)",2.850129593247452,7.394485149352193,-1.5594430786371232,0.0,0.0,0.0
"(1771540373, 21168319)",2.850129593247452,7.394485149352193,-1.5593571883440018,0.0,0.0,0.0
"(1771540373, 66666955)",2.850129593247452,7.394485149352193,-1.55946250975132,0.0,0.0,0.0
"(1771540373, 114117031)",2.850129593247452,7.394485149352193,-1.5593551617860795,0.0,0.0,0.0
"(1771540373, 163256745)",2.850129593247452,7.394485149352193,-1.5593798679113386,0.0,0.0,0.0
"(1771540373, 213050424)",2.850129593247452,7.394485149352193,-1.5593994480371476,0.0,0.0,0.0
"(1771540373, 257059632)",2.850129593247452,7.394485149352193,-1.5593700629472733,0.0,0.0,0.0
"(1771540373, 323304653)",2.850129593247452,7.394485149352193,-1.5594226640462876,0.0,0.0,0.0
"(1771540373, 358198649)",2.850129593247452,7.394485149352193,-1.5593425852060319,0.0,0.0,0.0
"(1771540373, 413475401)",2.850129593247452,7.394485149352193,-1.5593809109926227,0.0,0.0,0.0
"(1771540373, 450683847)",2.850129593247452,7.394485149352193,-1.559368036389351,0.0,0.0,0.0
"(1771540373, 508912270)",2.850129593247452,7.394485149352193,-1.5594193261861802,0.0,0.0,0.0
"(1771540373, 550331862)",2.850129593247452,7.394485149352193,-1.5593833547830585,0.0,0.0,0.0
"(1771540373, 613869648)",2.850129593247452,7.394485149352193,-1.5595572513341904,0.0,0.0,0.0
"(1771540373, 658224668)",2.850129593247452,7.394485149352193,-1.559422932267189,0.0,0.0,0.0
"(1771540373, 707489251)",2.850129593247452,7.394485149352193,-1.5594149750471114,0.0,0.0,0.0
"(1771540373, 760886656)",2.850129593247452,7.394485149352193,-1.559470675587654,0.0,0.0,0.0
"(1771540373, 803042141)",2.850129593247452,7.394485149352193,-1.559468261599541,0.0,0.0,0.0
"(1771540373, 850175985)",2.850129593247452,7.394485149352193,-1.559506945014,0.0,0.0,0.0
"(1771540373, 918003584)",2.850129593247452,7.394485149352193,-1.5594141107797623,0.0,0.0,0.0
"(1771540373, 949854399)",2.850129593247452,7.394485149352193,-1.5594589036703113,0.0,0.0,0.0
"(1771540374, 15275089)",2.850129593247452,7.394485149352193,-1.5595041435956953,0.0,0.0,0.0
"(1771540374, 60260142)",2.850129593247452,7.394485149352193,-1.5594305020570756,0.0,0.0,0.0
"(1771540374, 106385347)",2.850129593247452,7.394485149352193,-1.559442363381386,0.0,0.0,0.0
"(1771540374, 153437175)",2.850129593247452,7.394485149352193,-1.5594078820943833,0.0,0.0,0.0
"(1771540374, 211200935)",2.850129593247452,7.394485149352193,-1.5594820004701615,0.0,0.0,0.0
"(1771540374, 252164411)",2.850129593247452,7.394485149352193,-1.5594342273473738,0.0,0.0,0.0
"(1771540374, 302340851)",2.850129593247452,7.394485149352193,-1.559394709467888,0.0,0.0,0.0
"(1771540374, 361387439)",2.850129593247452,7.394485149352193,-1.5595297437906266,0.0,0.0,0.0
"(1771540374, 411643804)",2.850129593247452,7.394485149352193,-1.5595049184560779,0.0,0.0,0.0
"(1771540374, 466067944)",2.850129593247452,7.394485149352193,-1.5594905239343644,0.0,0.0,0.0
"(1771540374, 558009003)",2.850129593247452,7.394485149352193,-1.5594141107797623,0.0,0.0,0.0
"(1771540374, 605608494)",2.850129593247452,7.394485149352193,-1.559462450146675,0.0,0.0,0.0
"(1771540374, 651909397)",2.850129593247452,7.394485149352193,-1.5593729239702225,0.0,0.0,0.0
"(1771540374, 666921053)",2.850129593247452,7.394485149352193,-1.5594480854272843,0.0,0.0,0.0
"(1771540374, 707302788)",2.850129593247452,7.394485149352193,-1.5594138127565385,0.0,0.0,0.0
"(1771540374, 764891006)",2.850129593247452,7.394485149352193,-1.5594697517156602,0.0,0.0,0.0
"(1771540374, 812019255)",2.850129593247452,7.394485149352193,-1.5594577711820603,0.0,0.0,0.0
