time,x,y,yaw,linx,liny,angz
"(1771540368, 812252083)",1.71000437599664,1.1437459790223163,1.5696012412011624,0.0,0.0,0.0
"(1771540368, 936858161)",1.710004345729447,1.1437206683540508,1.5695997585356236,0.0,0.0,0.0
"(1771540368, 950151145)",1.710004345729447,1.1437206683540508,1.5695944388210774,0.0,0.0,0.0
"(1771540369, 64543231)",1.710004345729447,1.1437206683540508,1.5695925314724446,0.0,0.0,0.0
"(1771540369, 70102392)",1.710004345729447,1.1437206683540508,1.5695913729071618,0.0,0.0,0.0
"(1771540369, 75951158)",1.7100043761772044,1.1437459790220998,1.569595358967781,0.0,0.0,0.0
"(1771540369, 81020100)",1.7100043761772044,1.1437459790220998,1.569601185321808,0.0,0.0,0.0
"(1771540369, 89556200)",1.7100043761772044,1.1437459790220998,1.5696026419103146,0.0,0.0,0.0
"(1771540369, 119112214)",1.7100043458462244,1.1437206683539105,1.5695933175086976,0.0,0.0,0.0
"(1771540369, 257791227)",1.7100043761596666,1.1437459790221207,1.5696040277183056,0.0,0.0,0.0
"(1771540369, 280539513)",1.7100043761596666,1.1437459790221207,1.5695999112725258,0.0,0.0,0.0
"(1771540369, 337127915)",1.7100043457795147,1.1437206683539904,1.569592162668705,0.0,0.0,0.0
"(1771540369, 342406810)",1.7100043457795147,1.1437206683539904,1.569603345990181,0.0,0.0,0.0
"(1771540369, 356614768)",1.7100043760363828,1.1437459790222686,1.5695984695851801,0.0,0.0,0.0
"(1771540369, 396765199)",1.7100043456859793,1.1437206683541026,1.569595955014229,0.0,0.0,0.0
"(1771540369, 406555415)",1.7100043456859793,1.1437206683541026,1.5695892383158208,0.0,0.0,0.0
"(1771540369, 452060391)",1.710004376239247,1.1437459790220244,1.5695891563594342,0.0,0.0,0.0
"(1771540369, 530992501)",1.710004376239247,1.1437459790220244,1.5695873756706715,0.0,0.0,0.0
"(1771540369, 602930583)",1.710004376239247,1.1437459790220244,1.569586444348097,0.0,0.0,0.0
"(1771540369, 610147961)",1.710004376239247,1.1437459790220244,1.5695895214378832,0.0,0.0,0.0
"(1771540369, 668982606)",1.7100043456235596,1.1437206683541778,1.5695839409530163,0.0,0.0,0.0
"(1771540369, 699430201)",1.710004376295302,1.1437459790219566,1.5695850920677186,0.0,0.0,0.0
"(1771540369, 760018552)",1.7100043456623126,1.143720668354131,1.5695870031416417,0.0,0.0,0.0
"(1771540369, 796330276)",1.7100043456623126,1.143720668354131,1.5695832182466982,0.0,0.0,0.0
"(1771540369, 866517890)",1.7100043763614934,1.1437459790218765,1.5695836466550828,0.0,0.0,0.0
"(1771540369, 914750980)",1.7100043763614934,1.1437459790218765,1.5695842650532723,0.0,0.0,0.0
"(1771540369, 989091050)",1.7100043763614934,1.1437459790218765,1.5695889998972417,0.0,0.0,0.0
"(1771540370, 3181130)",1.7100043763614934,1.1437459790218765,1.5695844401419163,0.0,0.0,0.0
"(1771540370, 50462590)",1.7100043763614934,1.1437459790218765,1.5695908215641976,0.0,0.0,0.0
"(1771540370, 103680259)",1.7100043457865863,1.1437206683539807,1.5695858632028106,0.0,0.0,0.0
"(1771540370, 148970316)",1.710004376428109,1.1437459790217959,1.5695855577290059,0.0,0.0,0.0
"(1771540370, 199779775)",1.710004376428109,1.1437459790217959,1.5695848648250104,0.0,0.0,0.0
"(1771540370, 382475576)",1.710004376428109,1.1437459790217959,1.56958810582757,0.0,0.0,0.0
"(1771540370, 404178023)",1.7100043457989382,1.1437206683539658,1.5695842911303044,0.0,0.0,0.0
"(1771540370, 413995636)",1.7100043764640804,1.1437459790217523,1.5695852634310723,0.0,0.0,0.0
"(1771540370, 419177206)",1.7100043764640804,1.1437459790217523,1.5695849877595902,0.0,0.0,0.0
"(1771540370, 459764500)",1.7100043764640804,1.1437459790217523,1.5695866455137728,0.0,0.0,0.0
"(1771540370, 509510335)",1.7100043764640804,1.1437459790217523,1.5695788298547269,0.0,0.0,0.0
"(1771540370, 548143630)",1.7100043456141778,1.14372066835419,1.5695761252939702,0.0,0.0,0.0
"(1771540370, 597322108)",1.7100043763543746,1.1437459790218858,1.5695874986052516,0.0,0.0,0.0
"(1771540370, 658580048)",1.7100043763543746,1.1437459790218858,1.56958423525095,0.0,0.0,0.0
"(1771540370, 695643779)",1.7100043456846121,1.1437206683541048,1.5695849542319775,0.0,0.0,0.0
"(1771540370, 765125368)",1.7100043456846121,1.1437206683541048,1.5695846375823022,0.0,0.0,0.0
"(1771540370, 806259889)",1.7100043763274548,1.1437459790219184,1.5695866790413855,0.0,0.0,0.0
"(1771540370, 851859845)",1.7100043763274548,1.1437459790219184,1.569576605856419,0.0,0.0,0.0
"(1771540370, 898133872)",1.7100043763274548,1.1437459790219184,1.5695858669281009,0.0,0.0,0.0
"(1771540370, 956804358)",1.7100043763274548,1.1437459790219184,1.5695906986296178,0.0,0.0,0.0
"(1771540370, 996330134)",1.7100043763274548,1.1437459790219184,1.569580767005682,0.0,0.0,0.0
"(1771540371, 57789106)",1.7100043763274548,1.1437459790219184,1.5695863027870658,0.0,0.0,0.0
"(1771540371, 101569992)",1.7100043457364242,1.143720668354042,1.5695891079306603,0.0,0.0,0.0
"(1771540371, 154747201)",1.7100043763143957,1.143745979021934,1.5695873346924782,0.0,0.0,0.0
"(1771540371, 210141899)",1.7100043763143957,1.143745979021934,1.5695883367955685,0.0,0.0,0.0
"(1771540371, 250292006)",1.7100043456277554,1.1437206683541734,1.5695795190334318,0.0,0.0,0.0
"(1771540371, 298204433)",1.7100043456277554,1.1437206683541734,1.5695865747332574,0.0,0.0,0.0
"(1771540371, 361503517)",1.7100043762263293,1.1437459790220408,1.5695882399380208,0.0,0.0,0.0
"(1771540371, 401062676)",1.7100043762263293,1.1437459790220408,1.569588467180729,0.0,0.0,0.0
"(1771540371, 452647427)",1.7100043762263293,1.1437459790220408,1.5695870292186735,0.0,0.0,0.0
"(1771540371, 501414773)",1.7100043455845708,1.1437206683542256,1.5695843730866907,0.0,0.0,0.0
"(1771540371, 563706754)",1.710004376199551,1.143745979022073,1.5695891451835633,0.0,0.0,0.0
"(1771540371, 597383761)",1.7100043456291227,1.143720668354172,1.569587893486023,0.0,0.0,0.0
"(1771540371, 662396316)",1.7100043762269421,1.1437459790220401,1.5695869807899,0.0,0.0,0.0
"(1771540371, 709557752)",1.7100043762269421,1.1437459790220401,1.5695815008878709,0.0,0.0,0.0
"(1771540371, 751122044)",1.7100043762269421,1.1437459790220401,1.5695802901685239,0.0,0.0,0.0
"(1771540371, 810407531)",1.7100043762269421,1.1437459790220401,1.5695844550430775,0.0,0.0,0.0
"(1771540371, 864072186)",1.7100043762269421,1.1437459790220401,1.569578807502985,0.0,0.0,0.0
"(1771540371, 905007531)",1.7100043762269421,1.1437459790220401,1.5695836056768895,0.0,0.0,0.0
"(1771540371, 969117795)",1.7100043762269421,1.1437459790220401,1.5695852634310723,0.0,0.0,0.0
"(1771540372, 6400649)",1.7100043762269421,1.1437459790220401,1.5695863214135173,0.0,0.0,0.0
"(1771540372, 52236396)",1.7100043762269421,1.1437459790220401,1.5695891973376275,0.0,0.0,0.0
"(1771540372, 111711955)",1.7100043762269421,1.1437459790220401,1.5695807260274888,0.0,0.0,0.0
