time,x,y,yaw,linx,liny,angz
"(1773399532, 74170649)",3.135466434477773,1.7554164854071992,1.5710530352592469,0.0,0.0,0.0
"(1773399532, 74636043)",3.1354664408250366,1.7553911747216322,1.57104970484972,0.0,0.0,0.0
"(1773399532, 75376754)",3.1354664408250366,1.7553911747216322,1.5710581761598585,0.0,0.0,0.0
"(1773399532, 75722220)",3.135466434296265,1.755416485407153,1.5710562390089036,0.0,0.0,0.0
"(1773399533, 705413427)",3.135466434296265,1.755416485407153,1.5710477676987646,0.0,0.0,0.0
"(1773399533, 707812731)",3.135466433902323,1.7554164854070473,1.5710654851794243,0.0,0.0,0.0
"(1773399533, 709486349)",3.135466433738636,1.7554164854070027,1.5710530427098275,0.0,0.0,0.0
"(1773399533, 711025587)",3.1354664403531167,1.7553911747215043,1.5710649263858798,0.0,0.0,0.0
"(1773399533, 793350700)",3.1354664336468923,1.7554164854069787,1.57105744600296,0.0,0.0,0.0
"(1773399533, 796866871)",3.1354664336468923,1.7554164854069787,1.5710368302464486,0.0,0.0,0.0
"(1773399533, 797402775)",3.1354664336468923,1.7554164854069787,1.5710424703359607,0.0,0.0,0.0
"(1773399534, 659533153)",3.1354664399612493,1.7553911747214033,1.5710388642549515,0.0,0.0,0.0
"(1773399534, 660750408)",3.1354664336762164,1.7554164854069858,1.5710504201054574,0.0,0.0,0.0
"(1773399536, 763462990)",3.1354664336762164,1.7554164854069858,1.571067064702511,0.0,0.0,0.0
"(1773399536, 764367867)",3.1354664336762164,1.7554164854069858,1.5710519847273827,0.0,0.0,0.0
"(1773399536, 765747239)",3.1354664336762164,1.7554164854069858,1.5710570734739304,0.0,0.0,0.0
"(1773399536, 766359066)",3.135466440245155,1.7553911747214754,1.5710617151856423,0.0,0.0,0.0
"(1773399536, 766933517)",3.135466440245155,1.7553911747214754,1.5710571330785754,0.0,0.0,0.0
"(1773399536, 767756635)",3.1354664336160596,1.7554164854069703,1.571059338450432,0.0,0.0,0.0
"(1773399537, 896246339)",3.1354664341190004,1.7554164854071022,1.5710552704334262,0.0,0.0,0.0
"(1773399537, 897360189)",3.1354664341190004,1.7554164854071022,1.5710540932416917,0.0,0.0,0.0
"(1773399537, 898528921)",3.13546643406535,1.7554164854070882,1.5710678693652151,0.0,0.0,0.0
"(1773399539, 558949037)",3.1354664341702,1.7554164854071175,1.571068040728569,0.0,0.0,0.0
"(1773399539, 561104483)",3.1354664344495804,1.75541648540719,1.5710754093527795,0.0,0.0,0.0
"(1773399539, 563225599)",3.1354664344495804,1.75541648540719,1.571075878739357,0.0,0.0,0.0
"(1773399539, 791956615)",3.1354664348165553,1.7554164854072898,1.5710699406266213,0.0,0.0,0.0
"(1773399540, 86104361)",3.1354664419836675,1.7553911747219422,1.5710745227336884,0.0,0.0,0.0
"(1773399540, 87433361)",3.135466434795623,1.7554164854072842,1.5710861158370972,0.0,0.0,0.0
"(1773399540, 498995772)",3.1354664351213937,1.7554164854073782,1.571077771186829,0.0,0.0,0.0
"(1773399540, 501674809)",3.1354664423331053,1.7553911747220428,1.5710847374796868,0.0,0.0,0.0
"(1773399540, 911693575)",3.1354664352247354,1.7554164854074061,1.5710834261775017,0.0,0.0,0.0
"(1773399540, 913270742)",3.135466435298187,1.755416485407427,1.5710776221752167,0.0,0.0,0.0
"(1773399541, 177857971)",3.135466435406526,1.7554164854074588,1.5710850802063945,0.0,0.0,0.0
"(1773399541, 179278634)",3.135466435406526,1.7554164854074588,1.5710779500007632,0.0,0.0,0.0
"(1773399541, 180127004)",3.1354664423952423,1.7553911747220607,1.5710669380426407,0.0,0.0,0.0
"(1773399541, 180896849)",3.13546643558247,1.7554164854075067,1.571064047217369,0.0,0.0,0.0
"(1773399541, 435172463)",3.135466442457379,1.755391174722076,1.5710706633329392,0.0,0.0,0.0
"(1773399542, 836393288)",3.1354664355206165,1.7554164854074885,1.5710701194405556,0.0,0.0,0.0
"(1773399542, 837454977)",3.135466442307176,1.7553911747220357,1.5710587945580483,0.0,0.0,0.0
"(1773399542, 838894306)",3.135466442310664,1.7553911747220363,1.5710765492916108,0.0,0.0,0.0
"(1773399542, 839545391)",3.135466442310664,1.7553911747220363,1.5710789036750796,0.0,0.0,0.0
"(1773399543, 159328923)",3.1354664354092603,1.7554164854074572,1.5710840073227883,0.0,0.0,0.0
"(1773399544, 365530043)",3.1354664427719294,1.755391174722165,1.57109139084816,0.0,0.0,0.0
"(1773399544, 366938234)",3.1354664426621763,1.7553911747221336,1.5710815113782883,0.0,0.0,0.0
"(1773399544, 368152741)",3.1354664355225963,1.7554164854074896,1.5710708793997765,0.0,0.0,0.0
"(1773399545, 331349621)",3.1354664353697532,1.7554164854074465,1.571071944832802,0.0,0.0,0.0
"(1773399547, 249722252)",3.135466442685183,1.7553911747221407,1.571084536314011,0.0,0.0,0.0
"(1773399547, 250593399)",3.135466442685183,1.7553911747221407,1.5710897219181061,0.0,0.0,0.0
"(1773399547, 251466513)",3.135466442685183,1.7553911747221407,1.5711031851172446,0.0,0.0,0.0
"(1773399547, 252379248)",3.135466435133746,1.7554164854073773,1.5710954514145852,0.0,0.0,0.0
"(1773399547, 258830499)",3.1354664350545427,1.755416485407355,1.5710773465037347,0.0,0.0,0.0
"(1773399547, 289855314)",3.1354664351353487,1.7554164854073764,1.5711027678847314,0.0,0.0,0.0
"(1773399548, 961156615)",3.135466435214552,1.7554164854074001,1.5710860413312915,0.0,0.0,0.0
"(1773399548, 962729355)",3.1354664426191805,1.7553911747221187,1.5710917112231255,0.0,0.0,0.0
"(1773399548, 992325209)",3.1354664350796235,1.7554164854073593,1.5710967031121252,0.0,0.0,0.0
"(1773399548, 994293176)",3.135466434920463,1.755416485407311,1.571109279692173,0.0,0.0,0.0
"(1773399549, 841269594)",3.135466434920463,1.755416485407311,1.571093074679375,0.0,0.0,0.0
"(1773399550, 202245068)",3.135466434920463,1.755416485407311,1.5711031851172446,0.0,0.0,0.0
"(1773399550, 203699049)",3.135466434920463,1.755416485407311,1.571089371740818,0.0,0.0,0.0
"(1773399550, 204293485)",3.135466434920463,1.755416485407311,1.5710846853256228,0.0,0.0,0.0
"(1773399550, 204848863)",3.135466442193274,1.755391174721993,1.5710962188243867,0.0,0.0,0.0
"(1773399551, 236121946)",3.1354664348290013,1.7554164854072867,1.5710842904448512,0.0,0.0,0.0
"(1773399551, 818860384)",3.1354664346759695,1.7554164854072407,1.5710963827371598,0.0,0.0,0.0
"(1773399551, 820550158)",3.1354664346121357,1.755416485407221,1.5711105984449387,0.0,0.0,0.0
"(1773399551, 822400370)",3.135466442224201,1.7553911747220028,1.5710835453867913,0.0,0.0,0.0
"(1773399551, 823233950)",3.135466442224201,1.7553911747220028,1.5711030584573746,0.0,0.0,0.0
"(1773399552, 201812368)",3.1354664346047807,1.755416485407219,1.571118004322052,0.0,0.0,0.0
"(1773399552, 202817039)",3.135466442630495,1.7553911747221285,1.5711088252067564,0.0,0.0,0.0
"(1773399552, 203708248)",3.135466434897079,1.7554164854073098,1.5711016130447388,0.0,0.0,0.0
"(1773399552, 897598735)",3.135466442972955,1.7553911747222355,1.5711023730039597,0.0,0.0,0.0
"(1773399552, 898695507)",3.1354664354288726,1.7554164854074739,1.5710863989591597,0.0,0.0,0.0
"(1773399552, 899600350)",3.1354664354288726,1.7554164854074739,1.571085475087166,0.0,0.0,0.0
"(1773399552, 900541825)",3.1354664354288726,1.7554164854074739,1.5710890290141106,0.0,0.0,0.0
