time,x,y,yaw,linx,liny,angz
"(1773399532, 80738928)",5.118331777141115,4.374991169976006,-3.140622514020806,0.0,0.0,0.0
"(1773399532, 81406689)",5.1183064664666995,4.374991145384251,-3.140619601418593,0.0,0.0,0.0
"(1773399532, 82038110)",5.118331777141065,4.374991170028798,-3.140618342514217,0.0,0.0,0.0
"(1773399532, 82806961)",5.118306466466699,4.374991145386041,-3.1406332266969637,0.0,0.0,0.0
"(1773399532, 256910347)",5.118306466466699,4.374991145386041,-3.140627393463519,0.0,0.0,0.0
"(1773399532, 257496248)",5.118331777140997,4.374991170098163,-3.1406165514426627,0.0,0.0,0.0
"(1773399532, 263296754)",5.11830646646669,4.374991145395257,-3.1406407033909725,0.0,0.0,0.0
"(1773399532, 263859401)",5.118331777141211,4.374991169877085,-3.140623635318634,0.0,0.0,0.0
"(1773399532, 264312068)",5.118306466466617,4.374991145469782,-3.1406330551080552,0.0,0.0,0.0
"(1773399533, 706207555)",5.118306466466646,4.374991145439807,-3.1406301634715144,0.0,0.0,0.0
"(1773399533, 708440058)",5.118306466466646,4.374991145439807,-3.140625954912111,0.0,0.0,0.0
"(1773399533, 710007518)",5.118306466466646,4.374991145439807,-3.1406253280883627,0.0,0.0,0.0
"(1773399533, 711593891)",5.118306466466646,4.374991145439807,-3.1406098865563488,0.0,0.0,0.0
"(1773399533, 712601239)",5.118306466466646,4.374991145439807,-3.140614939523375,0.0,0.0,0.0
"(1773399533, 713915251)",5.118331777140883,4.3749911702163296,-3.1406125759758377,0.0,0.0,0.0
"(1773399533, 715309091)",5.118306466466434,4.374991145657133,-3.140632112223984,0.0,0.0,0.0
"(1773399533, 792340482)",5.118306466466362,4.3749911457313555,-3.1406137732928707,0.0,0.0,0.0
"(1773399533, 794013089)",5.118306466466362,4.3749911457313555,-3.140611023397441,0.0,0.0,0.0
"(1773399533, 921307213)",5.118331777140608,4.374991170497848,-3.1406018846891763,0.0,0.0,0.0
"(1773399533, 923006192)",5.1183064664664695,4.374991145621399,-3.140611835518002,0.0,0.0,0.0
"(1773399533, 998017938)",5.1183064664664695,4.374991145621399,-3.1406222106060975,0.0,0.0,0.0
"(1773399533, 999782498)",5.1183064664664695,4.374991145621399,-3.140604884646536,0.0,0.0,0.0
"(1773399534, 661846180)",5.118331777140731,4.374991170372918,-3.140609627637759,0.0,0.0,0.0
"(1773399535, 606407371)",5.118306466466765,4.374991145321253,-3.1406173908844446,0.0,0.0,0.0
"(1773399535, 607356352)",5.118306466466765,4.374991145321253,-3.1406175165147667,0.0,0.0,0.0
"(1773399535, 608010124)",5.118306466466765,4.374991145321253,-3.1405956111202338,0.0,0.0,0.0
"(1773399535, 608877664)",5.118306466466765,4.374991145321253,-3.140613059506877,0.0,0.0,0.0
"(1773399536, 439292581)",5.118306466466765,4.374991145321253,-3.1406179790182884,0.0,0.0,0.0
"(1773399536, 441114495)",5.118306466466765,4.374991145321253,-3.1405833414573587,0.0,0.0,0.0
"(1773399536, 442439984)",5.118306466466765,4.374991145321253,-3.140607863660052,0.0,0.0,0.0
"(1773399536, 443734506)",5.118306466466765,4.374991145321253,-3.1405905501814866,0.0,0.0,0.0
"(1773399536, 445347634)",5.11833177714069,4.374991170414046,-3.14061197424141,0.0,0.0,0.0
"(1773399536, 447279421)",5.11833177714069,4.374991170414046,-3.1406100421708922,0.0,0.0,0.0
"(1773399536, 448840502)",5.118306466466402,4.3749911456902835,-3.140621642306514,0.0,0.0,0.0
"(1773399536, 450104637)",5.118306466466402,4.3749911456902835,-3.1406200744758914,0.0,0.0,0.0
"(1773399536, 572896135)",5.118306466466243,4.374991145854123,-3.1406122706257245,0.0,0.0,0.0
"(1773399536, 573992990)",5.118306466466243,4.374991145854123,-3.140621360937957,0.0,0.0,0.0
"(1773399536, 575577678)",5.118331777140265,4.37499117084881,-3.1406038005615935,0.0,0.0,0.0
"(1773399536, 967087562)",5.118306466466253,4.374991145844712,-3.1406185401837954,0.0,0.0,0.0
"(1773399536, 968004828)",5.118306466466253,4.374991145844712,-3.140618850281471,0.0,0.0,0.0
"(1773399536, 968610776)",5.118306466466253,4.374991145844712,-3.140605902074612,0.0,0.0,0.0
"(1773399537, 332887467)",5.118357087815239,4.374991194868719,-3.140617125268336,0.0,0.0,0.0
"(1773399537, 334205565)",5.11830646646638,4.374991145712811,-3.1406260806734005,0.0,0.0,0.0
"(1773399538, 489168499)",5.118306466466586,4.374991145499169,-3.1406153925608757,0.0,0.0,0.0
"(1773399538, 490846924)",5.118306466466586,4.374991145499169,-3.140622171697914,0.0,0.0,0.0
"(1773399538, 492201383)",5.118331777141104,4.374991169986928,-3.140628161291688,0.0,0.0,0.0
"(1773399538, 493142834)",5.118306466466541,4.374991145545269,-3.1406258144279215,0.0,0.0,0.0
"(1773399538, 493729111)",5.118306466466541,4.374991145545269,-3.140614964392598,0.0,0.0,0.0
"(1773399538, 494551155)",5.118306466466541,4.374991145545269,-3.140618348487778,0.0,0.0,0.0
"(1773399538, 581361436)",5.118306466466894,4.374991145181234,-3.1406173148470495,0.0,0.0,0.0
"(1773399538, 965862467)",5.118306466466894,4.374991145181234,-3.140630316979668,0.0,0.0,0.0
"(1773399538, 967029019)",5.118331777141514,4.374991169562281,-3.140640846087053,0.0,0.0,0.0
"(1773399538, 993411703)",5.118331777141514,4.374991169562281,-3.1406295028836846,0.0,0.0,0.0
"(1773399538, 995002386)",5.118331777141514,4.374991169562281,-3.1406239591496794,0.0,0.0,0.0
