time_s,x,y,yaw_rad
1776925194.059448,2.565000,0.875000,1.571679
1776925194.060342,2.565000,0.875000,1.571656
1776925194.326299,2.565000,0.875000,1.571673
1776925194.383245,2.565000,0.875000,1.571716
1776925194.384292,2.565000,0.875000,1.571718
1776925194.385946,2.565000,0.875000,1.571707
1776925194.388390,2.565000,0.875000,1.571669
1776925194.390192,2.565000,0.875000,1.571665
1776925194.391994,2.565000,0.875000,1.571652
1776925194.394418,2.565000,0.875000,1.571664
1776925194.397148,2.565000,0.875000,1.571664
1776925194.469834,2.565000,0.875000,1.571672
1776925194.489718,2.565000,0.875000,1.571655
1776925196.042765,2.565000,0.875000,1.571693
1776925196.044189,2.565000,0.875000,1.571650
1776925196.583499,2.565000,0.875000,1.571618
1776925196.584573,2.565000,0.875000,1.571646
1776925196.585735,2.565000,0.875000,1.571730
1776925197.009962,2.565000,0.875000,1.571638
1776925197.011302,2.565000,0.875000,1.571657
1776925197.012770,2.565000,0.875000,1.571663
1776925197.014064,2.565000,0.875000,1.571604
1776925197.015154,2.565000,0.875000,1.571641
1776925197.107847,2.565000,0.875000,1.571601
1776925198.668863,2.565000,0.875000,1.571675
1776925198.671257,2.565000,0.875000,1.571694
1776925198.673464,2.565000,0.875000,1.571701
1776925198.675347,2.565000,0.875000,1.571709
1776925198.676928,2.565000,0.875000,1.571696
1776925199.077280,2.565000,0.875000,1.571679
1776925199.078905,2.565000,0.875000,1.571764
1776925199.217675,2.565000,0.875000,1.571680
1776925199.219227,2.565000,0.875000,1.571725
1776925199.220347,2.565000,0.875000,1.571721
1776925199.852386,2.565000,0.875000,1.571745
1776925199.854644,2.565000,0.875000,1.571676
1776925199.856158,2.565000,0.875000,1.571698
1776925200.427082,2.565000,0.875000,1.571675
1776925201.057403,2.565000,0.875000,1.571658
1776925201.059254,2.565000,0.875000,1.571653
1776925201.060290,2.565000,0.875000,1.571741
1776925201.061233,2.565000,0.875000,1.571738
1776925201.215464,2.565000,0.875000,1.571691
1776925201.491304,2.565000,0.875000,1.571753
1776925201.807096,2.565000,0.875000,1.571802
1776925201.989008,2.565000,0.875000,1.571748
1776925201.990442,2.565000,0.875000,1.571765
1776925202.875342,2.565000,0.875000,1.571736
1776925203.686030,2.565000,0.875000,1.571740
1776925204.255358,2.565000,0.875000,1.571742
1776925204.256749,2.565000,0.875000,1.571761
1776925205.497223,2.567595,0.891612,1.178507
1776925205.869161,2.648253,0.955728,0.028086
1776925205.870588,2.651239,0.955726,-0.029086
1776925205.872460,2.656018,0.955503,-0.064217
1776925205.874120,2.658967,0.955237,-0.115787
1776925206.705871,2.682217,0.949331,-0.385234
1776925206.708168,2.687349,0.946984,-0.459329
1776925206.743520,2.690668,0.945302,-0.481268
1776925206.744937,2.691072,0.945091,-0.482923
1776925206.746448,2.691251,0.944997,-0.483210
1776925206.917455,2.691273,0.944985,-0.483203
1776925206.918714,2.691273,0.944985,-0.483208
1776925206.983020,2.691273,0.944985,-0.483214
1776925206.984402,2.691273,0.944985,-0.483211
1776925206.985848,2.691273,0.944985,-0.483214
1776925206.987390,2.691273,0.944985,-0.483218
1776925206.989390,2.691273,0.944985,-0.483210
1776925206.990505,2.691273,0.944985,-0.483206
1776925206.992141,2.691273,0.944985,-0.483206
1776925206.994329,2.691273,0.944985,-0.483198
1776925206.995404,2.691273,0.944985,-0.483208
1776925207.576418,2.691273,0.944985,-0.483207
1776925207.577303,2.691273,0.944985,-0.483213
1776925207.583853,2.691273,0.944985,-0.483213
1776925207.585173,2.691273,0.944985,-0.483217
1776925207.586963,2.691273,0.944985,-0.483219
1776925207.588791,2.691273,0.944985,-0.483212
1776925207.590384,2.691273,0.944985,-0.483203
1776925207.592422,2.691273,0.944985,-0.483204
1776925207.594268,2.691273,0.944985,-0.483211
1776925207.595701,2.691273,0.944985,-0.483196
1776925207.605613,2.691273,0.944985,-0.483199
1776925208.245103,2.691273,0.944985,-0.483196
1776925208.508299,2.691273,0.944985,-0.483195
1776925208.510418,2.691273,0.944985,-0.483195
1776925208.567255,2.691273,0.944985,-0.483193
1776925208.570788,2.691273,0.944985,-0.483205
1776925208.573169,2.691273,0.944985,-0.483215
1776925208.575456,2.691273,0.944985,-0.483200
1776925208.577454,2.691273,0.944985,-0.483201
1776925208.769141,2.691273,0.944985,-0.483196
1776925208.770747,2.691273,0.944985,-0.483204
1776925208.772653,2.691273,0.944985,-0.483201
1776925208.774422,2.691273,0.944985,-0.483192
1776925208.776150,2.691273,0.944985,-0.483193
1776925208.777504,2.691273,0.944985,-0.483190
1776925209.205546,2.691273,0.944985,-0.483198
1776925209.207800,2.691273,0.944985,-0.483187
1776925209.252338,2.691273,0.944985,-0.483193
1776925209.254268,2.691273,0.944985,-0.483200
1776925209.273654,2.691273,0.944985,-0.483184
1776925209.274979,2.691273,0.944985,-0.483184
1776925209.276572,2.691273,0.944985,-0.483196
1776925209.277936,2.691273,0.944985,-0.483182
1776925209.351994,2.691273,0.944985,-0.483174
1776925209.352895,2.691273,0.944985,-0.483172
1776925209.353868,2.691273,0.944985,-0.483187
1776925209.354625,2.691273,0.944985,-0.483186
1776925209.355436,2.691273,0.944985,-0.483185
1776925209.356112,2.691273,0.944985,-0.483190
1776925209.387664,2.691273,0.944985,-0.483189
1776925209.450370,2.691273,0.944985,-0.483173
