time_s,linear_x,angular_z
1776915967.782646,0.000357,0.381383
1776915967.802543,0.000916,0.399422
1776915967.822229,0.001465,0.417034
1776915967.843113,0.002045,0.435474
1776915967.863115,0.002597,0.452913
1776915967.882825,0.003137,0.469894
1776915967.903115,0.003690,0.487179
1776915967.922868,0.004225,0.503825
1776915967.943241,0.004772,0.520819
1776915967.962555,0.005288,0.536778
1776915967.982898,0.005828,0.553438
1776915968.001898,0.006328,0.568873
1776915968.023240,0.006886,0.586077
1776915968.042762,0.007392,0.601704
1776915968.063718,0.007932,0.618375
1776915968.082591,0.008414,0.633307
1776915968.104786,0.008976,0.650524
1776915968.122583,0.009424,0.664483
1776915968.142817,0.009930,0.680306
1776915968.164841,0.010475,0.697487
1776915968.182164,0.010901,0.710978
1776915968.202899,0.011408,0.727113
1776915968.222335,0.011878,0.742236
1776915968.242524,0.012364,0.757955
1776915968.262552,0.012842,0.773572
1776915968.282386,0.013312,0.789072
1776915968.302638,0.013789,0.804946
1776915968.322475,0.014252,0.820552
1776915968.342546,0.014718,0.836413
1776915968.362626,0.015180,0.852363
1776915968.382704,0.015640,0.868408
1776915968.402112,0.016082,0.884016
1776915968.422244,0.016537,0.900324
1776915968.441988,0.016981,0.916444
1776915968.461931,0.017427,0.932865
1776915968.482166,0.017877,0.949679
1776915968.501606,0.018307,0.965988
1776915968.521874,0.018755,0.983250
1776915968.542388,0.019205,1.000829
1776915968.562666,0.019648,1.018406
1776915968.582435,0.020078,1.035746
1776915968.601786,0.020499,1.052924
1776915968.622550,0.020948,1.071591
1776915968.642566,0.021381,1.089828
1776915968.662135,0.021803,1.107896
1776915968.682016,0.022231,1.126504
1776915968.702370,0.022669,1.145828
1776915968.722461,0.023101,1.165182
1776915968.742520,0.023533,1.184793
1776915968.762185,0.023957,1.204307
1776915968.782621,0.024398,1.224897
1776915968.802448,0.024826,1.245187
1776915968.821767,0.025244,1.265261
1776915968.842018,0.025684,1.286634
1776915968.862282,0.026126,1.308367
1776915968.882427,0.026567,1.330327
1776915968.902474,0.027008,1.352538
1776915968.921943,0.027438,1.374457
1776915968.942377,0.027893,1.397838
1776915968.962568,0.028344,1.421330
1776915968.981843,0.028789,1.444528
1776915969.002305,0.029254,1.464210
1776915969.021856,0.029702,1.472797
1776915969.041858,0.030164,1.481077
1776915969.061755,0.030627,1.488798
1776915969.081894,0.031101,1.496083
1776915969.102776,0.031597,1.503066
1776915969.122064,0.032061,1.508994
1776915969.142537,0.032558,1.514729
1776915969.162213,0.033042,1.519696
1776915969.182550,0.033548,1.524261
1776915969.202586,0.034052,1.528188
1776915969.222742,0.034567,1.531561
1776915969.242083,0.035067,1.534247
1776915969.262383,0.035599,1.536484
1776915969.281886,0.036117,1.538064
1776915969.302906,0.036684,1.539139
1776915969.321917,0.037204,1.539547
1776915969.341928,0.037760,1.539392
1776915969.362659,0.038345,1.538596
1776915969.382256,0.038907,1.537246
1776915969.402586,0.039500,1.535227
1776915969.422419,0.040087,1.532649
1776915969.442282,0.040685,1.529462
1776915969.461912,0.041286,1.525714
1776915969.482679,0.041932,1.521100
1776915969.502161,0.042547,1.516136
1776915969.522466,0.043193,1.510257
1776915969.542651,0.043855,1.503883
1776915969.561963,0.044499,1.497188
1776915969.582237,0.045187,1.489532
1776915969.602149,0.045876,1.481386
1776915969.622513,0.046592,1.472413
1776915969.641884,0.047287,1.463274
1776915969.662015,0.048021,1.453153
1776915969.682289,0.048774,1.442321
1776915969.702216,0.049528,1.431047
1776915969.722639,0.050316,1.418850
1776915969.742799,0.051107,1.406173
1776915969.762739,0.051905,1.393013
1776915969.782447,0.052708,1.379401
1776915969.802176,0.053526,1.365174
1776915969.822067,0.054366,1.350225
1776915969.842152,0.055230,1.334514
1776915969.862399,0.056117,1.318054
1776915969.882917,0.057033,1.300739
1776915969.902164,0.057908,1.283921
1776915969.922667,0.058856,1.265393
1776915969.941831,0.059759,1.247509
1776915969.962314,0.036539,1.116201
1776915969.982366,0.037105,1.099134
1776915970.002296,0.037682,1.081568
1776915970.022787,0.038290,1.062885
1776915970.042733,0.038897,1.044097
1776915970.062435,0.039512,1.024958
1776915970.082237,0.040144,1.005148
1776915970.103044,0.040826,0.983713
1776915970.122727,0.041486,0.962860
1776915970.142735,0.042174,0.941092
1776915970.162565,0.042871,0.918956
1776915970.182100,0.043575,0.896608
1776915970.201964,0.044306,0.873337
1776915970.222259,0.045071,0.849001
1776915970.243403,0.045887,0.823047
1776915970.262120,-0.115998,0.384008
1776915970.282553,-0.143292,0.300587
1776915970.302171,-0.145160,0.293693
1776915970.322174,-0.147065,0.286056
1776915970.342295,-0.148980,0.277756
1776915970.362167,-0.150871,0.268951
1776915970.382235,-0.152779,0.259448
1776915970.402041,-0.154660,0.249468
1776915970.422353,-0.156586,0.238616
1776915970.442364,-0.158482,0.227315
1776915970.462580,-0.160393,0.215286
1776915970.482295,-0.162254,0.202966
1776915970.502086,-0.164118,0.190017
1776915970.522662,-0.166052,0.175938
1776915970.541776,-0.167844,0.162302
1776915970.562084,-0.169743,0.147228
1776915970.583438,-0.171733,0.130732
1776915970.602301,-0.173486,0.115614
1776915970.622336,-0.175341,0.099000
1776915970.642684,-0.177219,0.081544
1776915970.662562,-0.179046,0.063929
1776915970.682106,-0.180836,0.046076
1776915970.701914,-0.182642,0.027445
1776915970.722543,-0.184515,0.007473
1776915970.742169,-0.186289,-0.012058
1776915970.762121,-0.188083,-0.032439
1776915970.782616,-0.189917,-0.053919
1776915970.802245,-0.191663,-0.075001
1776915970.821863,-0.193400,-0.096563
1776915970.844176,-0.195363,-0.114241
1776915970.862238,-0.196943,-0.118386
1776915970.882270,-0.198684,-0.122983
1776915970.902782,-0.200456,-0.127690
1776915970.921935,-0.202099,-0.132085
1776915970.941900,-0.203801,-0.136667
1776915970.962501,-0.205545,-0.141394
1776915970.982764,-0.207247,-0.146044
1776915971.002591,-0.208899,-0.150594
1776915971.022795,-0.210571,-0.155231
1776915971.041990,-0.212146,-0.159636
1776915971.062807,-0.213840,-0.164413
1776915971.082402,-0.215422,-0.168910
1776915971.102116,-0.216999,-0.173434
1776915971.122188,-0.218591,-0.178040
1776915971.142059,-0.220000,-0.182600
1776915971.162687,-0.220000,-0.187335
1776915971.182142,-0.220000,-0.191800
1776915971.201899,-0.220000,-0.196335
1776915971.222619,-0.220000,-0.201091
1776915971.242404,-0.220000,-0.205633
1776915971.262725,-0.220000,-0.210298
1776915971.282602,-0.220000,-0.214863
1776915971.302474,-0.220000,-0.219427
1776915971.322564,-0.220000,-0.224041
1776915971.342176,-0.220000,-0.228547
1776915971.362309,-0.220000,-0.233173
