time_s,linear_x,angular_z
1776733177.353331,-0.001869,-0.217749
1776733177.372615,-0.009093,-0.218111
1776733177.392769,-0.015960,-0.218418
1776733177.412734,-0.022070,-0.218661
1776733177.432670,-0.027479,-0.218854
1776733177.452795,-0.032234,-0.219011
1776733177.472679,-0.036230,-0.219141
1776733177.492923,-0.039578,-0.219258
1776733177.512666,-0.042139,-0.219371
1776733177.532614,-0.044016,-0.219494
1776733177.552621,-0.045178,-0.219639
1776733177.572645,-0.045615,-0.219817
1776733177.592762,-0.045367,-0.219898
1776733177.612809,-0.044335,-0.220175
1776733177.632664,-0.042584,-0.220516
1776733177.652675,-0.040084,-0.220937
1776733177.673487,-0.036604,-0.220826
1776733177.692610,-0.032781,-0.221359
1776733177.712851,-0.027989,-0.222027
1776733177.733072,-0.022436,-0.222813
1776733177.752672,-0.016320,-0.223700
1776733177.772674,-0.009331,-0.224743
1776733177.793050,-0.001434,-0.225732
1776733177.812629,0.007411,-0.223564
1776733177.832819,0.016777,-0.223024
1776733177.852704,0.026762,-0.222311
1776733177.873601,0.038071,-0.221356
1776733177.893072,0.049360,-0.220266
1776733177.913251,0.061828,-0.218922
1776733177.932794,0.075734,-0.217256
1776733177.952710,0.089602,-0.216855
1776733177.973161,0.104644,-0.216778
1776733177.993109,0.120099,-0.216702
1776733178.012573,0.137020,-0.216549
1776733178.032728,0.154237,-0.216445
1776733178.052655,0.172042,-0.216338
1776733178.072943,0.190970,-0.216228
1776733178.093845,0.211316,-0.216112
1776733178.112673,0.231194,-0.215775
1776733178.132998,0.252599,-0.215609
1776733178.152837,0.274278,-0.215442
1776733178.172909,0.300000,0.122873
1776733178.192757,0.300000,0.123471
1776733178.212638,0.300000,0.123724
1776733178.233110,0.300000,0.123982
1776733178.252590,0.300000,0.124224
1776733178.272929,0.300000,0.124473
1776733178.293519,0.300000,0.124721
1776733178.314935,0.300000,0.126101
1776733178.333228,0.300000,0.126438
1776733178.352651,0.300000,0.126797
1776733178.372983,0.300000,0.127176
1776733178.394344,0.300000,0.127575
1776733178.412984,0.300000,0.127924
1776733178.433589,0.300000,0.128310
1776733178.453428,0.300000,0.128681
1776733178.472678,0.300000,0.129040
1776733178.493008,0.300000,0.136345
1776733178.512649,0.300000,0.137185
1776733178.532573,0.300000,0.138035
1776733178.553188,0.300000,0.138908
1776733178.573953,0.300000,0.144426
1776733178.592571,0.300000,0.145429
1776733178.612341,0.300000,0.146472
1776733178.632366,0.300000,0.147499
1776733178.652308,0.300000,0.148488
1776733178.672302,0.300000,0.149439
1776733178.692488,0.300000,0.150352
1776733178.712563,0.300000,0.158551
1776733178.733053,0.300000,0.159593
1776733178.752596,0.300000,0.160505
1776733178.772853,0.300000,0.161357
1776733178.792632,0.300000,0.166450
1776733178.812649,0.300000,0.167165
1776733178.832628,0.300000,0.167749
1776733178.852615,0.300000,0.168197
1776733178.872620,0.300000,0.168499
1776733178.892853,0.300000,0.168649
1776733178.913097,0.300000,0.168634
1776733178.932791,0.300000,0.168454
1776733178.952649,0.300000,0.175477
1776733178.973379,0.300000,0.138771
1776733178.992573,0.300000,0.139563
1776733179.012798,0.300000,0.140392
1776733179.032693,0.300000,0.144927
1776733179.052507,0.300000,0.145784
1776733179.073133,0.300000,0.146671
1776733179.093566,0.300000,0.147547
1776733179.113383,0.300000,0.157820
1776733179.133559,0.300000,0.158801
1776733179.153493,0.300000,0.159767
1776733179.172952,0.300000,0.160707
1776733179.192642,0.300000,0.161656
1776733179.212858,0.300000,0.161830
1776733179.232694,0.300000,0.162774
1776733179.252940,0.300000,0.163738
1776733179.272670,0.300000,0.164677
1776733179.292626,0.300000,0.170381
1776733179.312688,0.300000,0.171396
1776733179.332679,0.300000,0.172411
1776733179.353075,0.300000,0.173449
1776733179.372864,0.300000,0.174461
1776733179.392616,0.300000,0.175475
1776733179.413597,0.300000,0.179927
1776733179.432692,0.300000,0.180957
1776733179.452871,0.300000,0.182053
1776733179.472831,0.300000,0.183144
1776733179.492810,0.300000,0.184245
1776733179.512621,0.300000,0.185417
1776733179.532599,0.300000,0.186538
1776733179.552643,0.300000,0.187674
1776733179.572799,0.300000,0.188828
1776733179.592694,0.300000,0.188068
1776733179.612920,0.300000,0.189228
1776733179.632665,0.300000,0.190374
1776733179.652621,0.300000,0.191547
1776733179.672642,0.300000,0.189488
1776733179.693140,0.300000,0.190681
1776733179.712665,0.300000,0.191833
1776733179.732743,0.300000,0.193035
1776733179.752829,0.300000,0.167649
1776733179.772843,0.300000,0.168266
1776733179.792573,0.300000,0.168880
1776733179.812857,0.300000,0.170371
1776733179.832583,0.300000,0.171005
1776733179.852669,0.300000,0.171659
1776733179.872567,0.300000,0.172317
1776733179.892761,0.300000,0.172995
1776733179.912982,0.300000,0.173685
1776733179.933028,0.300000,0.162839
1776733179.952788,0.300000,0.163438
1776733179.972734,0.300000,0.164056
1776733179.992711,0.300000,0.164691
1776733180.012883,0.300000,0.160773
1776733180.032645,0.300000,0.161389
1776733180.053127,0.300000,0.162045
1776733180.072704,0.300000,0.162690
1776733180.093373,0.300000,0.163391
1776733180.112574,0.300000,0.160510
1776733180.132893,0.300000,0.161201
1776733180.153195,0.300000,0.161912
1776733180.172592,0.300000,0.162613
1776733180.192632,0.300000,0.158610
1776733180.212653,0.300000,0.159324
1776733180.232712,0.300000,0.160062
1776733180.253511,0.300000,0.160852
1776733180.272825,0.300000,0.158227
1776733180.292680,0.300000,0.158988
1776733180.312948,0.300000,0.159790
1776733180.332713,0.300000,0.160597
1776733180.352581,0.300000,0.161434
1776733180.372600,0.300000,0.162303
1776733180.392821,0.300000,0.163209
1776733180.412610,0.300000,0.164122
1776733180.433062,0.300000,0.165095
1776733180.452604,0.300000,0.158410
1776733180.472646,0.300000,0.159316
1776733180.492686,0.300000,0.160250
