time_s,x,y,yaw_rad
1776732869.906138,2.565000,7.875000,-1.570000
1776732870.007527,2.565000,7.875000,-1.570000
1776732870.131553,2.565000,7.875000,-1.570000
1776732870.208708,2.565000,7.875000,-1.570000
1776732870.307237,2.565000,7.875000,-1.570000
1776732870.407757,2.565000,7.875000,-1.570000
1776732870.505267,2.565000,7.875000,-1.570000
1776732870.609868,2.565000,7.875000,-1.570000
1776732870.708537,2.565000,7.875000,-1.570000
1776732870.808299,2.565000,7.875000,-1.570000
1776732870.907861,2.565000,7.875000,-1.570000
1776732871.008823,2.565000,7.875000,-1.570000
1776732871.108118,2.565000,7.875000,-1.570000
1776732871.207132,2.565000,7.875000,-1.570000
1776732871.305389,2.565000,7.875000,-1.570000
1776732871.411572,2.565000,7.875000,-1.570000
1776732871.509953,2.565000,7.875000,-1.570000
1776732871.608987,2.565000,7.875000,-1.570000
1776732871.707452,2.565000,7.875000,-1.570000
1776732871.846259,2.565000,7.875000,-1.570000
1776732871.962058,2.565000,7.875082,-1.570584
1776732872.047695,2.565003,7.876023,-1.577889
1776732872.242776,2.565135,7.880275,-1.625808
1776732872.328700,2.565283,7.882520,-1.647137
1776732872.417025,2.565473,7.884762,-1.663792
1776732872.548566,2.565863,7.888422,-1.690089
1776732872.675930,2.566046,7.889801,-1.715217
1776732872.760507,2.565717,7.887658,-1.730703
1776732872.847120,2.564722,7.881977,-1.757876
1776732872.936272,2.563628,7.876648,-1.788556
1776732873.021968,2.561319,7.866853,-1.816021
1776732873.147225,2.557086,7.850625,-1.835890
1776732873.236226,2.553882,7.839160,-1.850792
1776732873.320133,2.548730,7.821957,-1.872706
1776732873.407279,2.544131,7.807581,-1.888191
1776732873.539221,2.534872,7.780571,-1.913904
1776732873.668234,2.521835,7.746842,-1.965329
1776732873.755818,2.513702,7.727586,-1.975555
1776732873.841191,2.504137,7.704584,-1.954226
1776732873.924317,2.493088,7.676974,-1.948674
1776732874.010192,2.484606,7.655255,-1.937571
1776732874.195335,2.465554,7.602986,-1.903093
1776732874.274894,2.455670,7.573381,-1.882932
1776732874.361806,2.448623,7.550984,-1.868323
1776732874.447984,2.439766,7.521055,-1.848746
1776732874.533629,2.433459,7.498311,-1.833845
1776732874.656957,2.423633,7.460163,-1.811931
1776732874.738585,2.418166,7.437286,-1.798782
1776732874.820921,2.411842,7.410871,-1.812807
1776732874.956204,2.402847,7.372687,-1.791478
1776732875.043773,2.396213,7.341896,-1.774531
1776732875.165996,2.388722,7.303639,-1.753786
1776732875.251513,2.384245,7.276185,-1.711126
1776732875.336596,2.381106,7.252833,-1.697686
1776732875.421868,2.377377,7.221722,-1.682492
1776732875.508920,2.374889,7.198374,-1.671389
1776732875.631058,2.371307,7.159350,-1.653273
1776732875.716444,2.368856,7.132258,-1.668759
1776732875.844529,2.365334,7.092941,-1.651520
1776732875.928421,2.363545,7.069406,-1.641878
1776732876.015068,2.361527,7.038178,-1.628730
1776732876.190887,2.358944,6.983220,-1.606816
1776732876.276119,2.359285,6.966084,-1.494908
1776732876.360645,2.360728,6.931998,-1.562111
1776732876.443460,2.361151,6.900626,-1.552469
1776732876.525884,2.361300,6.881278,-1.573798
1776732876.649057,2.361451,6.842050,-1.560066
1776732876.736979,2.362260,6.814573,-1.522666
1776732876.826146,2.363319,6.787391,-1.541074
1776732876.912544,2.364647,6.759729,-1.504550
1776732877.046893,2.368030,6.712891,-1.492863
1776732877.175052,2.371254,6.673876,-1.483805
1776732877.258246,2.373355,6.650614,-1.477669
1776732877.346242,2.376386,6.619344,-1.470656
1776732877.459765,2.379524,6.584305,-1.492278
1776732877.542897,2.381380,6.564717,-1.460430
1776732877.662558,2.385830,6.525700,-1.454002
1776732877.747147,2.389543,6.494834,-1.448158
1776732877.837583,2.392477,6.471373,-1.444652
1776732877.916382,2.395484,6.447963,-1.441438
1776732878.049825,2.401669,6.401164,-1.437347
1776732878.226075,2.409125,6.346653,-1.432380
1776732878.308832,2.412371,6.323522,-1.430335
1776732878.440331,2.417926,6.284647,-1.427413
1776732878.524750,2.422462,6.253519,-1.424783
1776732878.653328,2.428198,6.214629,-1.423907
1776732878.739982,2.431654,6.191321,-1.423322
1776732878.825723,2.436297,6.160251,-1.421569
1776732878.909232,2.439807,6.136952,-1.420985
1776732879.046735,2.445632,6.098364,-1.420985
1776732879.166975,2.451528,6.059457,-1.419816
1776732879.251031,2.456230,6.028519,-1.420108
1776732879.335991,2.459752,6.005346,-1.419816
1776732879.421024,2.463521,5.978116,-1.446697
1776732879.556923,2.469469,5.935372,-1.418355
1776732879.679599,2.475433,5.896475,-1.418939
1776732879.762667,2.478985,5.873265,-1.418939
1776732879.849108,2.483739,5.842170,-1.419232
1776732879.936030,2.487284,5.818959,-1.419232
1776732880.054460,2.492088,5.784068,-1.448742
1776732880.246236,2.499683,5.721697,-1.450496
1776732880.332319,2.503324,5.694697,-1.423030
1776732880.418443,2.506781,5.671473,-1.423030
1776732880.554405,2.513678,5.624857,-1.424783
1776732880.676629,2.519356,5.586124,-1.425660
