time_s,linear_x,angular_z
1776925197.278290,0.007688,0.069739
1776925197.297759,0.037500,0.071263
1776925197.317842,0.067991,0.070475
1776925197.337698,0.097840,0.069335
1776925197.357650,0.127502,0.069613
1776925197.377611,0.156813,0.069973
1776925197.397604,0.185766,0.070417
1776925197.417842,0.214629,0.070953
1776925197.437697,0.242475,0.071561
1776925197.457778,0.270128,0.072260
1776925197.477729,0.297062,0.073034
1776925197.497712,0.300000,0.073888
1776925197.518020,0.300000,0.074832
1776925197.537843,0.300000,0.075824
1776925197.557776,0.300000,0.076888
1776925197.577677,0.300000,0.078011
1776925197.597698,0.300000,0.079197
1776925197.617666,0.300000,0.080430
1776925197.637711,0.300000,0.081712
1776925197.657889,0.300000,0.083040
1776925197.677819,0.300000,0.084382
1776925197.697746,0.300000,0.085747
1776925197.717669,0.300000,0.087127
1776925197.737976,0.300000,0.088540
1776925197.757722,0.300000,0.089915
1776925197.778078,0.300000,0.091323
1776925197.797704,0.300000,0.092664
1776925197.817786,0.300000,0.094012
1776925197.839070,0.300000,0.095405
1776925197.857716,0.300000,0.096586
1776925197.877756,0.300000,0.097808
1776925197.897744,0.300000,0.098969
1776925197.917606,0.300000,0.100060
1776925197.937670,0.300000,0.101089
1776925197.957701,0.300000,0.102037
1776925197.977708,0.300000,0.102897
1776925197.997788,0.300000,0.103666
1776925198.017645,0.300000,0.104328
1776925198.037795,0.300000,0.104894
1776925198.057748,0.300000,0.105344
1776925198.077786,0.300000,0.105680
1776925198.097918,0.300000,-0.012899
1776925198.117762,0.300000,-0.012057
1776925198.137726,0.300000,-0.011197
1776925198.157671,0.300000,-0.010327
1776925198.177730,0.300000,-0.009442
1776925198.197782,0.300000,-0.008550
1776925198.217801,0.300000,-0.007654
1776925198.237809,0.300000,-0.006752
1776925198.257863,0.300000,-0.005845
1776925198.277935,0.300000,-0.004935
1776925198.299146,0.300000,-0.003973
1776925198.317814,0.300000,-0.003127
1776925198.337794,0.300000,-0.002224
1776925198.357663,0.300000,-0.001329
1776925198.377690,0.300000,-0.000433
1776925198.397702,0.300000,0.000457
1776925198.417810,0.300000,0.001342
1776925198.438038,0.300000,0.002223
1776925198.457751,0.300000,0.003071
1776925198.477830,0.300000,0.003923
1776925198.497753,0.300000,0.004753
1776925198.517794,0.300000,0.005574
1776925198.537784,0.300000,0.006376
1776925198.557860,0.300000,0.007163
1776925198.577809,0.300000,0.007925
1776925198.597827,0.300000,0.008669
1776925198.617701,0.300000,0.009386
1776925198.637795,0.300000,0.010086
1776925198.657847,0.300000,0.010759
1776925198.678024,0.300000,0.011409
1776925198.697685,0.300000,0.012015
1776925198.717815,0.300000,0.012606
1776925198.737834,0.300000,0.013162
1776925198.757807,0.300000,0.013684
1776925198.777709,0.300000,0.014171
1776925198.797874,0.300000,0.014628
1776925198.818193,0.300000,0.015051
1776925198.837835,0.300000,0.015422
1776925198.857855,0.300000,0.015760
1776925198.877764,0.300000,0.016056
1776925198.897734,0.300000,0.016606
1776925198.917646,0.300000,0.016836
1776925198.937633,0.300000,0.017038
1776925198.957651,0.300000,0.017212
1776925198.977670,0.300000,0.017357
1776925198.997630,0.300000,0.017474
1776925199.017616,0.300000,0.017565
1776925199.037786,0.300000,0.017629
1776925199.057793,0.300000,0.017666
1776925199.078001,0.300000,0.017677
1776925199.097646,0.300000,0.017662
1776925199.118093,0.300000,0.017622
1776925199.137972,0.300000,0.017558
1776925199.157710,0.300000,0.017471
1776925199.177663,0.300000,0.017360
1776925199.197673,0.300000,0.017225
1776925199.218234,0.300000,0.017063
1776925199.237873,0.300000,0.016886
1776925199.257990,0.300000,0.016683
1776925199.277915,0.300000,0.016461
1776925199.297710,0.300000,0.016220
1776925199.317729,0.300000,0.015956
1776925199.337708,0.300000,0.015672
1776925199.357669,0.300000,0.015369
1776925199.377654,0.300000,0.015047
1776925199.397652,0.300000,0.014706
1776925199.417679,0.300000,0.014346
1776925199.437698,0.300000,0.013969
1776925199.457635,0.300000,0.013577
1776925199.477801,0.300000,0.013162
1776925199.497829,0.300000,0.012735
1776925199.517697,0.300000,0.012295
1776925199.537662,0.300000,0.011838
1776925199.558045,0.300000,0.011356
1776925199.577599,0.300000,0.010879
1776925199.597642,0.300000,0.010377
1776925199.617685,0.300000,0.009861
1776925199.637591,0.300000,0.009336
1776925199.657668,0.300000,0.008793
1776925199.677789,0.300000,0.025297
1776925199.697669,0.300000,0.024723
1776925199.717685,0.300000,0.024119
1776925199.737705,0.300000,0.023489
1776925199.757668,0.300000,0.022837
1776925199.777687,0.300000,0.022159
1776925199.797671,0.300000,0.021459
1776925199.818170,0.300000,0.020717
1776925199.838010,0.300000,0.019977
1776925199.857682,0.300000,0.019224
1776925199.877740,0.300000,0.018435
1776925199.897548,0.300000,0.017636
1776925199.917700,0.300000,0.016805
1776925199.938170,0.300000,0.015941
1776925199.959201,0.300000,0.015035
1776925199.977606,0.300000,0.014226
1776925199.997628,0.300000,0.013331
1776925200.017535,0.300000,0.012425
1776925200.037604,0.300000,0.011498
1776925200.057652,0.300000,0.010557
1776925200.077615,0.300000,0.009606
1776925200.097655,0.300000,0.008640
1776925200.117928,0.300000,0.007649
1776925200.137868,0.300000,0.006664
1776925200.157750,0.300000,0.005671
1776925200.177737,0.300000,0.004663
1776925200.197629,0.300000,0.003651
1776925200.217738,0.300000,0.002619
1776925200.237672,0.300000,0.001588
1776925200.257645,0.300000,0.000549
1776925200.277645,0.300000,-0.000499
1776925200.297717,0.300000,-0.001556
1776925200.317638,0.300000,-0.002610
1776925200.337680,0.300000,-0.003674
1776925200.357783,0.300000,-0.004746
1776925200.377629,0.300000,-0.005806
1776925200.397715,0.300000,-0.006882
1776925200.417665,0.300000,-0.007952
1776925200.437611,0.300000,-0.009022
1776925200.457541,0.300000,-0.010091
1776925200.477659,0.300000,0.011504
1776925200.497634,0.300000,0.010409
1776925200.517681,0.300000,0.009292
1776925200.537663,0.300000,0.008163
1776925200.557628,0.300000,0.007020
1776925200.577624,0.300000,0.005860
1776925200.597719,0.300000,0.004680
1776925200.617698,0.300000,0.003494
1776925200.637647,0.300000,0.002297
1776925200.657677,0.300000,0.001083
1776925200.677679,0.300000,-0.000140
1776925200.697643,0.300000,-0.001371
1776925200.717454,0.300000,-0.002602
1776925200.737616,0.300000,-0.003863
1776925200.757609,0.300000,-0.005123
1776925200.777664,0.300000,-0.006393
1776925200.797678,0.300000,-0.007667
1776925200.817712,0.300000,-0.008948
1776925200.838105,0.300000,-0.010258
1776925200.857632,0.300000,-0.011516
1776925200.877645,0.300000,-0.012809
1776925200.897650,0.300000,-0.014104
1776925200.917655,0.300000,-0.015401
1776925200.937630,0.300000,-0.016698
1776925200.957591,0.300000,-0.017994
1776925200.977577,0.300000,-0.019292
1776925200.997637,0.300000,-0.020593
1776925201.017926,0.300000,-0.021908
1776925201.037798,0.300000,-0.023193
1776925201.058028,0.300000,-0.024498
1776925201.077610,0.300000,-0.025758
1776925201.097643,0.300000,-0.027041
1776925201.117610,0.300000,-0.028316
1776925201.137601,0.300000,-0.029585
1776925201.157729,0.300000,-0.030857
1776925201.177613,0.300000,-0.032105
1776925201.197613,0.300000,-0.033352
1776925201.217943,0.300000,-0.034610
1776925201.237567,0.300000,-0.035815
1776925201.257668,0.300000,-0.014991
1776925201.277662,0.300000,-0.016208
1776925201.297649,0.300000,-0.017430
1776925201.317877,0.300000,-0.018673
1776925201.337737,0.300000,-0.019897
1776925201.357776,0.300000,-0.021137
1776925201.377615,0.300000,-0.022367
1776925201.397550,0.300000,-0.023607
1776925201.417683,0.300000,-0.024861
1776925201.437699,0.300000,-0.026110
1776925201.457673,0.300000,-0.027357
1776925201.477715,0.300000,-0.028609
1776925201.497969,0.300000,-0.029874
1776925201.517941,0.300000,-0.031121
1776925201.537918,0.300000,-0.032365
1776925201.557723,0.300000,-0.033598
1776925201.577653,0.300000,-0.034835
1776925201.597674,0.300000,-0.036076
1776925201.617646,0.300000,-0.037310
1776925201.637650,0.300000,-0.038542
1776925201.657640,0.300000,-0.039768
1776925201.677655,0.300000,-0.040990
1776925201.697611,0.300000,-0.042201
1776925201.717435,0.300000,-0.043398
1776925201.737496,0.300000,-0.044603
1776925201.757432,0.300000,-0.045791
1776925201.777499,0.300000,-0.046980
1776925201.797860,0.300000,-0.048176
1776925201.818031,0.300000,-0.049351
1776925201.837823,0.300000,-0.050494
1776925201.857671,0.300000,-0.051629
1776925201.877891,0.300000,-0.052774
1776925201.897676,0.300000,-0.053882
1776925201.917600,0.300000,-0.054985
1776925201.937628,0.300000,-0.056080
1776925201.958318,0.300000,-0.057197
1776925201.977701,0.300000,-0.058230
1776925201.997880,0.300000,-0.059289
1776925202.018022,0.300000,-0.060331
1776925202.037869,0.300000,-0.061341
1776925202.057662,0.300000,-0.046820
1776925202.077677,0.300000,-0.047815
1776925202.097605,0.300000,-0.048799
1776925202.117591,0.300000,-0.049781
1776925202.137663,0.300000,-0.050760
1776925202.157667,0.300000,-0.051730
1776925202.177755,0.300000,-0.052697
1776925202.197587,0.300000,-0.053644
1776925202.217628,0.300000,-0.054594
1776925202.237659,0.300000,-0.055536
1776925202.257665,0.300000,-0.056469
1776925202.277667,0.300000,-0.057392
1776925202.297635,0.300000,-0.058306
1776925202.317664,0.300000,-0.059213
1776925202.337737,0.300000,-0.060112
1776925202.357709,0.300000,-0.060998
1776925202.378040,0.300000,-0.061889
1776925202.397692,0.300000,-0.062739
1776925202.417580,0.300000,-0.063590
1776925202.437650,0.300000,-0.064437
1776925202.457573,0.300000,-0.065267
1776925202.477583,0.300000,-0.066089
1776925202.497643,0.300000,-0.066901
1776925202.517637,0.300000,-0.067698
1776925202.537703,0.300000,-0.068485
1776925202.557623,0.300000,-0.069253
1776925202.577719,0.300000,-0.070014
1776925202.597669,0.300000,-0.070757
1776925202.617681,0.300000,-0.071488
1776925202.637661,0.300000,-0.072203
1776925202.657686,0.300000,-0.072906
1776925202.677643,0.300000,-0.073591
1776925202.697657,0.300000,-0.074263
1776925202.717635,0.300000,-0.074918
1776925202.737700,0.300000,-0.075561
1776925202.757707,0.300000,-0.076185
1776925202.777740,0.300000,-0.076793
1776925202.797611,0.300000,-0.077380
1776925202.817710,0.300000,-0.077956
1776925202.837654,0.300000,-0.078510
1776925202.857731,0.300000,-0.073122
1776925202.877558,0.300000,-0.073643
1776925202.897629,0.300000,-0.074156
1776925202.917573,0.300000,-0.074652
1776925202.937629,0.300000,-0.075137
1776925202.957632,0.300000,-0.075608
1776925202.977705,0.300000,-0.076066
1776925202.998018,0.300000,-0.076516
1776925203.017673,0.300000,-0.076937
1776925203.037633,0.300000,-0.077352
1776925203.057683,0.300000,-0.077755
1776925203.077675,0.300000,-0.078143
1776925203.097650,0.300000,-0.078517
1776925203.117646,0.300000,-0.078878
1776925203.137691,0.300000,-0.079226
1776925203.157774,0.300000,-0.079560
1776925203.177767,0.300000,-0.079880
1776925203.197603,0.300000,-0.080183
1776925203.217709,0.300000,-0.080477
1776925203.237714,0.300000,-0.080756
1776925203.257625,0.300000,-0.081019
1776925203.277642,0.300000,-0.081270
1776925203.297643,0.300000,-0.081507
1776925203.317644,0.300000,-0.081731
1776925203.337630,0.300000,-0.081940
1776925203.357717,0.300000,-0.082137
1776925203.377764,0.300000,-0.082320
1776925203.397629,0.300000,-0.082487
1776925203.417709,0.300000,-0.082642
1776925203.437671,0.300000,-0.082783
1776925203.457599,0.300000,-0.082909
1776925203.477579,0.300000,-0.083022
1776925203.497675,0.300000,-0.083122
1776925203.517635,0.300000,-0.083208
1776925203.537709,0.300000,-0.083280
1776925203.557649,0.300000,-0.083337
1776925203.577603,0.300000,-0.083382
1776925203.597618,0.300000,-0.083412
1776925203.617653,0.300000,-0.083428
1776925203.638008,0.300000,-0.083431
1776925203.658328,0.300000,-0.086905
1776925203.677607,0.300000,-0.086878
1776925203.697840,0.300000,-0.086833
1776925203.717619,0.300000,-0.086773
1776925203.737611,0.300000,-0.086696
1776925203.757655,0.300000,-0.086603
1776925203.777631,0.300000,-0.086495
1776925203.797570,0.300000,-0.086371
1776925203.817602,0.300000,-0.086231
1776925203.837587,0.300000,-0.086077
1776925203.857657,0.300000,-0.085907
1776925203.877660,0.300000,-0.085724
1776925203.897693,0.300000,-0.085525
1776925203.917802,0.300000,-0.085312
1776925203.937727,0.300000,-0.085088
1776925203.957748,0.300000,-0.084848
1776925203.977663,0.300000,-0.084597
1776925203.997646,0.300000,-0.084332
1776925204.017712,0.300000,-0.084054
1776925204.037886,0.300000,-0.083761
1776925204.058552,0.300000,-0.083448
1776925204.077724,0.300000,-0.083146
1776925204.097656,0.300000,-0.082821
1776925204.117696,0.300000,-0.082483
1776925204.137655,0.300000,-0.082135
1776925204.157685,0.300000,-0.081775
1776925204.177619,0.300000,-0.081407
1776925204.197681,0.300000,-0.081025
1776925204.217870,0.300000,-0.080631
1776925204.237632,0.300000,-0.080235
1776925204.257627,0.300000,-0.079825
1776925204.277704,0.300000,-0.079404
1776925204.297605,0.300000,-0.078978
1776925204.317598,0.300000,-0.078546
1776925204.337590,0.300000,-0.078100
1776925204.357739,0.300000,-0.077643
1776925204.377620,0.300000,-0.077183
1776925204.397711,0.300000,-0.076711
1776925204.417666,0.300000,-0.076234
1776925204.437718,0.300000,-0.075748
1776925204.457954,0.300000,-0.085561
1776925204.477834,0.300000,-0.085057
1776925204.497778,0.300000,-0.084535
1776925204.517693,0.300000,-0.084000
1776925204.537626,0.300000,-0.083451
1776925204.557638,0.300000,-0.082885
1776925204.577781,0.300000,-0.082302
1776925204.597744,0.300000,-0.081711
1776925204.617814,0.300000,-0.081104
1776925204.637743,0.300000,-0.080490
1776925204.657833,0.300000,-0.079858
1776925204.677712,0.300000,-0.079222
1776925204.697687,0.300000,-0.078572
1776925204.717777,0.300000,-0.077907
1776925204.737860,0.300000,-0.077232
1776925204.757725,0.300000,-0.076555
1776925204.777869,0.300000,-0.075859
1776925204.797684,0.300000,-0.075165
1776925204.817649,0.300000,-0.074458
1776925204.837648,0.300000,-0.073741
1776925204.857645,0.300000,-0.073016
1776925204.877664,0.300000,-0.072283
1776925204.897690,0.300000,-0.071543
1776925204.917681,0.300000,-0.070797
1776925204.937671,0.300000,-0.070046
1776925204.957725,0.300000,-0.069286
1776925204.977596,0.300000,-0.068528
1776925204.997607,0.300000,-0.067760
1776925205.017673,0.300000,-0.066984
1776925205.037718,0.300000,-0.066206
1776925205.057615,0.300000,-0.065429
1776925205.078316,0.300000,-0.064618
1776925205.097623,0.300000,-0.063858
1776925205.117645,0.300000,-0.063068
1776925205.137664,0.300000,-0.062276
1776925205.157690,0.300000,-0.061481
1776925205.177693,0.300000,-0.060687
1776925205.197643,0.300000,-0.059893
1776925205.217653,0.300000,-0.059097
1776925205.237759,0.300000,-0.058297
1776925205.257751,0.300000,-0.070764
1776925205.277625,0.300000,-0.069962
1776925205.297592,0.300000,-0.069146
1776925205.317655,0.300000,-0.068317
1776925205.337709,0.300000,-0.067479
1776925205.357686,0.300000,-0.066636
1776925205.377597,0.300000,-0.065787
1776925205.397625,0.300000,-0.064926
1776925205.417673,0.300000,-0.064056
1776925205.437667,0.300000,-0.063182
1776925205.459106,0.300000,-0.062237
1776925205.477719,0.300000,-0.061412
1776925205.498380,0.300000,-0.060489
1776925205.517631,0.300000,-0.059625
1776925205.538020,0.300000,-0.058705
1776925205.557817,0.300000,-0.057807
1776925205.577817,0.300000,-0.056896
1776925205.597643,0.300000,-0.055989
1776925205.617612,0.300000,-0.055073
1776925205.637654,0.300000,-0.054150
1776925205.657647,0.300000,-0.053228
1776925205.677680,0.300000,-0.052302
1776925205.697682,0.300000,-0.051376
1776925205.717669,0.300000,-0.050450
1776925205.737672,0.300000,-0.049522
1776925205.757682,0.300000,-0.048594
1776925205.777637,0.300000,-0.047669
1776925205.797628,0.300000,-0.046743
1776925205.817641,0.300000,-0.045817
1776925205.837619,0.300000,-0.044894
1776925205.857570,0.300000,-0.043974
1776925205.877674,0.300000,-0.043050
1776925205.897701,0.300000,-0.042132
1776925205.917683,0.300000,-0.041220
1776925205.937742,0.300000,-0.040307
1776925205.957822,0.300000,-0.039398
1776925205.977689,0.300000,-0.038503
1776925205.997646,0.300000,-0.037609
1776925206.018461,0.300000,-0.036673
1776925206.037597,0.300000,-0.035826
1776925206.057786,0.300000,-0.047332
1776925206.077994,0.300000,-0.046439
1776925206.097689,0.300000,-0.045566
1776925206.117706,0.300000,-0.044675
1776925206.137808,0.300000,-0.043778
1776925206.157814,0.300000,-0.042883
1776925206.177807,0.300000,-0.041987
1776925206.197653,0.300000,-0.041096
1776925206.217673,0.300000,-0.040196
1776925206.237659,0.300000,-0.039297
1776925206.257593,0.300000,-0.038400
