time_s,x,y,yaw_rad
1776918457.114240,3.705009,7.875008,-1.570090
1776918457.128852,3.705009,7.875008,-1.570090
1776918457.201824,3.705009,7.875008,-1.570090
1776918457.314829,3.705009,7.875008,-1.570090
1776918457.316062,3.705009,7.875008,-1.570090
1776918457.343201,3.705009,7.875008,-1.570090
1776918458.102989,3.705009,7.875008,-1.570090
1776918458.104017,3.705009,7.875008,-1.570090
1776918458.105140,3.705009,7.875008,-1.570090
1776918458.105993,3.705009,7.875008,-1.570090
1776918458.106782,3.705009,7.875008,-1.570090
1776918458.107556,3.705009,7.875008,-1.570090
1776918458.108266,3.705009,7.875008,-1.570090
1776918458.108981,3.705009,7.875008,-1.570090
1776918458.137046,3.705009,7.875008,-1.570090
1776918458.468479,3.705009,7.875008,-1.570090
1776918458.470351,3.705009,7.875008,-1.570090
1776918458.534135,3.705009,7.875008,-1.570090
1776918459.044959,3.705009,7.875008,-1.570090
1776918459.047091,3.705009,7.875008,-1.570090
1776918459.049055,3.705009,7.875008,-1.570090
1776918459.050912,3.705009,7.875008,-1.570090
1776918459.073657,3.705009,7.875008,-1.570090
1776918459.083871,3.705009,7.875008,-1.570090
1776918459.183491,3.705009,7.875008,-1.570090
1776918459.254086,3.705009,7.875008,-1.570090
1776918459.555420,3.705009,7.875008,-1.570090
1776918459.556874,3.705009,7.875008,-1.570090
1776918459.806137,3.705009,7.875008,-1.570090
1776918460.233341,3.705009,7.875008,-1.570090
1776918460.264474,3.705009,7.875008,-1.570090
1776918460.372227,3.705009,7.875008,-1.570090
1776918460.373144,3.705009,7.875008,-1.570090
1776918460.380293,3.705009,7.875008,-1.570090
1776918460.555524,3.705009,7.875008,-1.570090
1776918460.556874,3.705009,7.875008,-1.570090
1776918460.830671,3.705009,7.875008,-1.570090
1776918461.124293,3.705009,7.875008,-1.570090
1776918461.181076,3.705009,7.875008,-1.570090
1776918461.232549,3.705009,7.875008,-1.570090
1776918461.324588,3.705009,7.875008,-1.570090
1776918461.346436,3.705009,7.875008,-1.570090
1776918461.384831,3.705009,7.875008,-1.570090
1776918461.799515,3.705009,7.875008,-1.570090
1776918462.213729,3.705009,7.875008,-1.570090
1776918462.242328,3.705009,7.875008,-1.570090
1776918462.305545,3.705009,7.875008,-1.570090
1776918464.284612,3.705009,7.875008,-1.570090
1776918464.285989,3.705009,7.875008,-1.570090
1776918464.287313,3.705009,7.875008,-1.570090
1776918466.064723,3.705009,7.875008,-1.570090
1776918466.066522,3.705009,7.875008,-1.570090
1776918466.883448,3.705009,7.875008,-1.570090
1776918467.304594,3.705009,7.875008,-1.570090
1776918467.680274,3.705009,7.875008,-1.570090
1776918467.681975,3.705009,7.875008,-1.570090
1776918467.683633,3.705009,7.875008,-1.570090
1776918469.784572,3.705009,7.875008,-1.570090
1776918471.551364,3.705009,7.875008,-1.570090
1776918471.552552,3.705009,7.875008,-1.570090
1776918472.981255,3.705009,7.875008,-1.570090
1776918473.120938,3.705009,7.875008,-1.570090
1776918473.123255,3.705009,7.875008,-1.570090
1776918473.125112,3.705009,7.875008,-1.570090
1776918473.129562,3.705009,7.875008,-1.570090
1776918474.725411,3.705009,7.875008,-1.570090
1776918474.727221,3.705009,7.875008,-1.570090
