time_s,linear_x,angular_z
1776917242.143746,-0.002157,-0.570212
1776917242.162066,-0.006756,-0.573960
1776917242.182073,-0.011721,-0.577551
1776917242.202566,-0.016742,-0.580693
1776917242.221972,-0.021433,-0.583210
1776917242.241946,-0.026194,-0.585360
1776917242.262019,-0.030907,-0.587109
1776917242.282223,-0.035575,-0.588480
1776917242.301899,-0.040047,-0.589468
1776917242.321946,-0.044525,-0.590152
1776917242.341949,-0.048913,-0.590540
1776917242.361957,-0.053221,-0.590662
1776917242.382537,-0.057566,-0.590541
1776917242.401930,-0.061577,-0.590225
1776917242.421866,-0.065618,-0.589723
1776917242.441944,-0.069600,-0.589064
1776917242.462033,-0.073496,-0.588277
1776917242.482083,-0.077296,-0.587392
1776917242.501898,-0.080964,-0.586446
1776917242.521904,-0.084580,-0.585442
1776917242.541892,-0.088104,-0.584418
1776917242.561973,-0.091555,-0.583391
1776917242.581696,-0.094858,-0.582407
1776917242.601851,-0.098145,-0.581452
1776917242.621957,-0.101337,-0.580573
1776917242.641919,-0.104419,-0.579795
1776917242.661921,-0.107422,-0.579131
1776917242.681892,-0.110337,-0.578606
1776917242.701980,-0.113185,-0.578697
1776917242.721948,-0.115935,-0.579334
1776917242.741922,-0.118606,-0.579996
1776917242.762017,-0.121214,-0.580687
1776917242.781898,-0.123719,-0.581398
1776917242.802414,-0.126226,-0.582161
1776917242.821864,-0.128533,-0.582913
1776917242.841771,-0.130826,-0.583713
1776917242.861940,-0.133081,-0.584557
1776917242.882037,-0.135261,-0.585433
1776917242.901911,-0.137356,-0.587210
1776917242.921911,-0.139403,-0.589719
1776917242.941908,-0.141394,-0.592575
1776917242.961938,-0.143334,-0.595794
1776917242.982306,-0.145254,-0.599445
1776917243.002000,-0.147063,-0.603347
1776917243.021999,-0.148855,-0.607691
1776917243.041851,-0.150594,-0.612392
1776917243.061917,-0.152312,-0.617544
1776917243.082145,-0.154010,-0.623152
1776917243.101987,-0.155644,-0.629061
1776917243.122117,-0.157274,-0.635475
1776917243.141938,-0.158855,-0.642205
1776917243.162270,-0.160455,-0.649540
1776917243.182284,-0.162014,-0.657190
1776917243.201928,-0.163532,-0.665113
1776917243.222047,-0.165076,-0.673653
1776917243.241960,-0.166600,-0.682533
1776917243.261943,-0.168127,-0.691868
1776917243.281974,-0.169661,-0.701651
1776917243.302276,-0.171221,-0.711998
1776917243.322464,-0.172783,-0.722716
1776917243.342070,-0.174314,-0.733529
1776917243.362325,-0.175913,-0.745114
1776917243.382025,-0.177489,-0.756781
1776917243.401994,-0.179113,-0.769002
1776917243.421733,-0.180750,-0.781474
1776917243.442371,-0.182492,-0.794910
1776917243.462213,-0.184204,-0.808206
1776917243.482476,-0.185994,-0.822160
1776917243.502320,-0.187791,-0.836182
1776917243.521940,-0.189613,-0.850385
1776917243.541957,-0.191524,-0.847721
1776917243.561937,-0.193487,-0.841273
1776917243.581920,-0.195508,-0.834582
1776917243.601935,-0.197594,-0.827651
1776917243.621888,-0.199739,-0.820528
1776917243.641892,-0.201958,-0.813185
1776917243.661961,-0.204256,-0.805631
1776917243.683254,-0.206778,-0.797428
1776917243.702132,-0.209087,-0.790007
1776917243.721984,-0.211593,-0.782069
1776917243.742035,-0.214208,-0.773925
1776917243.762796,-0.217008,-0.765377
1776917243.782017,-0.219685,-0.757373
1776917243.802145,-0.222580,-0.748915
1776917243.821905,-0.225515,-0.740551
1776917243.841946,-0.228587,-0.732024
1776917243.862102,-0.231777,-0.723418
1776917243.882001,-0.235027,-0.714909
1776917243.902045,-0.238403,-0.714201
1776917243.921948,-0.241859,-0.718905
1776917243.941942,-0.245438,-0.723719
