time_s,x,y,yaw_rad
1776732870.697282,5.130000,4.375000,3.139853
1776732870.707721,5.130000,4.375000,3.139854
1776732870.709412,5.130000,4.375000,3.139866
1776732870.710603,5.129975,4.375000,3.139861
1776732870.712287,5.130000,4.375000,3.139858
1776732870.713348,5.130000,4.375000,3.139860
1776732871.023368,5.130000,4.375000,3.139856
1776732871.024940,5.130000,4.375000,3.139861
1776732871.026896,5.130000,4.375000,3.139867
1776732871.028566,5.130000,4.375000,3.139868
1776732871.030684,5.130000,4.375000,3.139869
1776732871.032672,5.130000,4.375000,3.139858
1776732871.452265,5.130000,4.375000,3.139860
1776732871.453245,5.130025,4.375000,3.139848
1776732871.454437,5.130000,4.375000,3.139867
1776732871.455184,5.130000,4.375000,3.139871
1776732871.455952,5.130000,4.375000,3.139858
1776732871.456488,5.130000,4.375000,3.139843
1776732871.457122,5.129975,4.375000,3.139852
1776732872.073864,5.130000,4.375000,3.139844
1776732872.076077,5.130000,4.375000,3.139865
1776732872.077943,5.130000,4.375000,3.139861
1776732872.079680,5.130000,4.375000,3.139874
1776732872.081231,5.130000,4.375000,3.139852
1776732872.082553,5.130000,4.375000,3.139865
1776732872.206995,5.130000,4.375000,3.139855
1776732872.208433,5.130000,4.375000,3.139869
1776732872.209873,5.130000,4.375000,3.139865
1776732872.211159,5.130000,4.375000,3.139868
1776732872.213043,5.130000,4.375000,3.139860
1776732872.215150,5.130000,4.375000,3.139879
1776732872.217667,5.130000,4.375000,3.139848
1776732872.222554,5.130000,4.375000,3.139864
1776732872.223997,5.130000,4.375000,3.139856
1776732872.228119,5.130000,4.375000,3.139858
1776732872.314103,5.130000,4.375000,3.139843
1776732872.345311,5.130000,4.375000,3.139872
1776732873.597200,5.130000,4.375000,3.139855
1776732873.937506,5.130000,4.375000,3.139884
1776732874.080093,5.130000,4.375000,3.139888
1776732874.081830,5.130000,4.375000,3.139887
1776732874.083792,5.130000,4.375000,3.139867
1776732874.564572,5.130000,4.375000,3.139863
1776732874.565956,5.130000,4.375000,3.139884
1776732874.567144,5.130000,4.375000,3.139871
1776732874.568226,5.129975,4.375000,3.139868
1776732874.569225,5.130000,4.375000,3.139891
1776732874.570128,5.130000,4.375000,3.139880
1776732874.570984,5.130000,4.375000,3.139865
1776732875.018297,5.130000,4.375000,3.139868
1776732875.353981,5.130000,4.375000,3.139890
1776732875.461067,5.130000,4.375000,3.139856
1776732875.642117,5.130000,4.375000,3.139867
1776732875.643497,5.130000,4.375000,3.139855
1776732875.644756,5.130000,4.375000,3.139858
1776732875.645891,5.130000,4.375000,3.139860
1776732875.646856,5.130000,4.375000,3.139853
1776732875.896221,5.132480,4.375020,-3.129312
1776732875.898389,5.134733,4.375064,-3.114911
1776732876.117762,5.137009,4.375151,-3.091484
1776732876.120069,5.142414,4.375492,-3.057962
1776732876.121562,5.147427,4.375983,-3.022019
1776732876.122803,5.150766,4.376408,-3.008055
1776732876.124000,5.152821,4.376700,-2.993531
1776732876.125179,5.154822,4.377012,-2.980019
1776732876.126364,5.156942,4.377381,-2.958128
1776732876.142004,5.160197,4.378010,-2.943656
1776732876.143593,5.162153,4.378423,-2.922600
1776732876.145176,5.165236,4.379136,-2.906542
1776732876.148250,5.167470,4.379698,-2.883354
1776732876.184777,5.170961,4.380654,-2.865387
1776732876.253720,5.173656,4.381446,-2.845720
