time_s,linear_x,angular_z
1776930429.506249,0.000413,0.318299
1776930429.526844,0.000989,0.337201
1776930429.546809,0.001544,0.355455
1776930429.565960,0.002073,0.372740
1776930429.586038,0.002624,0.390599
1776930429.605897,0.003164,0.408083
1776930429.626078,0.003709,0.425641
1776930429.647348,0.004278,0.443690
1776930429.666010,0.004774,0.459570
1776930429.686019,0.005255,0.464673
1776930429.706928,0.005799,0.482186
1776930429.725855,0.006230,0.476582
1776930429.746629,0.006757,0.493791
1776930429.766159,0.007139,0.484212
1776930429.786451,0.007638,0.500883
1776930429.805900,0.008112,0.516755
1776930429.826179,0.008385,0.482053
1776930429.846395,0.008854,0.498550
1776930429.865960,0.009265,0.470525
1776930429.885849,0.009703,0.486735
1776930429.905891,0.010137,0.503001
1776930429.926022,0.010317,0.459536
1776930429.946932,0.010736,0.476542
1776930429.966360,0.010938,0.450772
1776930429.986433,0.011311,0.467095
1776930430.006094,0.011668,0.483058
1776930430.026167,0.012024,0.499341
1776930430.046233,0.011858,0.448552
1776930430.066073,0.012167,0.464705
1776930430.086222,0.011900,0.437135
1776930430.107146,0.012187,0.454214
1776930430.126208,0.011728,0.428227
1776930430.147144,0.011975,0.445372
1776930430.166639,0.012195,0.461380
1776930430.186713,0.011348,0.414460
1776930430.205945,0.011515,0.430307
1776930430.226866,0.011686,0.447619
1776930430.247525,0.010497,0.416269
1776930430.266208,0.010604,0.431818
1776930430.286225,0.009332,0.390055
1776930430.306017,0.009390,0.406598
1776930430.326028,0.009438,0.423436
1776930430.346031,0.008137,0.402707
1776930430.365921,0.006858,0.377179
1776930430.386471,0.006819,0.394638
1776930430.405845,0.006770,0.411243
1776930430.426444,0.005239,0.378110
1776930430.446021,0.005131,0.395028
1776930430.465836,0.003773,0.377576
1776930430.486408,0.003610,0.395583
1776930430.506734,0.003436,0.413579
1776930430.526090,0.001913,0.375264
1776930430.546153,0.001675,0.393189
1776930430.565927,0.000379,0.374438
1776930430.585789,0.000091,0.392453
1776930430.606672,-0.000225,0.411654
1776930430.626740,-0.001838,0.373371
1776930430.646593,-0.002209,0.391832
1776930430.666279,-0.003517,0.372843
1776930430.686019,-0.003941,0.391520
1776930430.705925,-0.004381,0.410639
1776930430.726223,-0.004843,0.429482
1776930430.746144,-0.006381,0.408095
1776930430.767390,-0.008762,0.365414
1776930430.786817,-0.009326,0.382170
