time_s,x,y,yaw_rad
1776930426.425012,3.135000,1.750000,1.569865
1776930426.462171,3.135000,1.750000,1.569844
1776930426.512465,3.135000,1.750000,1.569881
1776930426.558600,3.135000,1.750000,1.569850
1776930426.705770,3.135000,1.750000,1.569834
1776930426.707904,3.135000,1.750000,1.569839
1776930426.710553,3.135000,1.750000,1.569836
1776930426.758912,3.135000,1.750000,1.569874
1776930426.806649,3.135000,1.750000,1.569847
1776930426.846898,3.135000,1.750000,1.569868
1776930426.913777,3.135000,1.750000,1.569872
1776930426.944852,3.135000,1.750000,1.569815
1776930427.009657,3.135000,1.750000,1.569862
1776930427.050135,3.135000,1.750000,1.569840
1776930427.099686,3.135000,1.750000,1.569847
1776930427.155025,3.135000,1.750000,1.569856
1776930427.201564,3.135000,1.750000,1.569843
1776930427.246380,3.135000,1.750000,1.569834
1776930427.306783,3.135000,1.750000,1.569842
1776930427.349979,3.135000,1.750000,1.569857
1776930427.401405,3.135000,1.750000,1.569869
1776930427.455850,3.135000,1.750000,1.569852
1776930427.503893,3.135000,1.750000,1.569884
1776930427.547763,3.135000,1.750000,1.569874
1776930427.605455,3.135000,1.750000,1.569840
1776930427.649860,3.135000,1.750000,1.569838
1776930427.700853,3.135000,1.750000,1.569870
1776930427.746192,3.135000,1.750000,1.569866
1776930427.800559,3.135000,1.750000,1.569860
1776930427.845363,3.135000,1.750000,1.569840
1776930427.903710,3.135000,1.750000,1.569867
1776930427.947903,3.135000,1.750000,1.569865
1776930428.006903,3.135000,1.750000,1.569871
1776930428.050894,3.135000,1.750000,1.569847
1776930428.100066,3.135000,1.750000,1.569844
1776930428.147537,3.135000,1.750000,1.569850
1776930428.205410,3.135000,1.750000,1.569862
1776930428.248343,3.135000,1.750000,1.569857
1776930428.310553,3.135000,1.750000,1.569862
1776930428.351436,3.135000,1.750000,1.569880
1776930428.399187,3.135000,1.750000,1.569871
1776930428.447856,3.135000,1.750000,1.569860
1776930428.506102,3.135000,1.750000,1.569867
1776930428.547404,3.135000,1.750000,1.569859
1776930428.608724,3.135000,1.750000,1.569840
1776930428.650489,3.135000,1.750000,1.569852
1776930428.699145,3.135000,1.750000,1.569856
1776930428.749842,3.135000,1.750000,1.569863
1776930428.803722,3.135000,1.750000,1.569872
1776930428.847377,3.135000,1.750000,1.569865
1776930428.907919,3.135000,1.750000,1.569860
1776930428.955983,3.135000,1.750000,1.569829
1776930428.998731,3.135000,1.750000,1.569854
1776930429.048452,3.135000,1.750000,1.569864
1776930429.102457,3.135000,1.750000,1.569868
1776930429.148384,3.135000,1.750000,1.569867
1776930429.212320,3.135000,1.750000,1.569839
1776930429.250504,3.135000,1.750000,1.569868
1776930429.298877,3.135000,1.750000,1.569862
1776930429.348531,3.135000,1.750000,1.569850
1776930429.404374,3.135000,1.750000,1.569880
1776930429.448530,3.135000,1.750000,1.569855
1776930429.509528,3.135000,1.750000,1.569862
1776930429.561164,3.135000,1.750000,1.569858
1776930429.599768,3.135000,1.750000,1.569858
1776930429.646352,3.135000,1.750000,1.569522
1776930429.706802,3.135000,1.749924,1.564964
1776930429.750005,3.135001,1.750152,1.561828
1776930429.813064,3.135005,1.750557,1.559746
1776930429.852094,3.135012,1.751139,1.558755
1776930429.901377,3.135027,1.752404,1.559013
1776930429.946804,3.135039,1.753467,1.560281
1776930430.009455,3.135054,1.754885,1.560413
1776930430.054114,3.135076,1.757492,1.564438
1776930430.113065,3.135087,1.759516,1.566368
1776930430.155786,3.135094,1.761845,1.568721
1776930430.201658,3.135106,1.765945,1.567293
1776930430.247365,3.135119,1.769033,1.565359
1776930430.321174,3.135157,1.772475,1.554498
1776930430.355208,3.135274,1.778118,1.545419
1776930430.398980,3.135392,1.782116,1.537333
1776930430.459169,3.135563,1.786364,1.523677
1776930430.505948,3.135920,1.793138,1.512703
1776930430.548886,3.136228,1.798039,1.503445
1776930430.611074,3.136614,1.803112,1.486258
1776930430.654823,3.137348,1.811203,1.474272
1776930430.699374,3.137904,1.816642,1.463696
1776930430.754684,3.138572,1.822425,1.447791
1776930430.803690,3.139731,1.831284,1.433674
1776930430.846179,3.140606,1.837321,1.420140
1776930430.908445,3.141694,1.843991,1.398050
1776930430.946143,3.143500,1.853875,1.382027
1776930431.010301,3.144887,1.860722,1.359900
1776930431.055474,3.147205,1.871226,1.347255
