time_s,linear_x,angular_z
1776928563.466511,-0.000220,-0.217659
1776928563.486241,-0.007742,-0.218007
1776928563.505830,-0.014548,-0.218287
1776928563.525908,-0.020833,-0.218518
1776928563.545918,-0.026398,-0.218702
1776928563.565642,-0.031196,-0.218847
1776928563.585629,-0.035357,-0.218969
1776928563.605684,-0.038820,-0.219077
1776928563.625669,-0.041557,-0.219180
1776928563.645749,-0.043585,-0.219289
1776928563.666105,-0.044898,-0.219419
1776928563.687094,-0.045463,-0.219524
1776928563.705894,-0.045291,-0.219706
1776928563.726100,-0.044387,-0.219949
1776928563.745940,-0.042770,-0.220247
1776928563.766072,-0.040389,-0.220619
1776928563.786483,-0.037106,-0.220815
1776928563.805952,-0.033353,-0.221320
1776928563.825959,-0.028762,-0.221934
1776928563.845871,-0.023451,-0.222653
1776928563.865870,-0.017370,-0.223494
1776928563.885925,-0.010518,-0.224467
1776928563.905958,-0.002357,-0.223006
1776928563.926394,0.006192,-0.222826
1776928563.945957,0.015118,-0.222408
1776928563.966034,0.025034,-0.221819
1776928563.986123,0.035725,-0.221059
1776928564.006180,0.047165,-0.220118
1776928564.026295,0.059409,-0.218984
1776928564.045968,0.072132,-0.217681
1776928564.065977,0.085830,-0.216895
1776928564.086385,0.101961,-0.216810
1776928564.106101,0.117057,-0.216724
1776928564.126299,0.133303,-0.216633
1776928564.146499,0.150341,-0.216540
1776928564.167092,0.168526,-0.216444
1776928564.185869,0.186580,-0.216224
1776928564.205941,0.205870,-0.216095
1776928564.227026,0.226978,-0.215955
1776928564.245963,0.246674,-0.215827
1776928564.266016,0.268293,-0.215689
1776928564.285936,0.293771,0.122584
1776928564.305951,0.300000,0.123464
1776928564.326721,0.300000,0.123749
1776928564.346193,0.300000,0.124016
1776928564.366121,0.300000,0.124288
1776928564.385933,0.300000,0.125200
1776928564.406484,0.300000,0.125571
1776928564.425973,0.300000,0.125927
1776928564.446009,0.300000,0.126296
1776928564.465920,0.300000,0.126666
1776928564.486026,0.300000,0.127042
1776928564.505987,0.300000,0.127417
1776928564.526399,0.300000,0.130090
1776928564.546046,0.300000,0.130666
1776928564.566042,0.300000,0.131256
1776928564.585948,0.300000,0.131846
1776928564.605907,0.300000,0.135365
1776928564.626096,0.300000,0.136175
1776928564.645975,0.300000,0.136971
1776928564.665967,0.300000,0.137766
1776928564.685870,0.300000,0.138549
1776928564.705897,0.300000,0.145591
1776928564.725888,0.300000,0.146672
1776928564.745943,0.300000,0.147727
1776928564.765954,0.300000,0.148746
1776928564.786198,0.300000,0.154177
1776928564.806070,0.300000,0.155267
1776928564.826260,0.300000,0.156311
1776928564.845934,0.300000,0.157259
1776928564.865938,0.300000,0.162193
1776928564.886081,0.300000,0.163100
1776928564.906369,0.300000,0.163907
1776928564.925998,0.300000,0.164576
1776928564.945976,0.300000,0.165138
1776928564.966727,0.300000,0.165584
1776928564.986954,0.300000,0.172325
1776928565.005948,0.300000,0.172493
1776928565.027033,0.300000,0.172492
1776928565.045979,0.300000,0.172317
1776928565.065994,0.300000,0.171944
1776928565.086303,0.300000,0.143478
1776928565.105899,0.300000,0.144346
1776928565.125921,0.300000,0.145228
1776928565.146041,0.300000,0.146108
1776928565.165931,0.300000,0.147324
1776928565.185963,0.300000,0.148195
1776928565.206046,0.300000,0.149065
1776928565.226644,0.300000,0.149953
1776928565.245931,0.300000,0.150782
1776928565.266085,0.300000,0.151645
1776928565.286209,0.300000,0.152506
1776928565.305983,0.300000,0.165079
1776928565.326124,0.300000,0.166079
1776928565.346028,0.300000,0.167065
1776928565.366248,0.300000,0.168066
1776928565.385857,0.300000,0.173187
1776928565.405991,0.300000,0.174234
1776928565.426290,0.300000,0.175291
1776928565.446007,0.300000,0.176320
1776928565.466393,0.300000,0.177386
1776928565.486163,0.300000,0.178423
1776928565.505928,0.300000,0.178185
1776928565.526294,0.300000,0.179249
1776928565.545884,0.300000,0.180278
1776928565.566050,0.300000,0.181345
1776928565.586646,0.300000,0.183768
1776928565.605976,0.300000,0.184822
1776928565.626016,0.300000,0.185925
1776928565.645925,0.300000,0.187030
1776928565.665949,0.300000,0.188153
1776928565.686007,0.300000,0.194764
1776928565.705911,0.300000,0.195973
1776928565.726111,0.300000,0.197214
1776928565.746065,0.300000,0.198455
1776928565.766087,0.300000,0.199717
1776928565.786070,0.300000,0.200992
1776928565.806471,0.300000,0.198205
1776928565.825969,0.300000,0.199431
1776928565.845894,0.300000,0.200703
1776928565.865875,0.300000,0.175509
1776928565.885906,0.300000,0.176154
1776928565.906022,0.300000,0.172341
1776928565.926062,0.300000,0.172961
1776928565.945931,0.300000,0.173584
1776928565.965933,0.300000,0.174219
1776928565.985903,0.300000,0.174863
1776928566.006000,0.300000,0.175522
1776928566.025925,0.300000,0.176187
1776928566.045967,0.300000,0.176869
1776928566.065890,0.300000,0.177561
1776928566.085954,0.300000,0.178273
1776928566.105915,0.300000,0.178997
1776928566.125992,0.300000,0.179743
1776928566.145943,0.300000,0.180502
1776928566.166095,0.300000,0.181287
1776928566.186674,0.300000,0.182111
1776928566.205997,0.300000,0.182905
1776928566.226074,0.300000,0.183751
1776928566.245892,0.300000,0.184610
1776928566.265996,0.300000,0.185505
1776928566.285941,0.300000,0.186418
1776928566.305995,0.300000,0.187362
1776928566.325927,0.300000,0.188328
1776928566.346050,0.300000,0.189331
1776928566.365914,0.300000,0.190350
1776928566.386561,0.300000,0.191440
1776928566.406176,0.300000,0.160828
1776928566.425953,0.300000,0.161600
1776928566.446265,0.300000,0.162419
1776928566.465891,0.300000,0.163237
1776928566.486047,0.300000,0.164103
1776928566.505931,0.300000,0.164986
1776928566.526886,0.300000,0.159998
1776928566.545977,0.300000,0.160825
1776928566.566121,0.300000,0.161726
1776928566.585954,0.300000,0.162641
1776928566.605926,0.300000,0.163592
1776928566.626698,0.300000,0.160130
1776928566.646115,0.300000,0.161049
1776928566.666335,0.300000,0.136347
1776928566.686086,0.300000,0.136939
1776928566.705993,0.300000,0.137541
1776928566.726381,0.300000,0.138163
1776928566.745947,0.300000,0.138765
1776928566.765886,0.300000,0.139384
1776928566.785990,0.300000,0.140013
1776928566.805948,0.300000,0.140643
1776928566.825892,0.300000,0.141278
1776928566.845921,0.300000,0.141920
1776928566.866441,0.300000,0.142584
1776928566.885998,0.300000,0.143222
1776928566.905949,0.300000,0.143878
1776928566.925980,0.300000,0.144542
1776928566.945935,0.300000,0.145208
1776928566.965981,0.300000,0.145883
1776928566.985974,0.300000,0.146562
1776928567.005919,0.300000,0.135150
1776928567.025919,0.300000,0.135710
1776928567.045881,0.300000,0.136274
1776928567.066216,0.300000,0.136854
1776928567.085899,0.300000,0.137420
1776928567.105957,0.300000,0.138002
1776928567.126174,0.300000,0.119014
1776928567.145894,0.300000,0.119370
1776928567.165976,0.300000,0.119737
1776928567.185837,0.300000,0.120104
1776928567.206135,0.300000,0.120484
1776928567.226004,0.300000,0.123699
1776928567.245827,0.300000,0.124112
1776928567.265941,0.300000,0.124535
1776928567.285972,0.300000,0.124960
1776928567.305999,0.300000,0.121516
1776928567.326171,0.300000,0.121905
1776928567.345944,0.300000,0.122291
1776928567.365954,0.300000,0.122684
1776928567.386238,0.300000,0.123088
1776928567.405891,0.300000,0.120436
1776928567.425921,0.300000,0.120804
1776928567.445974,0.300000,0.121176
1776928567.466043,0.300000,0.096613
1776928567.485960,0.300000,0.096928
1776928567.505915,0.300000,0.097246
1776928567.525904,0.300000,0.097568
1776928567.546042,0.300000,0.099830
1776928567.566379,0.300000,0.100184
1776928567.585913,0.300000,0.100527
1776928567.606007,0.300000,0.100881
1776928567.626335,0.300000,0.101242
1776928567.645902,0.300000,0.091729
1776928567.665942,0.300000,0.091973
1776928567.686296,0.300000,0.092223
1776928567.705903,0.300000,0.092465
1776928567.726016,0.300000,0.092715
1776928567.746071,0.300000,0.089567
1776928567.765997,0.300000,0.089779
1776928567.786023,0.300000,0.089993
1776928567.806188,0.300000,0.090210
1776928567.825910,0.300000,0.090424
1776928567.845976,0.300000,0.090642
1776928567.865903,0.300000,0.090859
1776928567.887262,0.300000,0.086404
1776928567.906254,0.300000,0.086562
1776928567.925887,0.300000,0.086726
1776928567.946195,0.300000,0.086896
1776928567.966347,0.300000,0.087066
1776928567.986062,0.300000,0.087232
1776928568.006095,0.300000,0.087402
1776928568.026248,0.300000,0.087572
1776928568.046453,0.300000,0.087744
1776928568.065983,0.300000,0.082857
1776928568.086011,0.300000,0.082969
1776928568.106030,0.300000,0.083082
1776928568.125906,0.300000,0.083193
1776928568.145977,0.300000,0.083305
1776928568.165962,0.300000,0.081007
1776928568.185882,0.300000,0.081089
1776928568.206062,0.300000,0.081172
1776928568.225890,0.300000,0.081253
1776928568.245980,0.300000,0.061847
1776928568.266423,0.300000,0.061917
1776928568.285998,0.300000,0.061984
1776928568.305895,0.300000,0.065891
1776928568.326411,0.300000,0.066007
1776928568.345904,0.300000,0.066118
1776928568.365945,0.300000,0.066233
1776928568.386481,0.300000,0.066350
1776928568.405942,0.300000,0.066462
1776928568.425963,0.300000,0.057063
1776928568.445910,0.300000,0.057070
1776928568.466146,0.300000,0.057077
1776928568.485977,0.300000,0.057084
1776928568.505980,0.300000,0.057091
1776928568.525919,0.300000,0.057098
1776928568.546269,0.300000,0.057105
1776928568.565902,0.300000,0.057112
1776928568.585817,0.300000,0.053802
1776928568.606117,0.300000,0.053771
1776928568.625991,0.300000,0.053740
1776928568.646128,0.300000,0.053708
1776928568.666340,0.300000,0.051540
1776928568.685932,0.300000,0.051484
1776928568.705941,0.300000,0.051426
1776928568.726147,0.300000,0.051368
1776928568.745955,0.300000,0.051309
1776928568.765955,0.300000,0.051249
1776928568.785930,0.300000,0.051189
1776928568.805927,0.300000,0.048449
1776928568.825891,0.300000,0.048356
1776928568.845893,0.300000,0.048262
1776928568.865979,0.300000,0.048167
1776928568.885931,0.300000,0.048071
1776928568.905936,0.300000,0.046642
1776928568.926630,0.300000,0.046524
1776928568.946002,0.300000,0.046413
1776928568.965994,0.300000,0.046296
1776928568.986025,0.300000,0.046178
1776928569.005949,0.300000,0.046058
1776928569.025929,0.300000,0.043615
1776928569.046020,0.300000,0.032576
1776928569.065953,0.300000,0.032423
1776928569.086313,0.300000,0.032266
1776928569.106214,0.300000,0.030712
1776928569.126019,0.300000,0.030542
1776928569.145917,0.300000,0.030370
1776928569.165898,0.300000,0.030197
1776928569.186152,0.300000,0.030020
1776928569.205966,0.300000,0.028956
1776928569.225922,0.300000,0.028770
1776928569.245872,0.300000,0.028583
1776928569.266289,0.300000,0.028391
1776928569.285920,0.300000,0.028205
1776928569.305928,0.300000,0.028014
1776928569.326146,0.300000,0.027821
1776928569.345942,0.300000,0.027630
1776928569.366110,0.300000,0.027435
1776928569.385887,0.300000,0.027243
1776928569.405976,0.300000,0.027046
1776928569.425901,0.300000,0.026850
1776928569.446018,0.300000,0.026650
1776928569.466574,0.300000,0.026445
1776928569.486171,0.300000,0.026248
1776928569.506133,0.300000,0.026047
1776928569.526556,0.300000,0.025839
1776928569.545963,0.300000,0.025641
1776928569.565943,0.300000,0.025435
1776928569.586096,-0.300000,-1.861615
1776928569.606038,-0.300000,-1.861511
1776928569.625964,-0.300000,-1.861408
1776928569.645801,-0.300000,-1.861306
1776928569.666002,0.300000,-0.052706
