time_s,x,y,yaw_rad
1776928520.455668,2.565000,7.875000,-1.570000
1776928520.558583,2.565000,7.875000,-1.570000
1776928520.657774,2.565000,7.875000,-1.570000
1776928520.757350,2.565000,7.875000,-1.570000
1776928520.857038,2.565000,7.875000,-1.570000
1776928520.956549,2.565000,7.875000,-1.570000
1776928521.058120,2.565000,7.875000,-1.570000
1776928521.159705,2.565000,7.875000,-1.570000
1776928521.256492,2.565000,7.875000,-1.570000
1776928521.356946,2.565000,7.875000,-1.570000
1776928521.459246,2.565000,7.875000,-1.570000
1776928521.557693,2.565000,7.875000,-1.570000
1776928521.657811,2.565000,7.875000,-1.570000
1776928521.758335,2.565000,7.875000,-1.570000
1776928521.856467,2.565000,7.875000,-1.570000
1776928521.982112,2.565000,7.875000,-1.570000
1776928522.056382,2.565000,7.875000,-1.570000
1776928522.160985,2.565000,7.875000,-1.570000
1776928522.255191,2.565000,7.875000,-1.570000
1776928522.357911,2.565000,7.875000,-1.570000
1776928522.455412,2.565000,7.875000,-1.570000
1776928522.556904,2.565000,7.875000,-1.570000
1776928522.657943,2.565000,7.875000,-1.570000
1776928522.756680,2.565000,7.875000,-1.570000
1776928522.859318,2.565000,7.875000,-1.570000
1776928522.956870,2.565000,7.875000,-1.570000
1776928523.057850,2.565000,7.875000,-1.570000
1776928523.157256,2.565000,7.875000,-1.570000
1776928523.256821,2.565000,7.875000,-1.570000
1776928523.360087,2.565000,7.875000,-1.570000
1776928523.456868,2.565000,7.875000,-1.570000
1776928523.557757,2.565000,7.875000,-1.570000
1776928523.657497,2.565000,7.875000,-1.570000
1776928523.758874,2.565000,7.875000,-1.570000
1776928523.856181,2.565000,7.875000,-1.570000
1776928523.983806,2.565000,7.875000,-1.570000
1776928524.057268,2.565000,7.875000,-1.570000
1776928524.160235,2.565000,7.875000,-1.570000
1776928524.259365,2.565000,7.875000,-1.570000
1776928524.391282,2.565000,7.875000,-1.570000
1776928524.466000,2.565000,7.875000,-1.570000
1776928524.559299,2.565000,7.875000,-1.570000
1776928524.660832,2.565000,7.875000,-1.570000
1776928524.757220,2.565000,7.875000,-1.570000
1776928524.855544,2.565000,7.875000,-1.570000
1776928524.957890,2.565000,7.875000,-1.570000
1776928525.057891,2.565000,7.875000,-1.570000
1776928525.158928,2.565000,7.875000,-1.570000
1776928525.257612,2.565000,7.875000,-1.570000
1776928525.357148,2.565000,7.875000,-1.570000
1776928525.456517,2.565000,7.875000,-1.570000
1776928525.557350,2.565000,7.875000,-1.570000
1776928525.655844,2.565000,7.875000,-1.570000
1776928525.756557,2.565000,7.875000,-1.570000
1776928525.854521,2.565000,7.875000,-1.570000
1776928525.980454,2.565000,7.875000,-1.570000
1776928526.057743,2.565000,7.875000,-1.570000
1776928526.156803,2.565000,7.875000,-1.570000
1776928526.258032,2.565000,7.875000,-1.570000
1776928526.356781,2.565000,7.875000,-1.570000
1776928526.456759,2.565000,7.875000,-1.570000
1776928526.557950,2.565000,7.875000,-1.570000
1776928526.659364,2.565000,7.875000,-1.570000
1776928526.757075,2.565000,7.875000,-1.570000
1776928526.857628,2.565000,7.875000,-1.570000
1776928526.959361,2.565000,7.875000,-1.570000
1776928527.059605,2.565000,7.875000,-1.570000
1776928527.157212,2.565000,7.875000,-1.570000
1776928527.256827,2.565000,7.875000,-1.570000
1776928527.359855,2.565000,7.875000,-1.570000
1776928527.457232,2.565000,7.875000,-1.570000
1776928527.557177,2.565000,7.875000,-1.570000
1776928527.655309,2.565000,7.875000,-1.570000
1776928527.756674,2.565000,7.875000,-1.570000
1776928527.857442,2.565000,7.875000,-1.570000
1776928527.985201,2.565000,7.875000,-1.570000
1776928528.057872,2.565000,7.875000,-1.570000
1776928528.159359,2.565000,7.875000,-1.570000
1776928528.255807,2.565000,7.875000,-1.570000
1776928528.357653,2.565000,7.875000,-1.570000
1776928528.456267,2.565000,7.875000,-1.570000
1776928528.556806,2.565000,7.875000,-1.570000
1776928528.690459,2.565000,7.875000,-1.570000
1776928528.757978,2.565000,7.875000,-1.570000
1776928528.855874,2.565000,7.875000,-1.570000
1776928528.958059,2.565000,7.875000,-1.570000
1776928529.055890,2.565000,7.875000,-1.570000
1776928529.157232,2.565000,7.875000,-1.570000
1776928529.259453,2.565000,7.875000,-1.570000
1776928529.357861,2.565000,7.875000,-1.570000
1776928529.456917,2.565000,7.875000,-1.570000
1776928529.556901,2.565000,7.875000,-1.570000
1776928529.656467,2.565000,7.875000,-1.570000
1776928529.756876,2.565000,7.875000,-1.570000
1776928529.857419,2.565000,7.875000,-1.570000
1776928529.979982,2.565000,7.875000,-1.570000
1776928530.056583,2.565000,7.875000,-1.570000
1776928530.159864,2.565000,7.875000,-1.570000
1776928530.256277,2.565000,7.875000,-1.570000
1776928530.356605,2.565000,7.875000,-1.570000
1776928530.457172,2.565000,7.875000,-1.570000
1776928530.557071,2.565000,7.875000,-1.570000
1776928530.658249,2.565000,7.875000,-1.570000
1776928530.756739,2.565000,7.875000,-1.570000
1776928530.857690,2.565000,7.875000,-1.570000
1776928530.958253,2.565000,7.875000,-1.570000
1776928531.056673,2.565000,7.875000,-1.570000
1776928531.157774,2.565000,7.875000,-1.570000
1776928531.256527,2.565000,7.875000,-1.570000
1776928531.355919,2.565000,7.875000,-1.570000
1776928531.458356,2.565000,7.875000,-1.570000
1776928531.557673,2.565000,7.875000,-1.570000
1776928531.664770,2.565000,7.875000,-1.570000
1776928531.756355,2.565000,7.875000,-1.570000
1776928531.857206,2.565000,7.875000,-1.570000
1776928531.985792,2.565000,7.875000,-1.570000
1776928532.059083,2.565000,7.875000,-1.570000
1776928532.158440,2.565000,7.875000,-1.570000
1776928532.254684,2.565000,7.875000,-1.570000
1776928532.359770,2.565000,7.875000,-1.570000
1776928532.457354,2.565000,7.875000,-1.570000
1776928532.556253,2.565000,7.875000,-1.570000
1776928532.655045,2.565000,7.875000,-1.570000
1776928532.756613,2.565000,7.875000,-1.570000
1776928532.857486,2.565000,7.875000,-1.570000
1776928532.958413,2.565000,7.875000,-1.570000
1776928533.056929,2.565000,7.875000,-1.570000
1776928533.155672,2.565000,7.875000,-1.570000
1776928533.256695,2.565000,7.875000,-1.570000
1776928533.357007,2.565000,7.875000,-1.570000
1776928533.456878,2.565000,7.875000,-1.570000
1776928533.557799,2.565000,7.875000,-1.570000
1776928533.656742,2.565000,7.875000,-1.570000
1776928533.757138,2.565000,7.875000,-1.570000
1776928533.857958,2.565000,7.875000,-1.570000
1776928534.029192,2.565000,7.875000,-1.570000
1776928534.064908,2.565000,7.875000,-1.570000
1776928534.154549,2.565000,7.875000,-1.570000
1776928534.257566,2.565000,7.875000,-1.570000
1776928534.356403,2.565000,7.875000,-1.570000
1776928534.457330,2.565000,7.875000,-1.570000
1776928534.555994,2.565000,7.875000,-1.570000
1776928534.657331,2.565000,7.875000,-1.570000
1776928534.756790,2.565000,7.875000,-1.570000
1776928534.855881,2.565000,7.875000,-1.570000
1776928534.956579,2.565000,7.875000,-1.570000
1776928535.059238,2.565000,7.875000,-1.570000
1776928535.156557,2.565000,7.875000,-1.570000
1776928535.256148,2.565000,7.875000,-1.570000
1776928535.355349,2.565000,7.875000,-1.570000
1776928535.458418,2.565000,7.875000,-1.570000
1776928535.557158,2.565000,7.875000,-1.570000
1776928535.655508,2.565000,7.875000,-1.570000
1776928535.759538,2.565000,7.875000,-1.570000
1776928535.857628,2.565000,7.875000,-1.570000
1776928535.979843,2.565000,7.875000,-1.570000
1776928536.060737,2.565000,7.875000,-1.570000
1776928536.159607,2.565000,7.875000,-1.570000
1776928536.257961,2.565000,7.875000,-1.570000
1776928536.357466,2.565000,7.875000,-1.570000
1776928536.456830,2.565000,7.875000,-1.570000
1776928536.559783,2.565000,7.875000,-1.570000
1776928536.657467,2.565000,7.875000,-1.570000
1776928536.758177,2.565000,7.875000,-1.570000
1776928536.857770,2.565000,7.875000,-1.570000
1776928536.955834,2.565000,7.875000,-1.570000
1776928537.059797,2.565000,7.875000,-1.570000
1776928537.161272,2.565000,7.875000,-1.570000
1776928537.256344,2.565000,7.875000,-1.570000
1776928537.357479,2.565000,7.875000,-1.570000
1776928537.459766,2.565000,7.875000,-1.570000
1776928537.557537,2.565000,7.875000,-1.570000
1776928537.655933,2.565000,7.875000,-1.570000
1776928537.756096,2.565000,7.875000,-1.570000
1776928537.857557,2.565000,7.875000,-1.570000
1776928537.982803,2.565000,7.875000,-1.570000
1776928538.055937,2.565000,7.875000,-1.570000
1776928538.159276,2.565000,7.875000,-1.570000
1776928538.259004,2.565000,7.875000,-1.570000
1776928538.355379,2.565000,7.875000,-1.570000
1776928538.457031,2.565000,7.875000,-1.570000
1776928538.558123,2.565000,7.875000,-1.570000
1776928538.656070,2.565000,7.875000,-1.570000
1776928538.758207,2.565000,7.875000,-1.570000
1776928538.856227,2.565000,7.875000,-1.570000
1776928538.957901,2.565000,7.875000,-1.570000
1776928539.059425,2.565000,7.875000,-1.570000
1776928539.156913,2.565000,7.875000,-1.570000
1776928539.254950,2.565000,7.875000,-1.570000
1776928539.355839,2.565000,7.875000,-1.570000
1776928539.456065,2.565000,7.875000,-1.570000
1776928539.556200,2.565000,7.875000,-1.570000
1776928539.655918,2.565000,7.875000,-1.570000
1776928539.756059,2.565000,7.875000,-1.570000
1776928539.855873,2.565000,7.875000,-1.570000
1776928540.026355,2.565000,7.875000,-1.570000
1776928540.062076,2.565000,7.875000,-1.570000
1776928540.157518,2.565000,7.875000,-1.570000
1776928540.256749,2.565000,7.875000,-1.570000
1776928540.358269,2.565000,7.875000,-1.570000
1776928540.456519,2.565000,7.875000,-1.570000
1776928540.555865,2.565000,7.875000,-1.570000
1776928540.659601,2.565000,7.875000,-1.570000
1776928540.755895,2.565000,7.875000,-1.570000
1776928540.855239,2.565000,7.875000,-1.570000
1776928540.956939,2.565000,7.875000,-1.570000
1776928541.059332,2.565000,7.875000,-1.570000
1776928541.156725,2.565000,7.875000,-1.570000
1776928541.257512,2.565000,7.875000,-1.570000
1776928541.359658,2.565000,7.875000,-1.570000
1776928541.467887,2.565000,7.875000,-1.570000
1776928541.556324,2.565000,7.875000,-1.570000
1776928541.658499,2.565000,7.875000,-1.570000
1776928541.761255,2.565000,7.875000,-1.570000
1776928541.857846,2.565000,7.875000,-1.570000
1776928541.983272,2.565000,7.875000,-1.570000
1776928542.060646,2.565000,7.875000,-1.570000
1776928542.162059,2.565000,7.875000,-1.570000
1776928542.260086,2.565000,7.875000,-1.570000
1776928542.357719,2.565000,7.875000,-1.570000
1776928542.458672,2.565000,7.875000,-1.570000
1776928542.557675,2.565000,7.875000,-1.570000
1776928542.657810,2.565000,7.875000,-1.570000
1776928542.758490,2.565000,7.875000,-1.570000
1776928542.858231,2.565000,7.875000,-1.570000
1776928542.957993,2.565000,7.875000,-1.570000
1776928543.056526,2.565000,7.875000,-1.570000
1776928543.156860,2.565000,7.875000,-1.570000
1776928543.257889,2.565000,7.875000,-1.570000
1776928543.356934,2.565000,7.875000,-1.570000
1776928543.454100,2.565000,7.875000,-1.570000
1776928543.557105,2.565000,7.875000,-1.570000
1776928543.656763,2.565000,7.875000,-1.570000
1776928543.759224,2.565000,7.875000,-1.570000
1776928543.857602,2.565000,7.875000,-1.570000
1776928543.982176,2.565000,7.875000,-1.570000
1776928544.055744,2.565000,7.875000,-1.570000
1776928544.159680,2.565000,7.875000,-1.570000
1776928544.258453,2.565000,7.875000,-1.570000
1776928544.357511,2.565000,7.875000,-1.570000
1776928544.456245,2.565000,7.875000,-1.570000
