time_s,linear_x,angular_z
1776930429.512256,0.031662,0.069306
1776930429.530841,0.059871,0.069273
1776930429.551034,0.090191,0.069022
1776930429.571117,0.119973,0.069076
1776930429.590942,0.149011,0.069149
1776930429.610780,0.177605,0.069242
1776930429.631016,0.206045,0.069368
1776930429.650842,0.233660,0.069509
1776930429.670959,0.260000,0.069677
1776930429.690950,0.260000,0.069912
1776930429.710880,0.260000,0.070136
1776930429.730885,0.260000,0.070573
1776930429.751474,0.260000,0.070893
1776930429.770850,0.260000,0.071517
1776930429.790888,0.260000,0.071935
1776930429.812073,0.260000,0.072405
1776930429.830824,0.260000,0.073035
1776930429.851232,0.260000,0.073563
1776930429.870946,0.260000,0.074091
1776930429.890867,0.260000,0.074718
1776930429.910809,0.260000,0.075289
1776930429.930714,0.260000,0.075937
1776930429.950871,0.260000,0.076535
1776930429.970799,0.260000,0.077215
1776930429.990932,0.260000,0.077817
1776930430.011610,0.260000,0.078519
1776930430.032360,0.260000,0.079125
1776930430.050984,0.260000,0.079652
1776930430.070835,0.260000,0.080191
1776930430.090852,0.260000,0.080827
1776930430.111121,0.260000,0.081325
1776930430.131089,0.260000,0.081823
1776930430.150881,0.260000,0.082234
1776930430.170819,0.260000,0.082629
1776930430.191018,0.260000,0.082953
1776930430.210886,0.260000,0.083218
1776930430.230901,0.260000,0.083452
1776930430.251237,0.260000,0.083604
1776930430.271341,0.260000,0.083688
1776930430.290840,0.260000,0.083862
1776930430.311763,0.260000,-0.035274
1776930430.330888,0.260000,-0.034918
1776930430.350946,0.260000,-0.034542
1776930430.370950,0.260000,-0.034164
1776930430.390914,0.260000,-0.033784
1776930430.410881,0.260000,-0.033403
1776930430.430777,0.260000,-0.032244
1776930430.450837,0.260000,-0.031822
1776930430.470921,0.260000,-0.031399
1776930430.490912,0.260000,-0.030977
1776930430.510889,0.260000,-0.030555
1776930430.530799,0.260000,-0.030135
1776930430.551125,0.260000,-0.029706
1776930430.570881,0.260000,-0.029290
1776930430.590912,0.260000,-0.028419
1776930430.611175,0.260000,-0.027977
1776930430.630915,0.260000,-0.027507
1776930430.650991,0.260000,-0.027071
1776930430.670818,0.260000,-0.026643
1776930430.690850,0.260000,-0.026146
1776930430.710892,0.260000,-0.025717
1776930430.731580,0.260000,-0.025289
1776930430.750820,0.260000,-0.024885
1776930430.770853,0.260000,-0.024417
1776930430.790916,0.260000,-0.024002
1776930430.810850,0.260000,-0.023595
1776930430.831099,0.260000,-0.023239
1776930430.850974,0.260000,-0.022846
1776930430.871209,0.260000,-0.022451
1776930430.891040,0.260000,-0.022016
1776930430.911091,0.260000,-0.021636
1776930430.930872,0.260000,-0.021247
1776930430.950911,0.260000,-0.020881
1776930430.971019,0.260000,-0.020522
1776930430.990893,0.260000,-0.020270
1776930431.011007,0.260000,-0.019931
1776930431.031077,0.260000,-0.019641
1776930431.050853,0.260000,-0.019327
1776930431.070888,0.260000,-0.019017
1776930431.091819,0.260000,-0.018741
1776930431.111120,0.260000,-0.018271
1776930431.130884,0.260000,-0.017997
1776930431.151022,0.260000,-0.017724
1776930431.170875,0.260000,-0.017463
1776930431.190966,0.260000,-0.017256
1776930431.210786,0.260000,-0.017010
1776930431.230857,0.260000,-0.016767
1776930431.250817,0.260000,-0.016727
1776930431.270885,0.260000,-0.016504
1776930431.290855,0.260000,-0.016460
1776930431.310866,0.260000,-0.016255
1776930431.330843,0.260000,-0.016321
1776930431.350878,0.260000,-0.016138
1776930431.370844,0.260000,-0.015961
1776930431.390895,0.260000,-0.016004
1776930431.410915,0.260000,-0.015845
1776930431.430860,0.260000,-0.015927
1776930431.451508,0.260000,-0.015782
1776930431.470843,0.260000,-0.015651
1776930431.490891,0.260000,-0.015922
1776930431.511066,0.260000,-0.015809
1776930431.530839,0.260000,-0.015933
1776930431.551201,0.260000,-0.015836
1776930431.571150,0.260000,-0.016035
1776930431.591187,0.260000,-0.015958
1776930431.610923,0.260000,-0.015887
1776930431.630883,0.260000,-0.015927
1776930431.651634,0.260000,-0.015865
1776930431.670914,0.260000,-0.015811
1776930431.690841,0.260000,-0.016063
1776930431.710836,0.260000,-0.016024
1776930431.730845,0.260000,-0.016135
1776930431.751039,0.260000,-0.016107
1776930431.770870,0.260000,-0.016084
1776930431.790869,0.260000,-0.016197
1776930431.810865,0.260000,-0.016184
1776930431.830858,0.260000,-0.016569
1776930431.850978,0.260000,-0.016574
1776930431.871350,0.260000,-0.016791
1776930431.890849,0.260000,0.000253
1776930431.911822,0.260000,-0.000016
1776930431.930844,0.260000,-0.000049
1776930431.951196,0.260000,-0.000091
1776930431.971235,0.260000,-0.000138
1776930431.990821,0.260000,-0.000353
1776930432.010855,0.260000,-0.000416
1776930432.030823,0.260000,-0.000672
1776930432.050890,0.260000,-0.000750
1776930432.070670,0.260000,-0.001052
1776930432.091312,0.260000,-0.001150
1776930432.110683,0.260000,-0.001440
1776930432.130831,0.260000,-0.001550
1776930432.151186,0.260000,-0.001666
1776930432.170865,0.260000,-0.001782
1776930432.190832,0.260000,-0.002255
1776930432.211560,0.260000,-0.002394
1776930432.230916,0.260000,-0.002665
1776930432.251504,0.260000,-0.002815
1776930432.270758,0.260000,-0.003218
1776930432.290888,0.260000,-0.003378
1776930432.311301,0.260000,-0.003543
1776930432.330807,0.260000,-0.003977
1776930432.350943,0.260000,-0.004153
1776930432.371320,0.260000,-0.004334
1776930432.390821,0.260000,-0.004906
1776930432.411263,0.260000,-0.005360
1776930432.430790,0.260000,-0.005555
1776930432.450930,0.260000,-0.005758
1776930432.470808,0.260000,-0.006036
1776930432.490879,0.260000,-0.006244
1776930432.510926,0.260000,-0.006453
1776930432.530842,0.260000,-0.007057
1776930432.551166,0.260000,-0.007280
1776930432.572075,0.260000,-0.007673
1776930432.590850,0.260000,-0.007885
1776930432.611793,0.260000,-0.008337
1776930432.630888,0.260000,-0.008558
1776930432.650872,0.260000,-0.008789
1776930432.670811,0.260000,-0.009020
1776930432.690841,0.260000,0.013126
1776930432.710767,0.260000,0.012884
1776930432.730908,0.260000,0.012402
1776930432.751207,0.260000,0.012142
1776930432.771392,0.260000,0.011626
1776930432.790954,0.260000,0.011363
1776930432.811509,0.260000,0.010955
1776930432.830868,0.260000,0.010686
1776930432.851277,0.260000,0.010398
1776930432.870817,0.260000,0.010120
1776930432.890898,0.260000,0.009740
1776930432.910861,0.260000,0.009449
1776930432.930851,0.260000,0.008865
1776930432.951504,0.260000,0.008552
1776930432.970786,0.260000,0.008128
1776930432.990864,0.260000,0.007818
1776930433.011492,0.260000,0.007160
1776930433.030799,0.260000,0.006852
1776930433.050954,0.260000,0.006529
1776930433.070890,0.260000,0.006209
1776930433.091055,0.260000,0.005597
1776930433.111471,0.260000,0.005261
1776930433.130930,0.260000,0.004700
1776930433.151198,0.260000,0.004361
1776930433.170806,0.260000,0.003682
1776930433.191007,0.260000,0.003337
1776930433.212037,0.260000,0.002734
1776930433.230891,0.260000,0.002408
1776930433.251077,0.260000,0.002059
1776930433.270840,0.260000,0.001718
1776930433.290823,0.260000,0.000824
1776930433.310860,0.260000,0.000469
1776930433.330846,0.260000,-0.000013
1776930433.351075,0.260000,-0.000370
1776930433.370828,0.260000,-0.000829
1776930433.390908,0.260000,-0.001183
1776930433.410998,0.260000,-0.001535
1776930433.430954,0.260000,-0.002012
1776930433.451185,0.260000,-0.002364
1776930433.471444,0.260000,-0.002590
1776930433.490891,0.260000,0.019125
1776930433.510840,0.260000,0.018782
1776930433.530962,0.260000,0.018528
1776930433.550987,0.260000,0.018183
1776930433.570925,0.260000,0.017973
1776930433.590825,0.260000,0.017631
1776930433.610824,0.260000,0.017287
1776930433.630879,0.260000,0.017076
1776930433.650840,0.260000,0.016734
1776930433.671107,0.260000,0.016462
1776930433.691087,0.260000,0.016120
1776930433.712035,0.260000,0.015761
1776930433.730865,0.260000,0.015667
1776930433.751336,0.260000,0.015321
1776930433.770940,0.260000,0.014991
1776930433.790880,0.260000,0.014876
1776930433.810830,0.260000,0.014545
1776930433.830897,0.260000,0.014379
1776930433.850954,0.260000,0.014050
1776930433.870857,0.260000,0.013726
1776930433.891009,0.260000,0.013483
1776930433.910877,0.260000,0.013163
1776930433.930894,0.260000,0.012994
1776930433.951110,0.260000,0.012674
1776930433.970837,0.260000,0.012565
1776930433.990868,0.260000,0.012256
1776930434.010944,0.260000,0.012078
1776930434.030869,0.260000,0.011777
1776930434.051460,0.260000,0.011468
1776930434.070946,0.260000,0.011371
1776930434.090918,0.260000,0.011081
1776930434.111245,0.260000,0.010824
1776930434.130870,0.260000,0.010545
1776930434.151040,0.260000,0.010261
1776930434.171017,0.260000,0.009984
1776930434.191362,0.260000,0.009851
1776930434.210862,0.260000,0.009589
1776930434.230912,0.260000,0.009355
1776930434.250842,0.260000,0.009096
1776930434.271021,0.260000,0.024247
1776930434.290879,0.260000,0.023994
1776930434.310795,0.260000,0.023741
1776930434.330867,0.260000,0.023142
1776930434.351142,0.260000,0.022882
1776930434.370910,0.260000,0.022630
1776930434.390890,0.260000,0.022082
1776930434.410819,0.260000,0.021826
1776930434.430814,0.260000,0.021329
1776930434.450925,0.260000,0.021071
1776930434.470879,0.260000,0.020817
1776930434.490863,0.260000,0.020476
1776930434.510851,0.260000,0.020224
1776930434.530959,0.260000,0.019539
1776930434.550970,0.260000,0.019284
1776930434.570708,0.260000,0.018935
1776930434.591069,0.260000,0.018680
1776930434.610970,0.260000,0.018344
1776930434.630866,0.260000,0.018098
1776930434.650971,0.260000,0.017852
1776930434.670851,0.260000,0.017612
1776930434.690910,0.260000,0.016968
1776930434.711005,0.260000,0.016585
1776930434.730889,0.260000,0.016345
