time_s,x,y,yaw_rad
1776928814.162707,3.705000,7.875000,-1.570078
1776928814.199357,3.705000,7.875025,-1.570083
1776928814.244953,3.705000,7.875000,-1.570085
1776928814.294209,3.705000,7.875000,-1.570077
1776928814.353359,3.705000,7.875000,-1.570086
1776928814.435151,3.705000,7.875025,-1.570072
1776928814.474661,3.705000,7.875000,-1.570070
1776928814.503941,3.705000,7.875025,-1.570076
1776928814.544583,3.705000,7.875000,-1.570071
1776928814.593615,3.705000,7.875000,-1.570073
1776928814.660033,3.705000,7.875000,-1.570081
1776928814.694525,3.705000,7.875025,-1.570078
1776928814.758318,3.705000,7.875000,-1.570072
1776928814.799245,3.705000,7.875025,-1.570072
1776928814.846603,3.705000,7.875000,-1.570077
1776928814.894810,3.705000,7.875025,-1.570077
1776928814.948345,3.705000,7.875025,-1.570082
1776928814.993009,3.705000,7.875000,-1.570082
1776928815.070212,3.705000,7.875000,-1.570082
1776928815.097089,3.705000,7.875000,-1.570081
1776928815.145490,3.705000,7.875000,-1.570084
1776928815.202892,3.705000,7.875000,-1.570086
1776928815.247440,3.705000,7.875025,-1.570075
1776928815.294008,3.705000,7.875000,-1.570074
1776928815.354204,3.705000,7.875000,-1.570087
1776928815.398263,3.705000,7.875025,-1.570088
1776928815.444341,3.705000,7.875000,-1.570086
1776928815.498285,3.705000,7.875025,-1.570087
1776928815.546295,3.705000,7.875000,-1.570083
1776928815.594171,3.705000,7.875000,-1.570083
1776928815.650938,3.705000,7.875000,-1.570089
1776928815.694307,3.705000,7.875000,-1.570101
1776928815.754876,3.705000,7.875000,-1.570091
1776928815.799965,3.705000,7.875000,-1.570090
1776928815.846496,3.705000,7.875025,-1.570085
1776928815.893021,3.705000,7.875000,-1.570088
1776928815.949977,3.705000,7.875000,-1.570088
1776928815.994950,3.705000,7.875000,-1.570097
1776928816.057755,3.705000,7.875000,-1.570093
1776928816.099534,3.705000,7.875000,-1.570099
1776928816.144786,3.705000,7.875000,-1.570096
1776928816.194377,3.705000,7.875000,-1.570100
1776928816.249589,3.705000,7.875000,-1.570087
1776928816.293991,3.705000,7.875025,-1.570092
1776928816.354019,3.705000,7.875000,-1.570093
1776928816.398322,3.705000,7.875000,-1.570095
1776928816.448946,3.705000,7.875000,-1.570090
1776928816.494609,3.705000,7.875025,-1.570099
1776928816.550837,3.705000,7.875000,-1.570086
1776928816.592298,3.705000,7.875025,-1.570085
1776928816.654755,3.705000,7.875025,-1.570093
1776928816.697576,3.705000,7.875000,-1.570092
1776928816.746900,3.705000,7.875000,-1.570106
1776928816.799394,3.705000,7.875000,-1.570098
1776928816.845992,3.705000,7.875000,-1.570101
1776928816.894763,3.705000,7.875000,-1.570100
1776928816.951765,3.705000,7.875025,-1.570100
1776928816.994046,3.705000,7.875000,-1.570102
1776928817.054600,3.705000,7.875000,-1.570106
1776928817.099014,3.705000,7.875000,-1.570103
1776928817.145823,3.705000,7.875025,-1.570102
1776928817.193565,3.705000,7.875025,-1.570115
1776928817.251359,3.705000,7.875025,-1.570105
1776928817.292377,3.705000,7.875000,-1.570128
1776928817.355278,3.705000,7.874949,-1.573714
1776928817.399209,3.704975,7.871203,-1.580962
1776928817.446303,3.704891,7.864826,-1.587216
1776928817.493169,3.704729,7.856728,-1.594217
1776928817.551611,3.704477,7.846607,-1.597302
1776928817.594266,3.704041,7.830743,-1.599150
1776928817.644876,3.703730,7.820092,-1.600801
1776928817.705237,3.703403,7.809416,-1.602214
1776928817.751428,3.702892,7.793351,-1.602910
1776928817.794641,3.702540,7.782524,-1.603632
1776928817.846660,3.702178,7.771647,-1.604597
1776928817.904288,3.701805,7.761048,-1.607389
1776928817.949356,3.701204,7.745114,-1.609540
1776928817.995930,3.700778,7.734441,-1.611781
1776928818.052278,3.700347,7.724351,-1.615240
1776928818.094416,3.699679,7.709712,-1.617608
1776928818.154188,3.699231,7.700256,-1.618693
1776928818.200080,3.698446,7.683950,-1.619115
1776928818.244935,3.697912,7.672978,-1.619705
1776928818.291487,3.697379,7.662132,-1.619962
1776928818.352019,3.696839,7.651237,-1.620702
1776928818.395140,3.696024,7.635008,-1.621235
1776928818.445307,3.695478,7.624163,-1.621095
1776928818.493971,3.694934,7.613319,-1.620777
1776928818.551044,3.694389,7.602474,-1.621225
1776928818.593460,3.693569,7.586144,-1.620685
1776928818.647846,3.693029,7.575299,-1.620407
1776928818.706113,3.692487,7.564429,-1.620817
1776928818.753774,3.691664,7.547972,-1.620757
1776928818.793611,3.691124,7.537178,-1.620684
1776928818.844737,3.690579,7.526207,-1.620210
1776928818.903813,3.690045,7.515311,-1.619259
1776928818.949162,3.689257,7.498929,-1.618544
1776928818.996158,3.688739,7.488007,-1.617755
1776928819.055306,3.688233,7.477160,-1.617030
1776928819.101822,3.687738,7.466237,-1.615107
1776928819.147770,3.687026,7.449902,-1.613721
1776928819.191769,3.686563,7.439054,-1.613051
1776928819.254371,3.686116,7.428230,-1.611123
1776928819.294591,3.685463,7.411918,-1.610520
1776928819.357283,3.685060,7.401675,-1.609756
1776928819.414155,3.684690,7.391962,-1.607972
1776928819.448159,3.684088,7.375623,-1.607291
1776928819.494171,3.683696,7.364746,-1.606259
1776928819.558665,3.683317,7.353844,-1.604826
1776928819.600199,3.682764,7.337401,-1.604010
1776928819.647798,3.682407,7.326498,-1.602999
1776928819.693178,3.682060,7.315620,-1.602478
1776928819.753920,3.681721,7.304666,-1.600890
1776928819.797393,3.681235,7.288272,-1.599974
