time,x,y,theta,v_body,omega,vx_world,vy_world
0.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,3.001000,3.000000,0.060000,0.020000,1.200000,0.019964,0.001199
0.100000,3.002198,3.000072,0.120000,0.024000,1.200000,0.023827,0.002873
0.150000,3.003429,3.000220,0.180000,0.024800,1.200000,0.024399,0.004440
0.200000,3.004657,3.000444,0.240000,0.024960,1.200000,0.024245,0.005933
0.250000,3.005871,3.000741,0.294139,0.024992,1.082774,0.023919,0.007246
0.300000,3.007067,3.001103,0.342867,0.024998,0.974558,0.023543,0.008404
0.350000,3.008244,3.001523,0.386725,0.025000,0.877158,0.023153,0.009429
0.400000,3.009402,3.001995,0.426199,0.025000,0.789492,0.022764,0.010335
0.450000,3.010540,3.002512,0.461729,0.025000,0.710589,0.022382,0.011137
0.500000,3.011659,3.003069,0.493707,0.025000,0.639571,0.022015,0.011847
0.550000,3.017163,3.006030,0.515294,0.125000,0.431739,0.108768,0.061599
0.600000,3.026734,3.011451,0.535268,0.220000,0.399485,0.189229,0.112216
0.650000,3.036196,3.017062,0.553755,0.220000,0.369730,0.187122,0.115695
0.700000,3.045552,3.022847,0.570864,0.220000,0.342192,0.185116,0.118879
0.750000,3.054808,3.028791,0.586700,0.220000,0.316705,0.183210,0.121795
0.800000,3.063968,3.034880,0.601355,0.220000,0.293117,0.181405,0.124467
0.850000,3.073038,3.041104,0.614920,0.220000,0.271285,0.179700,0.126916
0.900000,3.082023,3.047450,0.627474,0.220000,0.251081,0.178093,0.129162
0.950000,3.090928,3.053908,0.639093,0.220000,0.232381,0.176580,0.131223
1.000000,3.099757,3.060469,0.649846,0.220000,0.215073,0.175159,0.133114
1.050000,3.108515,3.067124,0.659799,0.220000,0.199056,0.173825,0.134851
1.100000,3.117206,3.073867,0.669011,0.220000,0.184231,0.172576,0.136446
1.150000,3.125835,3.080689,0.677536,0.220000,0.170510,0.171406,0.137913
1.200000,3.134405,3.087585,0.685427,0.220000,0.157811,0.170313,0.139261
1.250000,3.142921,3.094548,0.692730,0.220000,0.146058,0.169291,0.140501
1.300000,3.151386,3.101573,0.699489,0.220000,0.135181,0.168338,0.141642
1.350000,3.159802,3.108655,0.705744,0.220000,0.125113,0.167448,0.142692
1.400000,3.168175,3.115790,0.711534,0.220000,0.115796,0.166619,0.143659
1.450000,3.176506,3.122973,0.716893,0.220000,0.107172,0.165847,0.144550
1.500000,3.184798,3.130200,0.721852,0.220000,0.099191,0.165128,0.145371
1.550000,3.193055,3.137469,0.726443,0.220000,0.091804,0.164459,0.146127
1.600000,3.201278,3.144775,0.730691,0.220000,0.084967,0.163837,0.146825
1.650000,3.209469,3.152116,0.734623,0.220000,0.078639,0.163258,0.147468
1.700000,3.217632,3.159490,0.738262,0.220000,0.072783,0.162721,0.148061
1.750000,3.225768,3.166893,0.741630,0.220000,0.067363,0.162221,0.148608
1.800000,3.233879,3.174323,0.744747,0.220000,0.062346,0.161757,0.149113
1.850000,3.241967,3.181779,0.747633,0.220000,0.057703,0.161326,0.149579
1.900000,3.250034,3.189258,0.750303,0.220000,0.053406,0.160926,0.150009
1.950000,3.258080,3.196758,0.752774,0.220000,0.049429,0.160555,0.150407
2.000000,3.266108,3.204279,0.755062,0.220000,0.045748,0.160210,0.150773
2.050000,3.274118,3.211817,0.757179,0.220000,0.042341,0.159891,0.151112
2.100000,3.282113,3.219373,0.759138,0.220000,0.039188,0.159594,0.151425
2.150000,3.290092,3.226944,0.760952,0.220000,0.036270,0.159320,0.151714
2.200000,3.298058,3.234530,0.762630,0.220000,0.033569,0.159065,0.151982
2.250000,3.306012,3.242129,0.764183,0.220000,0.031069,0.158828,0.152228
2.300000,3.313953,3.249740,0.765621,0.220000,0.028755,0.158609,0.152457
2.350000,3.321884,3.257363,0.766952,0.220000,0.026614,0.158406,0.152668
2.400000,3.329804,3.264997,0.768183,0.220000,0.024632,0.158218,0.152863
2.450000,3.337715,3.272640,0.769323,0.220000,0.022798,0.158044,0.153043
2.500000,3.345617,3.280292,0.770378,0.220000,0.021100,0.157882,0.153210
2.550000,3.353511,3.287952,0.771355,0.220000,0.019529,0.157733,0.153364
2.600000,3.361398,3.295620,0.772259,0.220000,0.018075,0.157594,0.153506
2.650000,3.369277,3.303296,0.773095,0.220000,0.016729,0.157466,0.153638
2.700000,3.377151,3.310978,0.773869,0.220000,0.015483,0.157347,0.153760
2.750000,3.384303,3.317967,0.774586,0.000000,0.000000,0.000000,0.000000
2.750000,4.156913,3.774416,1.084161,0.000000,0.000000,0.000000,0.000000
2.800000,4.159252,3.778835,1.067411,0.100000,-0.334984,0.048239,0.087595
